SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.6896388888888889,0.7956111111111112,0.8420277777777778,0.8564166666666667,0.8702777777777778,0.87825,0.8841944444444444,0.889,0.8916111111111111,0.89675,0.8986388888888889,0.8996111111111111,0.9034444444444444,0.9036111111111113,0.9080833333333334,0.9086111111111111,0.9098333333333334,0.9106944444444444,0.9114166666666668,0.9138888888888888,0.9144722222222222,0.9142777777777776,0.914,0.9159722222222222,0.9170277777777778,0.9138611111111112,0.9153333333333332,0.9166944444444444,0.9181111111111112,0.9183055555555556,0.9182222222222224,0.9189444444444445,0.9183055555555556,0.9224444444444444,0.9227222222222222,0.9238333333333332,0.9236944444444444,0.9236111111111112,0.9251111111111112,0.9244444444444444,0.9263888888888888,0.9263888888888888,0.9265833333333332,0.9266666666666666,0.9270555555555556,0.9273055555555556,0.9278055555555556
2,0.7136666666666667,0.8249722222222222,0.8708333333333333,0.8865277777777778,0.8984166666666666,0.9038333333333334,0.9079444444444444,0.9109722222222222,0.9126388888888888,0.9145833333333332,0.9168333333333332,0.9207222222222222,0.9216666666666666,0.9222222222222224,0.9237777777777778,0.9246666666666666,0.9261944444444444,0.9249166666666668,0.9244722222222224,0.9257777777777778,0.9259166666666668,0.9267222222222222,0.9276111111111112,0.9278333333333332,0.9281111111111112,0.9267222222222222,0.92825,0.9283888888888888,0.9275555555555556,0.9279166666666666,0.9297777777777778,0.9293888888888888,0.9273611111111112,0.9305833333333332,0.9304722222222224,0.9313888888888888,0.9300277777777778,0.9311944444444444,0.9301666666666668,0.9295833333333332,0.9328333333333332,0.9315277777777776,0.9318888888888888,0.9328888888888888,0.9325555555555556,0.9326666666666666,0.9323055555555556
4,0.7278888888888889,0.8322222222222222,0.8789722222222223,0.8954444444444445,0.9050555555555556,0.9120833333333334,0.917,0.9207222222222222,0.9220833333333334,0.9234722222222222,0.9239444444444443,0.9264166666666668,0.9277222222222222,0.927,0.9290277777777778,0.9279722222222222,0.9284444444444444,0.9298888888888888,0.9293333333333332,0.9306666666666666,0.9306944444444444,0.9296111111111112,0.9301388888888888,0.9315277777777776,0.9313055555555556,0.9295277777777776,0.9306666666666666,0.9315277777777776,0.9313611111111112,0.9317222222222222,0.9323055555555556,0.9318055555555556,0.9305,0.9329444444444444,0.9330833333333334,0.9336666666666666,0.9331388888888889,0.93375,0.9334166666666668,0.9335,0.9345277777777776,0.9345833333333332,0.9341111111111112,0.9337222222222222,0.9343333333333332,0.9348888888888888,0.9343333333333333
6,0.7304444444444445,0.8394722222222222,0.8818888888888889,0.9001388888888889,0.9082222222222224,0.91425,0.9194444444444444,0.9235833333333332,0.9248333333333332,0.9254722222222224,0.9274166666666668,0.9287777777777778,0.9295,0.9291944444444444,0.9304722222222224,0.93125,0.9323611111111112,0.933,0.9321388888888889,0.9326111111111112,0.9325555555555556,0.93225,0.9330833333333334,0.9335277777777776,0.9330555555555556,0.9326388888888888,0.9331666666666668,0.9331944444444444,0.93425,0.9338888888888888,0.9341111111111112,0.9346944444444444,0.9339722222222222,0.9350277777777778,0.93575,0.9353055555555556,0.9350833333333334,0.9353333333333332,0.9355833333333332,0.9352222222222222,0.93575,0.936,0.93625,0.9355,0.9360555555555556,0.9363055555555556,0.9358333333333333
8,0.73275,0.8412777777777778,0.8845833333333334,0.8995833333333333,0.9105555555555556,0.9161944444444444,0.9216111111111112,0.9245277777777776,0.9270555555555556,0.9274722222222224,0.9295555555555556,0.9299722222222222,0.9312777777777778,0.9305555555555556,0.9335277777777776,0.9333611111111112,0.9335277777777776,0.9331944444444444,0.9330833333333334,0.9348055555555556,0.9341388888888889,0.9333611111111112,0.9344166666666668,0.9336388888888888,0.9346666666666666,0.9326944444444444,0.9345277777777776,0.9344444444444444,0.9359722222222222,0.9350555555555556,0.9355,0.9352222222222222,0.9346388888888888,0.9354166666666668,0.9366666666666666,0.9366388888888888,0.9356111111111112,0.9365277777777776,0.9367777777777778,0.9367777777777778,0.9369722222222222,0.9360555555555556,0.9365,0.9370555555555556,0.9368055555555556,0.9374444444444444,0.9368055555555556
10,0.7298333333333333,0.8438055555555556,0.8849444444444444,0.9039166666666668,0.9113611111111112,0.9183055555555556,0.9238888888888888,0.9261944444444444,0.9287777777777778,0.9290277777777778,0.9301111111111112,0.93175,0.9330277777777778,0.9335833333333332,0.9337777777777778,0.93375,0.9357777777777778,0.9351388888888889,0.9340833333333334,0.9351666666666668,0.9349444444444444,0.9361666666666668,0.9366666666666666,0.9354722222222224,0.9351666666666668,0.9355833333333332,0.9353888888888888,0.9369722222222222,0.9365,0.9379722222222222,0.93675,0.9359166666666666,0.9370555555555556,0.9383888888888888,0.93825,0.9369444444444444,0.9381388888888887,0.9377777777777778,0.937,0.9374722222222224,0.9375,0.9389722222222222,0.9385,0.938,0.9379444444444444,0.9378333333333332,0.9393611111111111
12,0.7316666666666667,0.8411944444444445,0.8867222222222222,0.90225,0.9119444444444444,0.9165,0.9220833333333334,0.925,0.9261388888888888,0.9281388888888888,0.9288333333333332,0.9309444444444444,0.9325555555555556,0.9326666666666666,0.9335,0.9337222222222222,0.9338055555555556,0.9347777777777778,0.9352222222222222,0.9346944444444444,0.9345,0.9342777777777778,0.9358611111111113,0.9361944444444444,0.9346111111111112,0.9349166666666666,0.9352222222222222,0.9362222222222222,0.9346944444444444,0.9348888888888888,0.9350555555555556,0.9372777777777778,0.93525,0.9363055555555556,0.9363333333333334,0.9369722222222222,0.9361666666666668,0.9366944444444444,0.9373888888888888,0.9377222222222222,0.9380277777777778,0.9374722222222224,0.9372222222222222,0.9382222222222222,0.9378888888888888,0.9381388888888887,0.9381111111111111
14,0.7337777777777778,0.8411944444444445,0.8834444444444445,0.9001111111111111,0.9108888888888887,0.9171666666666668,0.9224722222222222,0.9250277777777778,0.9274166666666668,0.9283333333333332,0.9297777777777778,0.93175,0.9315277777777776,0.9325555555555556,0.9335,0.9333611111111112,0.9345833333333332,0.9332777777777778,0.9341666666666668,0.9351944444444444,0.9345555555555556,0.9350833333333334,0.93425,0.9350277777777778,0.9351944444444444,0.9344166666666668,0.9341666666666668,0.9351388888888889,0.9366944444444444,0.9355277777777776,0.9378055555555556,0.9359722222222222,0.9345277777777776,0.938,0.9361388888888889,0.9381944444444444,0.9386666666666666,0.9380833333333334,0.9385,0.9382222222222222,0.9393055555555556,0.9387777777777778,0.9385833333333332,0.938,0.9395277777777776,0.9394444444444444,0.9378888888888889
16,0.7323888888888889,0.8400277777777778,0.8851666666666667,0.9009722222222222,0.9120277777777778,0.9189166666666668,0.9235,0.9255833333333332,0.9270277777777778,0.9276388888888888,0.9300277777777778,0.9311666666666668,0.93175,0.9324444444444444,0.9329444444444444,0.933,0.9339444444444444,0.9345833333333332,0.9345,0.9341111111111112,0.9360277777777778,0.9338888888888888,0.93475,0.9355833333333332,0.9337777777777778,0.9340277777777778,0.9346111111111112,0.936,0.9352777777777778,0.9341666666666668,0.9348055555555556,0.9345277777777776,0.9336388888888888,0.9352222222222222,0.9373055555555556,0.93475,0.9368055555555556,0.9368055555555556,0.9362777777777778,0.9369722222222222,0.9373333333333334,0.9353055555555556,0.9376666666666666,0.9356111111111112,0.9369722222222222,0.9361388888888889,0.9376666666666666
18,0.7290555555555556,0.8394166666666667,0.88375,0.9012222222222224,0.9102777777777776,0.9183611111111112,0.9229444444444443,0.92525,0.9263333333333332,0.9279722222222222,0.9291388888888888,0.9309166666666666,0.93175,0.9313611111111112,0.93175,0.9326944444444444,0.9334166666666668,0.9334722222222224,0.9329722222222222,0.9349444444444444,0.9329444444444444,0.9332222222222222,0.9343055555555556,0.9335555555555556,0.9336944444444444,0.9326666666666666,0.9341111111111112,0.93575,0.93525,0.9350555555555556,0.9353333333333332,0.936,0.9330833333333334,0.9346944444444444,0.9357222222222222,0.9361388888888889,0.9358611111111113,0.9356111111111112,0.9358055555555556,0.9360555555555556,0.9378333333333332,0.9373611111111112,0.9379166666666666,0.9388888888888888,0.9391388888888887,0.9382777777777778,0.9386666666666666
