SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.6937777777777778,0.8046111111111112,0.8420555555555556,0.8591388888888889,0.8776111111111111,0.88775,0.8891111111111111,0.8999444444444444,0.9029166666666668,0.9074722222222222,0.9082222222222224,0.9081111111111112,0.9102222222222224,0.9103333333333332,0.9130555555555556,0.9118333333333334,0.9138055555555556,0.9139166666666668,0.9156388888888888,0.9168611111111112,0.9166944444444444,0.9174444444444444,0.9173055555555556,0.9182777777777776,0.9188888888888888,0.9191666666666668,0.9189722222222222,0.9187777777777778,0.9196111111111112,0.9189722222222222,0.9193888888888888,0.9208055555555557,0.9203611111111112,0.9206388888888888,0.9209166666666668,0.92125,0.9207222222222222,0.9231388888888888,0.9233888888888888,0.925,0.9260555555555556,0.9235555555555556,0.9264722222222224,0.9246666666666666,0.9276111111111112,0.9277777777777778,0.9275833333333332,0.9275833333333332,0.9287777777777778,0.9284722222222223
2,0.7273055555555555,0.8287222222222222,0.8705277777777778,0.8863611111111112,0.90125,0.90775,0.9092777777777776,0.9169444444444445,0.9191111111111112,0.9214722222222222,0.9209722222222222,0.9228333333333332,0.9240277777777778,0.9225555555555556,0.923,0.9244444444444444,0.9265555555555556,0.9263333333333332,0.9266666666666666,0.9269722222222222,0.9266388888888888,0.9275,0.9276111111111112,0.9291111111111112,0.9273055555555556,0.92875,0.9290833333333334,0.9276388888888888,0.9271944444444444,0.9288888888888888,0.9281111111111112,0.9293888888888888,0.9284444444444444,0.9287777777777778,0.92875,0.93,0.9291388888888888,0.9306666666666666,0.9311388888888888,0.9313611111111112,0.9315833333333332,0.931,0.9310277777777778,0.9303888888888888,0.9323055555555556,0.9319444444444444,0.9333611111111112,0.9331111111111112,0.9332777777777778,0.9325
4,0.7351388888888889,0.8421666666666666,0.8813333333333333,0.8973888888888889,0.9098611111111112,0.917,0.9180555555555556,0.9245,0.9250833333333334,0.9256388888888888,0.9277222222222222,0.9270833333333334,0.9283611111111112,0.9287777777777778,0.9287777777777778,0.9292222222222222,0.93125,0.9308333333333332,0.9308888888888888,0.9296944444444444,0.9309444444444444,0.9318055555555556,0.9320277777777778,0.9323611111111112,0.9317222222222222,0.9315555555555556,0.9324444444444444,0.9307222222222222,0.9318055555555556,0.9315277777777776,0.9322222222222222,0.9324722222222224,0.9315,0.9319444444444444,0.9331666666666668,0.9328888888888888,0.9333333333333332,0.9334722222222224,0.9327777777777778,0.9332777777777778,0.9336111111111112,0.9336388888888888,0.9341111111111112,0.9332777777777778,0.9341111111111112,0.9337222222222222,0.9346944444444444,0.9338333333333332,0.9342777777777778,0.9346944444444445
6,0.7409722222222223,0.8450555555555556,0.8858055555555555,0.9018333333333334,0.9132222222222224,0.9203888888888888,0.9218888888888888,0.92775,0.92975,0.9293333333333332,0.9310833333333334,0.9311388888888888,0.9309444444444444,0.9315555555555556,0.9323888888888888,0.9320277777777778,0.9328888888888888,0.9338333333333332,0.9325,0.9329444444444444,0.933,0.9335555555555556,0.9330833333333334,0.9341666666666668,0.9336388888888888,0.9350833333333334,0.9329722222222222,0.9340277777777778,0.9348055555555556,0.9335,0.93475,0.9345,0.9351111111111112,0.9349166666666666,0.9340555555555556,0.9350555555555556,0.9353333333333332,0.9350555555555556,0.9356666666666666,0.9353333333333332,0.9355833333333332,0.9353888888888888,0.9363611111111112,0.9357222222222222,0.9360833333333334,0.9359722222222222,0.9364722222222224,0.9365,0.9360555555555556,0.937
8,0.7421666666666666,0.8463888888888889,0.8868333333333334,0.9042777777777776,0.91625,0.9232222222222224,0.92325,0.9293333333333332,0.9296111111111112,0.9315555555555556,0.9325833333333332,0.9325833333333332,0.9316111111111112,0.9329722222222222,0.9345833333333332,0.9334722222222224,0.9346111111111112,0.9352777777777778,0.9344166666666668,0.9351944444444444,0.9346388888888888,0.9348055555555556,0.9346666666666666,0.9351111111111112,0.9353055555555556,0.9348333333333332,0.9361388888888889,0.9362777777777778,0.9352777777777778,0.9346388888888888,0.9358611111111113,0.9356388888888888,0.9362222222222222,0.9358055555555556,0.9360555555555556,0.9356388888888888,0.9361388888888889,0.93675,0.9383611111111112,0.9369444444444444,0.93675,0.9368611111111113,0.9365555555555556,0.9370277777777778,0.9366111111111112,0.9375277777777776,0.9369444444444444,0.9370277777777778,0.9369444444444444,0.93725
10,0.7419166666666667,0.8451111111111111,0.8903333333333333,0.9061111111111112,0.9176944444444444,0.9245277777777776,0.9236944444444444,0.9305,0.9324722222222224,0.9323611111111112,0.9336666666666666,0.9340277777777778,0.9346666666666666,0.9338888888888888,0.9350833333333334,0.9347222222222222,0.9361388888888889,0.93575,0.9348055555555556,0.9353333333333332,0.9360833333333334,0.9375277777777776,0.9366111111111112,0.9368055555555556,0.9363055555555556,0.9377222222222222,0.9369722222222222,0.9372777777777778,0.9369166666666666,0.9365555555555556,0.9368055555555556,0.9377222222222222,0.9375555555555556,0.93825,0.9383888888888888,0.93775,0.9375277777777776,0.9374166666666668,0.9385,0.9375555555555556,0.9371388888888889,0.9396388888888888,0.938,0.9380833333333334,0.9380277777777778,0.9386666666666666,0.93875,0.9383333333333334,0.9378055555555556,0.9394444444444444
12,0.7406666666666667,0.8489722222222222,0.88825,0.90725,0.9171111111111112,0.9245833333333332,0.9231944444444444,0.92925,0.9305555555555556,0.9323055555555556,0.9330833333333334,0.9324444444444444,0.9324166666666668,0.9327777777777778,0.9344722222222224,0.9345555555555556,0.9349722222222222,0.9353888888888888,0.9353611111111112,0.9353611111111112,0.9348611111111113,0.9351666666666668,0.9361388888888889,0.9359444444444444,0.9358055555555556,0.9363055555555556,0.9370277777777778,0.9348888888888888,0.9368611111111113,0.937,0.9359722222222222,0.9361666666666668,0.9368055555555556,0.9374722222222224,0.9379722222222222,0.9368888888888888,0.9380833333333334,0.9370277777777778,0.9387222222222222,0.9381666666666668,0.9382222222222222,0.9365833333333332,0.9378611111111111,0.9382222222222222,0.9394166666666668,0.9385277777777776,0.938,0.9381666666666668,0.9381944444444444,0.9390833333333334
14,0.743,0.8455833333333334,0.8874166666666666,0.9056388888888888,0.9158888888888888,0.9235,0.9229444444444443,0.9298055555555556,0.9318055555555556,0.9319722222222222,0.9321666666666668,0.9333888888888888,0.9334722222222224,0.9340277777777778,0.9345555555555556,0.9353055555555556,0.9340277777777778,0.9353611111111112,0.9365833333333332,0.93575,0.9348888888888888,0.9366944444444444,0.9352222222222222,0.9348888888888888,0.9356944444444444,0.93625,0.93625,0.9366111111111112,0.9365833333333332,0.9370277777777778,0.9369444444444444,0.9367777777777778,0.9366944444444444,0.9371388888888889,0.9359722222222222,0.9363611111111112,0.93725,0.9387222222222222,0.9380277777777778,0.93825,0.93775,0.9383055555555556,0.9384722222222224,0.9369722222222222,0.94,0.9412222222222222,0.9399166666666666,0.9395555555555556,0.9408055555555556,0.9401944444444444
16,0.7421944444444445,0.8456388888888889,0.8879166666666667,0.9061944444444444,0.9163611111111112,0.9235833333333332,0.9208055555555557,0.9285555555555556,0.9311666666666668,0.9314166666666668,0.9321388888888889,0.9334444444444444,0.933,0.9333611111111112,0.9343611111111112,0.9343888888888888,0.9350833333333334,0.93425,0.93525,0.9346111111111112,0.9349722222222222,0.9356388888888888,0.9350277777777778,0.9345277777777776,0.93425,0.9354722222222224,0.9380833333333334,0.9356944444444444,0.936,0.9353333333333332,0.9352777777777778,0.9361111111111112,0.9355277777777776,0.9363888888888888,0.9356111111111112,0.9357222222222222,0.9370833333333334,0.9383333333333334,0.9375833333333332,0.9378888888888888,0.9364444444444444,0.9368611111111113,0.9375833333333332,0.9365277777777776,0.9373611111111112,0.9372222222222222,0.9373888888888888,0.93725,0.9375555555555556,0.9378333333333333
18,0.7433333333333333,0.8462777777777778,0.8876388888888889,0.9036944444444444,0.91725,0.9229444444444443,0.9227777777777778,0.92925,0.9319166666666666,0.9316388888888888,0.9318055555555556,0.9326388888888888,0.9335833333333332,0.93325,0.9328055555555556,0.9344166666666668,0.9342777777777778,0.9341666666666668,0.9333888888888888,0.9347222222222222,0.9357777777777778,0.9342777777777778,0.9348055555555556,0.9344444444444444,0.9355833333333332,0.9347777777777778,0.9358888888888888,0.9351666666666668,0.9359722222222222,0.9361944444444444,0.9364722222222224,0.9368888888888888,0.9361666666666668,0.9366944444444444,0.93825,0.9358611111111113,0.9349722222222222,0.9372777777777778,0.93875,0.93675,0.9385,0.9368888888888888,0.9364166666666668,0.9376111111111112,0.9390277777777778,0.9389166666666666,0.9388611111111111,0.9381944444444444,0.9391388888888887,0.9400277777777778
Avg,0.5080013888888889,0.5757097222222223,0.6036722222222223,0.6151708333333333,0.6240180555555556,0.6297208333333333,0.6300652777777778,0.6363041666666667,0.6389375,0.6405583333333333,0.6423486111111111,0.6432055555555556,0.6443611111111112,0.6448041666666666,0.6460513888888889,0.6471222222222223,0.6482194444444445,0.6483222222222222,0.6492583333333334,0.6496125,0.6504597222222223,0.6510583333333333,0.6515736111111111,0.6514861111111111,0.6521902777777778,0.6530444444444444,0.6534569444444445,0.6534388888888889,0.6535791666666667,0.6542944444444444,0.6547013888888888,0.6553486111111111,0.6554763888888889,0.6561055555555556,0.6567152777777778,0.6572916666666667,0.6581180555555556,0.6614611111111112,0.6626611111111111,0.6628277777777778,0.6638791666666667,0.66395,0.6650666666666667,0.6652319444444444,0.6694166666666667,0.6701638888888889,0.6708027777777777,0.6715013888888889,0.6735277777777777,0.6740472222222222
