SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.6728787878787879,0.7756060606060606,0.8027272727272727,0.8162121212121212,0.8413636363636363,0.8536363636363636,0.8615151515151516,0.8768181818181818,0.8786363636363637,0.8765151515151515,0.8846969696969696,0.8927272727272727,0.8887878787878788,0.8921212121212121,0.8956060606060606,0.894090909090909,0.8931818181818182,0.905,0.901060606060606,0.9074242424242424,0.9004545454545455,0.9051515151515152,0.9092424242424244,0.91,0.9133333333333332,0.9128787878787878,0.9130303030303032,0.9131818181818182,0.9124242424242424,0.9128787878787878,0.9154545454545454,0.9156060606060606,0.9134848484848485
2,0.6956060606060606,0.806060606060606,0.8265151515151515,0.8406060606060606,0.8603030303030303,0.8757575757575757,0.8821212121212121,0.8909090909090909,0.8960606060606061,0.9001515151515151,0.9007575757575758,0.9053030303030304,0.9051515151515152,0.9066666666666666,0.9065151515151516,0.9113636363636364,0.9140909090909092,0.9180303030303032,0.9180303030303032,0.9183333333333332,0.92,0.916969696969697,0.9243939393939394,0.927878787878788,0.922878787878788,0.923939393939394,0.9266666666666666,0.9254545454545454,0.9274242424242424,0.9277272727272728,0.9242424242424242,0.927878787878788,0.9274242424242424
4,0.7028787878787879,0.8124242424242424,0.8295454545454546,0.8403030303030303,0.8575757575757575,0.8807575757575757,0.8851515151515151,0.8943939393939394,0.9,0.9037878787878788,0.9086363636363636,0.907121212121212,0.9084848484848485,0.9137878787878788,0.9137878787878788,0.9157575757575758,0.9096969696969696,0.9201515151515152,0.9201515151515152,0.9227272727272728,0.9177272727272728,0.921060606060606,0.9257575757575758,0.9216666666666666,0.9225757575757576,0.9265151515151516,0.9266666666666666,0.9245454545454546,0.9256060606060608,0.9263636363636364,0.9275757575757576,0.927878787878788,0.9251515151515152
6,0.7106060606060606,0.8209090909090909,0.8425757575757575,0.8503030303030303,0.868030303030303,0.8784848484848485,0.8874242424242424,0.8993939393939394,0.9024242424242424,0.9072727272727272,0.9092424242424244,0.911060606060606,0.9162121212121213,0.9153030303030304,0.915,0.9190909090909092,0.916969696969697,0.9213636363636364,0.9233333333333332,0.921060606060606,0.921969696969697,0.9259090909090908,0.9265151515151516,0.9253030303030304,0.926060606060606,0.926060606060606,0.9275757575757576,0.926969696969697,0.9253030303030304,0.9227272727272728,0.9256060606060608,0.9257575757575758,0.9240909090909091
8,0.7112121212121212,0.8206060606060606,0.8422727272727273,0.8490909090909091,0.8684848484848485,0.8828787878787879,0.8934848484848484,0.8937878787878788,0.9,0.9,0.9086363636363636,0.9080303030303032,0.91,0.9142424242424242,0.9130303030303032,0.9156060606060606,0.9172727272727272,0.921060606060606,0.923939393939394,0.9215151515151516,0.9231818181818182,0.9213636363636364,0.9225757575757576,0.9274242424242424,0.9265151515151516,0.9266666666666666,0.928030303030303,0.9272727272727272,0.9266666666666666,0.9301515151515152,0.9272727272727272,0.926969696969697,0.9281818181818182
10,0.7181818181818181,0.8198484848484848,0.8416666666666667,0.8528787878787879,0.8710606060606061,0.8865151515151515,0.8901515151515151,0.8986363636363637,0.9034848484848484,0.9096969696969696,0.9131818181818182,0.9130303030303032,0.9142424242424242,0.9103030303030304,0.9180303030303032,0.917121212121212,0.9148484848484848,0.921969696969697,0.921969696969697,0.9243939393939394,0.9257575757575758,0.922121212121212,0.9234848484848484,0.9257575757575758,0.9242424242424242,0.923939393939394,0.9265151515151516,0.9256060606060608,0.9242424242424242,0.925,0.9265151515151516,0.925,0.9248484848484848
12,0.7119696969696969,0.82,0.8434848484848485,0.8472727272727273,0.8674242424242424,0.8803030303030303,0.895,0.8984848484848484,0.8983333333333333,0.9015151515151516,0.9112121212121213,0.9140909090909092,0.9131818181818182,0.9125757575757576,0.9153030303030304,0.918939393939394,0.9180303030303032,0.9209090909090908,0.9240909090909092,0.922878787878788,0.9245454545454546,0.9237878787878788,0.9281818181818182,0.9256060606060608,0.9292424242424242,0.9286363636363636,0.928030303030303,0.9262121212121212,0.9231818181818182,0.9281818181818182,0.9304545454545454,0.928030303030303,0.9283333333333333
14,0.7057575757575758,0.8156060606060606,0.8406060606060606,0.8504545454545455,0.8663636363636363,0.8848484848484849,0.8901515151515151,0.8946969696969697,0.9034848484848484,0.9037878787878788,0.9092424242424244,0.9133333333333332,0.9131818181818182,0.9162121212121213,0.9165151515151516,0.9180303030303032,0.9198484848484848,0.923939393939394,0.922878787878788,0.9234848484848484,0.9234848484848484,0.9246969696969696,0.9274242424242424,0.9248484848484848,0.9257575757575758,0.9274242424242424,0.927878787878788,0.9293939393939394,0.9274242424242424,0.9277272727272728,0.9263636363636364,0.9296969696969696,0.9309090909090909
16,0.7078787878787879,0.8157575757575758,0.8366666666666667,0.8484848484848485,0.8621212121212121,0.8859090909090909,0.8871212121212121,0.8925757575757576,0.894090909090909,0.8972727272727272,0.902121212121212,0.901060606060606,0.9106060606060606,0.91,0.915,0.9162121212121213,0.917121212121212,0.9181818181818182,0.916969696969697,0.9192424242424242,0.9213636363636364,0.9166666666666666,0.92,0.9195454545454546,0.9234848484848484,0.921969696969697,0.9251515151515152,0.9233333333333332,0.9246969696969696,0.9257575757575758,0.9245454545454546,0.9195454545454546,0.9257575757575758
18,0.7081818181818181,0.8175757575757576,0.8403030303030303,0.8554545454545455,0.8678787878787879,0.883030303030303,0.8884848484848484,0.8965151515151515,0.9006060606060606,0.9024242424242424,0.9086363636363636,0.9074242424242424,0.911060606060606,0.9148484848484848,0.9134848484848485,0.9178787878787878,0.9204545454545454,0.9213636363636364,0.9222727272727272,0.9234848484848484,0.9236363636363636,0.9195454545454546,0.9242424242424242,0.9237878787878788,0.9224242424242424,0.9253030303030304,0.9222727272727272,0.9227272727272728,0.9240909090909092,0.9234848484848484,0.9263636363636364,0.9268181818181818,0.9207575757575758
Avg,0.4869848484848484,0.5562651515151515,0.5721742424242424,0.579219696969697,0.5907727272727272,0.601719696969697,0.606189393939394,0.6112651515151515,0.6141136363636364,0.6177803030303031,0.6214015151515152,0.6244090909090909,0.6244545454545455,0.625719696969697,0.6277651515151516,0.6301969696969697,0.6311136363636364,0.6367121212121212,0.6388030303030303,0.6398712121212121,0.6410227272727272,0.6407575757575757,0.6455530303030304,0.646969696969697,0.6481212121212121,0.6494848484848484,0.6523939393939394,0.6535909090909091,0.6537651515151515,0.65475,0.6561515151515152,0.6563484848484848,0.6567651515151515
