SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.6243939393939394,0.7339393939393939,0.7625757575757576,0.7809090909090909,0.7966666666666666,0.8136363636363636,0.8215151515151515,0.818939393939394,0.8242424242424242,0.8262121212121212,0.8369696969696969,0.8342424242424242,0.8390909090909091,0.8362121212121212,0.8442424242424242,0.8521212121212122,0.8587878787878788,0.8737878787878788,0.8801515151515151,0.8901515151515151,0.8918181818181818,0.8978787878787878,0.9006060606060606,0.9043939393939394,0.9103030303030304,0.9042424242424244,0.9083333333333332,0.9106060606060606,0.9062121212121212,0.9175757575757576,0.916969696969697,0.9174242424242424,0.9215151515151516,0.9227272727272728,0.9212121212121211,0.923939393939394,0.9212121212121211,0.9227272727272728,0.9236363636363636,0.9245454545454546
2,0.6365151515151515,0.756969696969697,0.7895454545454546,0.8031818181818182,0.8203030303030303,0.8365151515151515,0.8342424242424242,0.8372727272727273,0.8384848484848485,0.8383333333333334,0.8396969696969697,0.8456060606060606,0.8493939393939394,0.8456060606060606,0.848030303030303,0.8589393939393939,0.8654545454545455,0.878030303030303,0.8916666666666667,0.9003030303030303,0.9124242424242424,0.9115151515151516,0.9109090909090908,0.9128787878787878,0.915,0.9184848484848483,0.9203030303030304,0.916060606060606,0.9159090909090908,0.9233333333333332,0.9227272727272728,0.9265151515151516,0.923939393939394,0.9301515151515152,0.9281818181818182,0.926969696969697,0.926060606060606,0.928939393939394,0.9296969696969696,0.9275757575757576
4,0.6484848484848484,0.7686363636363637,0.7963636363636364,0.8104545454545454,0.8284848484848485,0.8362121212121212,0.8336363636363636,0.8374242424242424,0.8422727272727273,0.8465151515151516,0.848030303030303,0.8451515151515151,0.8451515151515151,0.8495454545454545,0.8533333333333334,0.8583333333333333,0.8724242424242424,0.8827272727272727,0.8987878787878788,0.9031818181818182,0.9112121212121213,0.9109090909090908,0.9137878787878788,0.9133333333333332,0.9133333333333332,0.9195454545454546,0.9209090909090908,0.9175757575757576,0.9203030303030304,0.9216666666666666,0.9231818181818182,0.9190909090909092,0.9231818181818182,0.9259090909090908,0.9251515151515152,0.9246969696969696,0.9196969696969696,0.9266666666666666,0.927878787878788,0.9248484848484848
6,0.6572727272727272,0.7733333333333333,0.8040909090909091,0.8221212121212121,0.8316666666666667,0.84,0.8404545454545455,0.8478787878787879,0.8398484848484848,0.8495454545454545,0.8515151515151516,0.8545454545454545,0.8551515151515151,0.8589393939393939,0.8612121212121212,0.8665151515151515,0.8793939393939394,0.8887878787878788,0.8998484848484849,0.9127272727272728,0.9162121212121213,0.9203030303030304,0.921818181818182,0.9213636363636364,0.9193939393939394,0.9222727272727272,0.921818181818182,0.9233333333333332,0.9222727272727272,0.9286363636363636,0.9266666666666666,0.9266666666666666,0.9295454545454546,0.931060606060606,0.9296969696969696,0.931969696969697,0.9303030303030304,0.9304545454545454,0.9315151515151516,0.9306060606060607
8,0.6495454545454545,0.7731818181818182,0.8065151515151515,0.8192424242424242,0.8363636363636363,0.8387878787878787,0.84,0.8456060606060606,0.8459090909090909,0.8457575757575757,0.8512121212121212,0.848939393939394,0.8516666666666667,0.8586363636363636,0.8563636363636363,0.8640909090909091,0.8728787878787879,0.8909090909090909,0.901060606060606,0.906969696969697,0.9136363636363636,0.9180303030303032,0.918939393939394,0.9174242424242424,0.9190909090909092,0.9245454545454546,0.9234848484848484,0.9265151515151516,0.9192424242424242,0.9277272727272728,0.9266666666666666,0.926060606060606,0.9275757575757576,0.9293939393939394,0.9283333333333332,0.9248484848484848,0.9284848484848484,0.9257575757575758,0.9303030303030304,0.9242424242424242
10,0.6603030303030303,0.7824242424242425,0.803030303030303,0.815,0.8340909090909091,0.8481818181818181,0.843939393939394,0.8474242424242424,0.8510606060606061,0.8459090909090909,0.8553030303030303,0.8510606060606061,0.8554545454545455,0.8557575757575757,0.8584848484848485,0.8642424242424243,0.8807575757575757,0.8937878787878788,0.901969696969697,0.9131818181818182,0.9174242424242424,0.9157575757575758,0.9240909090909092,0.9204545454545454,0.9245454545454546,0.9242424242424242,0.9268181818181818,0.9243939393939394,0.9266666666666666,0.928939393939394,0.9306060606060608,0.9287878787878788,0.9284848484848484,0.9301515151515152,0.9296969696969696,0.932878787878788,0.933030303030303,0.9313636363636364,0.9287878787878788,0.93
12,0.6528787878787878,0.7812121212121212,0.8037878787878788,0.8212121212121212,0.8386363636363636,0.8410606060606061,0.8466666666666667,0.845,0.8474242424242424,0.8465151515151516,0.8475757575757575,0.8534848484848485,0.8574242424242424,0.8589393939393939,0.8616666666666667,0.8616666666666667,0.8815151515151515,0.8939393939393939,0.9025757575757576,0.9140909090909092,0.9196969696969696,0.9204545454545454,0.9231818181818182,0.927121212121212,0.9274242424242424,0.9272727272727272,0.9286363636363636,0.9237878787878788,0.931060606060606,0.9318181818181818,0.9322727272727273,0.9343939393939394,0.9315151515151516,0.9301515151515152,0.9312121212121212,0.9345454545454546,0.933030303030303,0.9322727272727273,0.9353030303030304,0.9337878787878788
14,0.6446969696969697,0.7748484848484849,0.8034848484848485,0.8212121212121212,0.8401515151515152,0.8442424242424242,0.8451515151515151,0.8459090909090909,0.8498484848484849,0.8506060606060606,0.855,0.8519696969696969,0.8596969696969697,0.863030303030303,0.8631818181818182,0.8706060606060606,0.8784848484848485,0.8974242424242425,0.9063636363636364,0.915,0.9163636363636364,0.9195454545454546,0.9203030303030304,0.9286363636363636,0.9301515151515152,0.9283333333333332,0.9312121212121212,0.9301515151515152,0.926969696969697,0.9365151515151516,0.9357575757575758,0.935,0.9377272727272729,0.936060606060606,0.9366666666666666,0.9366666666666666,0.9363636363636364,0.9374242424242424,0.936969696969697,0.9381818181818182
16,0.6525757575757576,0.7756060606060606,0.8025757575757576,0.8131818181818182,0.8378787878787879,0.8437878787878788,0.8448484848484848,0.8456060606060606,0.85,0.8556060606060606,0.8562121212121212,0.8568181818181818,0.8540909090909091,0.8592424242424243,0.8651515151515151,0.8686363636363637,0.8766666666666667,0.8966666666666666,0.9163636363636364,0.916969696969697,0.9198484848484848,0.9212121212121211,0.9257575757575758,0.923030303030303,0.9296969696969696,0.9292424242424242,0.9325757575757576,0.9274242424242424,0.927878787878788,0.933939393939394,0.9351515151515152,0.9336363636363636,0.937121212121212,0.9375757575757576,0.937878787878788,0.9372727272727271,0.9353030303030304,0.9374242424242424,0.9374242424242424,0.9383333333333334
18,0.6551515151515152,0.7798484848484849,0.8133333333333334,0.8242424242424242,0.8424242424242424,0.8481818181818181,0.8478787878787879,0.8524242424242424,0.8512121212121212,0.8577272727272728,0.8539393939393939,0.8612121212121212,0.8660606060606061,0.868030303030303,0.8675757575757576,0.8707575757575757,0.8863636363636364,0.8995454545454545,0.9081818181818182,0.9127272727272728,0.9231818181818182,0.9253030303030304,0.926969696969697,0.9292424242424242,0.927878787878788,0.9254545454545454,0.9307575757575758,0.9283333333333332,0.927878787878788,0.9333333333333332,0.9322727272727273,0.9368181818181818,0.9316666666666666,0.9348484848484848,0.932878787878788,0.9351515151515152,0.9333333333333332,0.935,0.9353030303030304,0.9342424242424242
