SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.7666388888888889,0.86175,0.8906111111111111,0.8993055555555556,0.9051944444444444,0.9076666666666666,0.9095,0.9126111111111112,0.9131388888888888,0.9126388888888888,0.9158611111111112,0.9164166666666668,0.9173333333333332,0.9174444444444444,0.9192222222222224,0.9183333333333332,0.9185555555555556,0.9191666666666668,0.9199166666666668,0.9209166666666668,0.91925,0.9204444444444444,0.9224444444444444,0.9227222222222222,0.9223611111111112,0.9220833333333334,0.9229722222222222,0.9231666666666668,0.9231666666666668,0.9227777777777778,0.9237777777777778,0.9263888888888888,0.9281666666666668,0.9279722222222222,0.9263333333333332,0.9269166666666668,0.9283888888888888,0.9294722222222224,0.9291388888888888,0.9295,0.9297777777777778,0.93,0.9289166666666666
2,0.7962777777777778,0.8829444444444444,0.9080833333333334,0.915,0.9183611111111112,0.9203888888888888,0.9226666666666666,0.9228333333333332,0.9248333333333332,0.9275,0.9257777777777778,0.92675,0.9280833333333334,0.9273888888888888,0.9283888888888888,0.9274722222222224,0.9268888888888888,0.9289444444444444,0.9285833333333332,0.9280555555555556,0.9297222222222222,0.92975,0.9289722222222222,0.9288611111111112,0.9308611111111113,0.9286666666666666,0.9295,0.9298055555555556,0.9296388888888888,0.9298611111111112,0.9296944444444444,0.9311111111111112,0.9317777777777778,0.9314444444444444,0.9315277777777776,0.9309722222222222,0.9319166666666666,0.9331111111111112,0.9326388888888888,0.9325833333333332,0.9322777777777778,0.9325833333333332,0.9345
4,0.8060833333333334,0.8914166666666666,0.9143333333333332,0.921,0.9227777777777778,0.9246944444444444,0.9271111111111112,0.9283333333333332,0.92825,0.9284444444444444,0.9291111111111112,0.9288888888888888,0.9305,0.931,0.9301666666666668,0.9309722222222222,0.9309444444444444,0.9320833333333334,0.9318888888888888,0.9315,0.9318888888888888,0.93125,0.9320833333333334,0.9316666666666666,0.9314166666666668,0.9321944444444444,0.9321111111111112,0.9317222222222222,0.93225,0.9315555555555556,0.9328611111111113,0.9337777777777778,0.9343611111111112,0.93425,0.9335555555555556,0.9333333333333332,0.9339722222222222,0.9340277777777778,0.9340277777777778,0.9346111111111112,0.9346944444444444,0.9341666666666668,0.9348888888888889
6,0.8110833333333334,0.8947222222222222,0.9156111111111112,0.923,0.9266666666666666,0.9289166666666666,0.9285277777777776,0.9298611111111112,0.9303611111111112,0.9308333333333332,0.9315833333333332,0.9323333333333332,0.9309722222222222,0.9322777777777778,0.9336111111111112,0.93275,0.9339722222222222,0.93425,0.9326111111111112,0.9340555555555556,0.9332777777777778,0.9334444444444444,0.9334444444444444,0.9334444444444444,0.9338333333333332,0.9341388888888889,0.9358611111111113,0.9346666666666666,0.9343611111111112,0.9345833333333332,0.9345,0.9368055555555556,0.9350277777777778,0.9353611111111112,0.9360277777777778,0.9360833333333334,0.9364722222222224,0.9360833333333334,0.9365,0.9363888888888888,0.9365,0.9368611111111113,0.9368888888888889
8,0.812,0.8953055555555556,0.9176388888888888,0.9249166666666668,0.92625,0.9294722222222224,0.9308888888888888,0.9320555555555556,0.9316666666666666,0.932,0.9321944444444444,0.9331944444444444,0.9330555555555556,0.9349444444444444,0.9338888888888888,0.9340277777777778,0.9341111111111112,0.9345833333333332,0.9333888888888888,0.9350277777777778,0.9343055555555556,0.9343888888888888,0.93525,0.9346111111111112,0.9345277777777776,0.9346111111111112,0.9353055555555556,0.9353055555555556,0.9355,0.9356111111111112,0.9350555555555556,0.9354722222222224,0.9358888888888888,0.9371111111111112,0.9360277777777778,0.9361666666666668,0.9378055555555556,0.9376944444444444,0.9368888888888888,0.93675,0.9373055555555556,0.9379444444444444,0.9366666666666666
10,0.8145555555555556,0.8970833333333333,0.9213333333333332,0.9258333333333332,0.9290277777777778,0.9307777777777778,0.9321666666666668,0.9320833333333334,0.93225,0.9335555555555556,0.9336388888888888,0.9342777777777778,0.9340277777777778,0.9343611111111112,0.9356388888888888,0.9361666666666668,0.9357222222222222,0.9361666666666668,0.9356388888888888,0.9364166666666668,0.9360277777777778,0.9358055555555556,0.9361666666666668,0.9371388888888889,0.9383888888888888,0.9362222222222222,0.9363055555555556,0.9366111111111112,0.93675,0.9365833333333332,0.9365,0.9373611111111112,0.9370555555555556,0.9366388888888888,0.9371666666666668,0.9370833333333334,0.9381944444444444,0.9378888888888888,0.9379444444444444,0.9377777777777778,0.9376666666666666,0.9381666666666668,0.9374444444444444
12,0.8143888888888889,0.8970277777777778,0.9179444444444445,0.9243611111111112,0.9263055555555556,0.9291666666666668,0.9307222222222222,0.9314722222222224,0.9329166666666666,0.9344166666666668,0.9333333333333332,0.9320833333333334,0.9340833333333334,0.9338611111111113,0.9333055555555556,0.9354166666666668,0.9341111111111112,0.9356666666666666,0.9348333333333332,0.9355833333333332,0.9345555555555556,0.9344444444444444,0.9354444444444444,0.9342222222222222,0.9344444444444444,0.934,0.9360277777777778,0.9368611111111113,0.9368888888888888,0.9365833333333332,0.9368055555555556,0.93675,0.9373888888888888,0.9375555555555556,0.9373888888888888,0.9374444444444444,0.9369722222222222,0.9376111111111112,0.9371666666666668,0.93725,0.9376388888888888,0.9379722222222222,0.9391666666666667
14,0.8150277777777778,0.8959722222222222,0.9185555555555556,0.9245833333333332,0.9272777777777778,0.9289166666666666,0.9297222222222222,0.9319166666666666,0.9328888888888888,0.9326944444444444,0.9325833333333332,0.9336111111111112,0.9353333333333332,0.9355833333333332,0.9346388888888888,0.9338611111111113,0.9339722222222222,0.9355277777777776,0.9363055555555556,0.9361944444444444,0.9360555555555556,0.9351944444444444,0.9351111111111112,0.9376944444444444,0.9361944444444444,0.9359722222222222,0.9364166666666668,0.9366388888888888,0.9366666666666666,0.9360833333333334,0.9383055555555556,0.9370555555555556,0.9391944444444444,0.9395,0.9383888888888888,0.9383611111111112,0.9384166666666668,0.9393333333333334,0.9387777777777778,0.9390555555555556,0.9396111111111112,0.9401944444444444,0.9392222222222222
16,0.8125277777777777,0.8956666666666667,0.9189722222222222,0.9235555555555556,0.9278333333333332,0.9297777777777778,0.9305,0.9301388888888888,0.9312222222222222,0.9334166666666668,0.9335,0.9320277777777778,0.9341388888888889,0.9313333333333332,0.9341666666666668,0.9341944444444444,0.9330833333333334,0.9349444444444444,0.9342777777777778,0.9358333333333332,0.9348333333333332,0.9337777777777778,0.9348888888888888,0.9347222222222222,0.9356111111111112,0.9348611111111113,0.9352222222222222,0.9359444444444444,0.9343611111111112,0.9354166666666668,0.9350277777777778,0.9366111111111112,0.9368333333333332,0.9371944444444444,0.9366666666666666,0.9362777777777778,0.9368611111111113,0.9371388888888889,0.9371111111111112,0.9377777777777778,0.9385,0.9381666666666668,0.9373611111111111
18,0.8128888888888889,0.8955833333333333,0.9195833333333332,0.92325,0.926,0.9296666666666666,0.9298333333333332,0.9303055555555556,0.9309722222222222,0.9318055555555556,0.9327222222222222,0.9324166666666668,0.9326111111111112,0.9328611111111113,0.9338055555555556,0.9365833333333332,0.9325,0.9351388888888889,0.9338333333333332,0.9342777777777778,0.9341388888888889,0.9364166666666668,0.9341666666666668,0.935,0.9353055555555556,0.9356111111111112,0.9359722222222222,0.936,0.9371111111111112,0.9361111111111112,0.9352222222222222,0.9369166666666666,0.93725,0.937,0.9374722222222224,0.9385833333333332,0.938,0.9373611111111112,0.93825,0.9364444444444444,0.9394166666666668,0.9379444444444444,0.9391388888888889
Avg,0.5571305555555556,0.6142388888888889,0.6309569444444444,0.6375458333333334,0.6411347222222222,0.6432875,0.6453097222222223,0.6465194444444444,0.6479819444444445,0.6491875,0.6501361111111111,0.6512680555555556,0.6524236111111111,0.6536527777777777,0.6547916666666667,0.6557486111111112,0.656825,0.6598791666666667,0.6625916666666667,0.6655444444444445,0.6670888888888888,0.6698375,0.6721361111111112,0.6732777777777778,0.6755263888888889,0.6760263888888889,0.6779777777777778,0.6801027777777777,0.6805402777777778,0.6811972222222222,0.6829375,0.6907013888888889,0.6931347222222223,0.6943513888888889,0.6953847222222223,0.6969541666666667,0.7027263888888889,0.7042152777777778,0.7048708333333333,0.7055388888888889,0.7098902777777778,0.7106583333333333,0.7109708333333333
