SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,0.7973333333333333,0.8795833333333334,0.9057222222222222,0.9163888888888888,0.9203333333333332,0.9210555555555556,0.9228611111111112,0.9223611111111112,0.9263333333333332,0.9251666666666668,0.9256666666666666,0.9260555555555556,0.9271666666666668,0.9273888888888888,0.9273611111111112,0.9274166666666668,0.9278055555555556,0.9294444444444444,0.9293888888888888,0.9298888888888888,0.9296666666666666,0.9309444444444444,0.9303333333333332,0.9306388888888888,0.9318333333333332,0.9309722222222222,0.9317777777777778,0.9315833333333332,0.9322222222222222,0.9325277777777776,0.9315555555555556
4,0.8049166666666666,0.8830833333333333,0.9133333333333332,0.9211666666666668,0.9242222222222222,0.9260555555555556,0.92675,0.9268055555555555,0.9287777777777778,0.9301388888888888,0.9305,0.92975,0.9299722222222222,0.9314166666666668,0.9309722222222222,0.9312222222222222,0.9310555555555556,0.9325,0.9323888888888888,0.9327777777777778,0.9327777777777778,0.9329444444444444,0.9338055555555556,0.9337222222222222,0.9330833333333334,0.9331111111111112,0.9333333333333332,0.9341944444444444,0.934,0.9348888888888888,0.934
6,0.8075,0.8877777777777778,0.9161388888888888,0.9228333333333332,0.9269444444444443,0.9296111111111112,0.93075,0.93075,0.9325277777777776,0.9330555555555556,0.9329444444444444,0.9328611111111113,0.9329444444444444,0.9340555555555556,0.9341944444444444,0.9335,0.9342777777777778,0.9351111111111112,0.9355277777777776,0.9348611111111113,0.9351111111111112,0.9349166666666666,0.9365,0.9356388888888888,0.9359444444444444,0.9356944444444444,0.9365555555555556,0.9359166666666666,0.9363055555555556,0.9362777777777778,0.9365555555555556
8,0.8104722222222223,0.8873888888888889,0.9161111111111112,0.9261666666666668,0.9291388888888888,0.9313055555555556,0.9315,0.9333611111111112,0.9345555555555556,0.9338888888888888,0.9351666666666668,0.9339722222222222,0.9346666666666666,0.9354444444444444,0.9349722222222222,0.9361944444444444,0.9346944444444444,0.9370555555555556,0.9371944444444444,0.9359722222222222,0.9364722222222224,0.936,0.9363611111111112,0.9368888888888888,0.93675,0.9372777777777778,0.9369444444444444,0.9374444444444444,0.9366944444444444,0.9371666666666668,0.9372222222222222
10,0.8083611111111111,0.89025,0.9193333333333332,0.9269166666666668,0.9319166666666666,0.933,0.9335,0.9363055555555556,0.9366111111111112,0.9360277777777778,0.9368888888888888,0.9365,0.9366111111111112,0.937,0.9374444444444444,0.9371944444444444,0.9372777777777778,0.9391388888888887,0.9378888888888888,0.9390555555555556,0.9382222222222222,0.9383888888888888,0.9385,0.9394722222222224,0.9376388888888888,0.9392777777777778,0.9385,0.9391666666666668,0.9391111111111112,0.9398055555555556,0.9394166666666667
12,0.8092222222222222,0.8904166666666666,0.9193888888888888,0.9259166666666668,0.9303333333333332,0.9315277777777776,0.9323055555555556,0.9340833333333334,0.93375,0.93425,0.9343055555555556,0.9349166666666666,0.9353333333333332,0.9349444444444444,0.93625,0.9375277777777776,0.9374166666666668,0.9376944444444444,0.9378055555555556,0.9374166666666668,0.9386111111111112,0.9371111111111112,0.9376944444444444,0.9379722222222222,0.9371111111111112,0.9389444444444444,0.9383333333333334,0.9376388888888888,0.9368888888888888,0.9373888888888888,0.9376944444444445
14,0.8096388888888889,0.8860833333333333,0.9181111111111112,0.9260555555555556,0.9308888888888888,0.9329722222222222,0.9327222222222222,0.9340277777777778,0.9355,0.9347777777777778,0.9347222222222222,0.93675,0.9355555555555556,0.9363055555555556,0.9368888888888888,0.9368888888888888,0.9373888888888888,0.9392777777777778,0.9392777777777778,0.9388611111111111,0.9381111111111112,0.9378888888888888,0.9390555555555556,0.9388611111111111,0.9393611111111112,0.9398055555555556,0.9391111111111112,0.9395555555555556,0.9408055555555556,0.9401388888888887,0.942
16,0.8080555555555555,0.8896666666666667,0.9176388888888888,0.9253333333333332,0.9291111111111112,0.9313888888888888,0.9320277777777778,0.9323333333333332,0.9342777777777778,0.9335833333333332,0.93425,0.9356388888888888,0.9362222222222222,0.9356944444444444,0.9361944444444444,0.9352222222222222,0.9355277777777776,0.9380555555555556,0.9371666666666668,0.93675,0.9374722222222224,0.9361666666666668,0.9381944444444444,0.9379444444444444,0.9375,0.9375,0.9385277777777776,0.939,0.9384166666666668,0.9379166666666666,0.9387222222222222
18,0.8115555555555556,0.888,0.9163888888888888,0.9253611111111112,0.9276666666666666,0.9308611111111113,0.9333333333333332,0.9333333333333332,0.9351111111111112,0.9348333333333332,0.9343611111111112,0.9341666666666668,0.9334722222222224,0.9344444444444444,0.9351944444444444,0.9368055555555556,0.9355555555555556,0.9369722222222222,0.9375,0.9378055555555556,0.9395,0.9370277777777778,0.93825,0.9375,0.9389166666666666,0.9384444444444444,0.9395277777777776,0.9383611111111112,0.9390555555555556,0.9389722222222222,0.9384444444444444
Avg,0.5595,0.6113180555555555,0.6305472222222223,0.6367805555555556,0.6409777777777778,0.6428194444444445,0.6441930555555555,0.6458944444444444,0.6469152777777778,0.6475861111111111,0.6490986111111111,0.6497986111111111,0.6504902777777778,0.6509222222222222,0.6520861111111111,0.6528013888888888,0.6535402777777778,0.6581569444444444,0.6589666666666667,0.6597944444444445,0.6605666666666666,0.6610458333333333,0.6645569444444445,0.6652583333333333,0.6662666666666667,0.6668166666666666,0.6691694444444445,0.6695208333333333,0.6701638888888889,0.6710166666666667,0.6721486111111111
