SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.7310277777777778,0.8143055555555555,0.8771388888888889,0.8999166666666667,0.9058611111111112,0.9099166666666668,0.9131944444444444,0.9146111111111112,0.9150833333333334,0.9161944444444444,0.917,0.92,0.9201111111111112,0.9214444444444444,0.9217222222222222,0.9247777777777778,0.92475,0.9249444444444443,0.9249444444444443,0.9249166666666668,0.9261944444444444,0.9273055555555556,0.9272777777777778,0.9266388888888888,0.9285,0.92775
2,0.76,0.83175,0.89025,0.9119166666666668,0.9180277777777778,0.9209722222222222,0.9232777777777778,0.9245555555555556,0.9243611111111112,0.9263888888888888,0.9269722222222222,0.9271666666666668,0.928,0.9286111111111112,0.9294444444444444,0.9303888888888888,0.9312777777777778,0.9310555555555556,0.9302222222222222,0.9310277777777778,0.9320555555555556,0.9322222222222222,0.9318333333333332,0.9317222222222222,0.9335555555555556,0.9323333333333333
4,0.7606944444444445,0.8396388888888889,0.8963611111111112,0.9166388888888888,0.9236111111111112,0.9239722222222222,0.9264444444444444,0.928,0.9290833333333334,0.9285277777777776,0.9300555555555556,0.9307777777777778,0.9316388888888888,0.9303888888888888,0.9312777777777778,0.9320833333333334,0.933,0.93225,0.9322222222222222,0.9328611111111113,0.9335277777777776,0.9340277777777778,0.9335,0.9339722222222222,0.9347222222222222,0.9346944444444445
6,0.7683611111111112,0.8401944444444445,0.8986111111111111,0.9190833333333334,0.9261666666666668,0.9288055555555556,0.9297222222222222,0.931,0.9313333333333332,0.9321944444444444,0.9329444444444444,0.9331111111111112,0.9330555555555556,0.9337777777777778,0.9346944444444444,0.9351944444444444,0.93525,0.9354444444444444,0.9353888888888888,0.9354722222222224,0.9365555555555556,0.9369444444444444,0.9364444444444444,0.9370833333333334,0.9369722222222222,0.9369722222222222
8,0.7711111111111111,0.8399444444444445,0.9023611111111112,0.9220555555555556,0.92725,0.9298888888888888,0.9314444444444444,0.9319166666666666,0.9326944444444444,0.9328333333333332,0.9331944444444444,0.9341666666666668,0.9340555555555556,0.9341111111111112,0.9346944444444444,0.9345,0.9358055555555556,0.9361944444444444,0.9364722222222224,0.9356388888888888,0.9368888888888888,0.93725,0.9372777777777778,0.9368333333333332,0.9372222222222222,0.9379722222222222
10,0.7740555555555556,0.8446944444444444,0.9038333333333334,0.9245277777777776,0.9303055555555556,0.9323888888888888,0.9353611111111112,0.9343333333333332,0.9349444444444444,0.9356388888888888,0.9366111111111112,0.93825,0.9374444444444444,0.9362777777777778,0.9368333333333332,0.9385277777777776,0.93875,0.9380555555555556,0.9388333333333332,0.9388888888888888,0.9394166666666668,0.9401944444444444,0.9391111111111112,0.9398611111111111,0.9408055555555556,0.9403055555555555
12,0.7709444444444444,0.8449444444444445,0.90325,0.9254722222222224,0.9295,0.9329444444444444,0.9345833333333332,0.9341111111111112,0.9359722222222222,0.9360555555555556,0.9371111111111112,0.93725,0.9370555555555556,0.9365,0.9376666666666666,0.9387777777777778,0.9385,0.93925,0.9386944444444444,0.93925,0.93925,0.9401666666666668,0.9398888888888888,0.9400277777777778,0.9405555555555556,0.9409722222222222
14,0.7743055555555556,0.8462222222222222,0.9043888888888888,0.9266666666666666,0.9301111111111112,0.9318333333333332,0.9343888888888888,0.9346944444444444,0.9373055555555556,0.9368333333333332,0.9366111111111112,0.9373333333333334,0.9375277777777776,0.9392777777777778,0.9391388888888887,0.9406111111111112,0.9400555555555556,0.9406111111111112,0.9399444444444444,0.9408333333333332,0.9424722222222224,0.9413333333333334,0.9428611111111111,0.9428888888888888,0.9426388888888888,0.94225
16,0.7745833333333333,0.8487222222222223,0.90825,0.9286111111111112,0.9337777777777778,0.937,0.9371666666666668,0.9389444444444444,0.939,0.9404444444444444,0.9404444444444444,0.9418055555555556,0.9405277777777776,0.9430277777777778,0.9418888888888888,0.9443611111111112,0.9434444444444444,0.9443055555555556,0.9449444444444444,0.9449722222222222,0.9457777777777778,0.9453333333333334,0.9451944444444444,0.9449444444444444,0.9461666666666668,0.9461666666666667
18,0.7708888888888888,0.8493611111111111,0.9067777777777778,0.9303611111111112,0.9350833333333334,0.9376666666666666,0.9374166666666668,0.9403055555555556,0.9393611111111112,0.9406111111111112,0.9404166666666668,0.9409722222222222,0.9428333333333332,0.9418055555555556,0.9437777777777778,0.9443333333333334,0.94525,0.9464166666666668,0.9454166666666668,0.9451388888888888,0.9461666666666668,0.9458055555555556,0.9464166666666668,0.9471944444444444,0.94775,0.9480833333333333
Avg,0.5390111111111111,0.5883375,0.6253222222222222,0.6398902777777777,0.6441638888888889,0.6473972222222222,0.6486208333333333,0.6500361111111111,0.6511333333333333,0.6526194444444444,0.6531791666666666,0.6550013888888889,0.6552902777777778,0.6561472222222222,0.6573208333333334,0.6607194444444444,0.6618069444444444,0.662775,0.6630555555555555,0.6632666666666667,0.6671361111111112,0.6677875,0.6688208333333333,0.6692138888888889,0.6714166666666667,0.6720513888888889
