SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.7203611111111111,0.82425,0.8891944444444444,0.9017777777777778,0.9068888888888887,0.9109722222222222,0.9116944444444444,0.9131388888888888,0.9144444444444444,0.9159166666666668,0.9175277777777778,0.9201388888888888,0.9183611111111112,0.9190277777777778,0.91925,0.9224166666666668,0.9231388888888888,0.9241944444444444,0.9231111111111112,0.9242222222222222,0.9240277777777778,0.9251944444444444,0.9262222222222222,0.9261111111111112,0.9260555555555556,0.9270277777777778,0.9263055555555556,0.9273611111111112,0.9275555555555556,0.9269444444444445
2,0.7424722222222222,0.8435555555555555,0.9049722222222222,0.9133611111111112,0.9192777777777776,0.92,0.922,0.9226944444444444,0.9248611111111112,0.9245,0.9255277777777776,0.9265833333333332,0.9276111111111112,0.9275555555555556,0.9268888888888888,0.9296111111111112,0.9301666666666668,0.9306111111111112,0.9311111111111112,0.9301666666666668,0.9300833333333334,0.9313888888888888,0.9310277777777778,0.9315555555555556,0.9316666666666666,0.9315833333333332,0.9312777777777778,0.93225,0.9313888888888888,0.9320833333333334
4,0.7487222222222222,0.85075,0.9110833333333334,0.9226111111111112,0.9239444444444443,0.92575,0.9279444444444443,0.9273333333333332,0.9294722222222224,0.9293888888888888,0.9300277777777778,0.9312777777777778,0.9303611111111112,0.9305,0.93,0.9329722222222222,0.9328333333333332,0.9328888888888888,0.9323333333333332,0.9325,0.9323888888888888,0.9338888888888888,0.9337777777777778,0.9332777777777778,0.934,0.9342222222222222,0.9337222222222222,0.9345277777777776,0.9343055555555556,0.9346388888888889
6,0.7571666666666667,0.8566666666666667,0.9150833333333334,0.9241111111111112,0.9275,0.9290555555555556,0.9318055555555556,0.931,0.9321388888888889,0.9325277777777776,0.9326111111111112,0.93325,0.9331111111111112,0.934,0.9337777777777778,0.9351666666666668,0.9352222222222222,0.9358055555555556,0.9358055555555556,0.9350555555555556,0.9358055555555556,0.9363611111111112,0.9363055555555556,0.9356666666666666,0.9364166666666668,0.9363611111111112,0.9371666666666668,0.9364444444444444,0.9367777777777778,0.93725
8,0.7625555555555555,0.8575833333333334,0.91575,0.9273055555555556,0.9280833333333334,0.9308611111111113,0.9315555555555556,0.9327777777777778,0.9326388888888888,0.9331944444444444,0.9337777777777778,0.9338055555555556,0.9345555555555556,0.9343888888888888,0.9333333333333332,0.9344444444444444,0.9347777777777778,0.936,0.9356388888888888,0.9357777777777778,0.9355277777777776,0.9376666666666666,0.936,0.9366388888888888,0.9366111111111112,0.9371666666666668,0.9369166666666666,0.9378055555555556,0.9373055555555556,0.9372222222222222
10,0.7618888888888888,0.8610277777777777,0.9187777777777778,0.9301388888888888,0.93175,0.9330277777777778,0.9339722222222222,0.93525,0.9349166666666666,0.9358055555555556,0.9361666666666668,0.9374444444444444,0.9372777777777778,0.9369722222222222,0.9379722222222222,0.9393611111111112,0.939,0.9388333333333332,0.9390277777777778,0.9389722222222222,0.9387222222222222,0.9388333333333332,0.9394444444444444,0.9388888888888888,0.9397777777777778,0.94025,0.9399166666666666,0.9403333333333334,0.9394722222222224,0.9406944444444445
12,0.76,0.8634444444444445,0.91975,0.9288611111111112,0.9320833333333334,0.9340555555555556,0.9336666666666666,0.9345277777777776,0.9358611111111113,0.93575,0.93675,0.9364722222222224,0.9363055555555556,0.9371388888888889,0.9366944444444444,0.9387777777777778,0.9387222222222222,0.9383611111111112,0.9383055555555556,0.9388888888888888,0.9395277777777776,0.9391388888888887,0.9395277777777776,0.9395277777777776,0.9395555555555556,0.9398055555555556,0.9410555555555556,0.9404166666666668,0.9401666666666668,0.9408611111111111
14,0.7632222222222222,0.8632777777777778,0.9215833333333332,0.9280555555555556,0.9323611111111112,0.9339166666666666,0.9355277777777776,0.9351388888888889,0.9361666666666668,0.9360833333333334,0.9366111111111112,0.9385277777777776,0.9371666666666668,0.9386944444444444,0.9386666666666666,0.9403611111111112,0.9403055555555556,0.93975,0.9396944444444444,0.9403888888888888,0.9404444444444444,0.9418055555555556,0.9413611111111112,0.9411666666666668,0.9406666666666668,0.94225,0.9416388888888888,0.9421111111111112,0.94125,0.9419722222222222
16,0.7621111111111111,0.8645555555555555,0.9233611111111112,0.93325,0.9348888888888888,0.9372777777777778,0.9378611111111111,0.9401111111111112,0.9398611111111111,0.9403333333333334,0.9403055555555556,0.9406388888888888,0.94125,0.9407222222222222,0.9419444444444444,0.9424444444444444,0.9436666666666668,0.9438611111111112,0.9436388888888888,0.9434166666666668,0.9445277777777776,0.9450555555555556,0.9451944444444444,0.9441666666666668,0.9450277777777778,0.9458333333333332,0.9465833333333332,0.9459444444444444,0.9450277777777778,0.9467222222222222
18,0.763,0.8651666666666666,0.9226388888888888,0.9328888888888888,0.9350555555555556,0.9366111111111112,0.9394166666666668,0.9397222222222222,0.9405833333333332,0.9393611111111112,0.9406666666666668,0.9412222222222222,0.9419166666666666,0.9405,0.9426944444444444,0.9434722222222224,0.9439722222222222,0.94325,0.9436666666666668,0.9434444444444444,0.9437222222222222,0.9450555555555556,0.9446111111111112,0.9452777777777778,0.9453888888888888,0.9454444444444444,0.9446666666666668,0.9456388888888888,0.9455,0.94625
