SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.6298484848484849,0.7401515151515151,0.7593939393939394,0.7774242424242425,0.7983333333333333,0.8137878787878788,0.8154545454545454,0.8295454545454546,0.8286363636363636,0.8295454545454546,0.8334848484848485,0.8304545454545454,0.8348484848484848,0.8409090909090909,0.8442424242424242,0.8619696969696969,0.8781818181818182,0.8839393939393939,0.8877272727272727,0.8946969696969697,0.8972727272727272,0.9003030303030303,0.902121212121212,0.9051515151515152,0.9025757575757576,0.908939393939394,0.9087878787878788,0.9103030303030304,0.9136363636363636,0.9122727272727272,0.9131818181818182,0.911060606060606,0.9186363636363636,0.9159090909090908,0.9140909090909092,0.9148484848484848,0.9162121212121213,0.9172727272727272
2,0.6563636363636364,0.7533333333333333,0.7927272727272727,0.7995454545454546,0.8206060606060606,0.8319696969696969,0.838030303030303,0.8345454545454546,0.8427272727272728,0.8393939393939394,0.8404545454545455,0.8456060606060606,0.8501515151515151,0.8498484848484849,0.8596969696969697,0.8666666666666667,0.8856060606060606,0.9003030303030303,0.9009090909090908,0.9042424242424244,0.91,0.9112121212121213,0.9112121212121213,0.9154545454545454,0.9142424242424242,0.916818181818182,0.916818181818182,0.9245454545454546,0.922878787878788,0.92,0.9240909090909092,0.921969696969697,0.9254545454545454,0.9243939393939394,0.9259090909090908,0.9251515151515152,0.9284848484848484,0.9256060606060607
4,0.6740909090909091,0.7709090909090909,0.7977272727272727,0.8101515151515152,0.8301515151515152,0.8354545454545454,0.84,0.8386363636363636,0.8377272727272728,0.8433333333333334,0.8409090909090909,0.8442424242424242,0.8478787878787879,0.8507575757575757,0.8557575757575757,0.8675757575757576,0.8865151515151515,0.901969696969697,0.9112121212121213,0.9106060606060606,0.9130303030303032,0.9116666666666666,0.9162121212121213,0.9159090909090908,0.9145454545454546,0.918939393939394,0.9174242424242424,0.9231818181818182,0.9213636363636364,0.9237878787878788,0.9256060606060608,0.922121212121212,0.9259090909090908,0.9266666666666666,0.9262121212121212,0.9274242424242424,0.9292424242424242,0.9248484848484848
6,0.6748484848484848,0.77,0.8018181818181818,0.811060606060606,0.8325757575757575,0.8377272727272728,0.8395454545454546,0.8433333333333334,0.8506060606060606,0.8474242424242424,0.8510606060606061,0.8524242424242424,0.8542424242424242,0.8575757575757575,0.8654545454545455,0.8739393939393939,0.8943939393939394,0.9077272727272728,0.912121212121212,0.9130303030303032,0.9175757575757576,0.921969696969697,0.9215151515151516,0.9201515151515152,0.9242424242424242,0.9225757575757576,0.9209090909090908,0.9265151515151516,0.9287878787878788,0.9259090909090908,0.927878787878788,0.9262121212121212,0.9322727272727273,0.931969696969697,0.9306060606060608,0.9295454545454546,0.9296969696969696,0.931060606060606
8,0.6748484848484848,0.7739393939393939,0.8003030303030303,0.8115151515151515,0.8337878787878787,0.8406060606060606,0.8427272727272728,0.8421212121212122,0.8451515151515151,0.8483333333333334,0.8459090909090909,0.8556060606060606,0.8531818181818182,0.8590909090909091,0.8601515151515151,0.8756060606060606,0.8946969696969697,0.9046969696969696,0.911818181818182,0.9122727272727272,0.9184848484848483,0.917121212121212,0.9175757575757576,0.9237878787878788,0.9234848484848484,0.9222727272727272,0.9245454545454546,0.9251515151515152,0.928030303030303,0.9259090909090908,0.9268181818181818,0.9277272727272728,0.9303030303030304,0.9274242424242424,0.9277272727272728,0.9309090909090908,0.9266666666666666,0.926060606060606
10,0.6777272727272727,0.7777272727272727,0.8057575757575758,0.8168181818181818,0.8353030303030303,0.8465151515151516,0.8448484848484848,0.8484848484848485,0.848030303030303,0.8504545454545455,0.8503030303030303,0.858030303030303,0.855909090909091,0.8548484848484849,0.8601515151515151,0.8807575757575757,0.899090909090909,0.9115151515151516,0.9154545454545454,0.9204545454545454,0.9163636363636364,0.9201515151515152,0.921060606060606,0.9248484848484848,0.921818181818182,0.9242424242424242,0.927121212121212,0.93,0.9295454545454546,0.932878787878788,0.9293939393939394,0.9281818181818182,0.9312121212121212,0.9331818181818182,0.9307575757575758,0.928939393939394,0.9333333333333332,0.9328787878787879
12,0.6753030303030303,0.7863636363636364,0.8043939393939394,0.8218181818181818,0.8412121212121212,0.8475757575757575,0.8469696969696969,0.8501515151515151,0.8513636363636363,0.8495454545454545,0.8540909090909091,0.855,0.8560606060606061,0.8612121212121212,0.8681818181818182,0.8751515151515151,0.9004545454545455,0.911060606060606,0.9148484848484848,0.9204545454545454,0.9216666666666666,0.9203030303030304,0.9251515151515152,0.9204545454545454,0.923939393939394,0.9246969696969696,0.9272727272727272,0.9324242424242424,0.9359090909090908,0.9356060606060606,0.9313636363636364,0.928939393939394,0.93,0.933030303030303,0.9325757575757576,0.931060606060606,0.9315151515151516,0.9293939393939394
14,0.6668181818181819,0.7851515151515152,0.8066666666666666,0.8162121212121212,0.8356060606060606,0.845,0.8465151515151516,0.8495454545454545,0.8468181818181818,0.8524242424242424,0.8540909090909091,0.853030303030303,0.860909090909091,0.8653030303030304,0.8625757575757576,0.8822727272727273,0.8975757575757576,0.9106060606060606,0.9154545454545454,0.9154545454545454,0.9257575757575758,0.9207575757575758,0.9259090909090908,0.9253030303030304,0.9240909090909092,0.9268181818181818,0.928030303030303,0.928030303030303,0.9322727272727273,0.9315151515151516,0.9286363636363636,0.9293939393939394,0.9315151515151516,0.9316666666666666,0.9368181818181818,0.927121212121212,0.932878787878788,0.933030303030303
16,0.6643939393939394,0.771969696969697,0.8016666666666666,0.8133333333333334,0.833030303030303,0.8409090909090909,0.8445454545454546,0.853030303030303,0.8484848484848485,0.8484848484848485,0.8492424242424242,0.8589393939393939,0.8612121212121212,0.8634848484848485,0.8613636363636363,0.8837878787878788,0.8946969696969697,0.913939393939394,0.918939393939394,0.9233333333333332,0.9213636363636364,0.9233333333333332,0.927121212121212,0.9256060606060608,0.9284848484848484,0.93,0.9272727272727272,0.9342424242424242,0.9331818181818182,0.9333333333333332,0.9324242424242424,0.935,0.9343939393939394,0.936060606060606,0.9375757575757576,0.9392424242424242,0.936969696969697,0.9354545454545454
18,0.6748484848484848,0.7837878787878788,0.806969696969697,0.8246969696969697,0.8437878787878788,0.8521212121212122,0.8503030303030303,0.8565151515151516,0.8496969696969697,0.8601515151515151,0.858030303030303,0.8604545454545455,0.8627272727272727,0.8615151515151516,0.8681818181818182,0.8818181818181818,0.8987878787878788,0.915,0.9215151515151516,0.9251515151515152,0.9243939393939394,0.9265151515151516,0.9275757575757576,0.927121212121212,0.9312121212121212,0.9327272727272728,0.9284848484848484,0.936060606060606,0.933030303030303,0.9337878787878788,0.9356060606060606,0.9334848484848484,0.9384848484848484,0.9348484848484848,0.9374242424242424,0.9340909090909092,0.9375757575757576,0.936060606060606
Avg,0.4671287878787878,0.5381742424242424,0.5561893939393939,0.5635606060606061,0.5752348484848485,0.5823636363636364,0.5856363636363636,0.5877651515151515,0.5905757575757575,0.5920151515151515,0.5944242424242424,0.5960606060606061,0.5983409090909091,0.601280303030303,0.6035681818181818,0.6130606060606061,0.6226439393939394,0.6315151515151515,0.6351666666666667,0.6372651515151515,0.6405984848484848,0.6423636363636364,0.6442954545454546,0.645530303030303,0.64725,0.6478712121212121,0.6498409090909091,0.6585833333333333,0.6600833333333334,0.6604772727272727,0.6625378787878788,0.6630227272727273,0.6691969696969697,0.6719015151515152,0.6724924242424243,0.6735454545454546,0.6776742424242425,0.6781590909090909
