SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.6430303030303031,0.7381818181818182,0.7622727272727273,0.7781818181818182,0.7927272727272727,0.7993939393939394,0.8087878787878788,0.8203030303030303,0.8336363636363636,0.84,0.8566666666666667,0.8640909090909091,0.8763636363636363,0.8857575757575757,0.8848484848484849,0.8912121212121212,0.903939393939394,0.9022727272727272,0.9056060606060606,0.906818181818182,0.9084848484848485,0.91,0.9106060606060606,0.9116666666666666,0.9174242424242424,0.916818181818182,0.9163636363636364,0.9181818181818182,0.923030303030303,0.9218181818181819
2,0.6607575757575758,0.7554545454545455,0.7712121212121212,0.7948484848484848,0.8057575757575758,0.8281818181818181,0.8321212121212122,0.8342424242424242,0.85,0.8516666666666667,0.8715151515151515,0.881969696969697,0.8931818181818182,0.8963636363636364,0.9077272727272728,0.9040909090909092,0.9137878787878788,0.9130303030303032,0.9142424242424242,0.9124242424242424,0.9124242424242424,0.916969696969697,0.9128787878787878,0.913939393939394,0.9227272727272728,0.9183333333333332,0.9206060606060606,0.916969696969697,0.9184848484848483,0.9207575757575758
4,0.6824242424242424,0.7716666666666666,0.7953030303030303,0.8040909090909091,0.8243939393939393,0.8362121212121212,0.8407575757575757,0.8419696969696969,0.853030303030303,0.8672727272727273,0.8774242424242424,0.8872727272727273,0.8998484848484849,0.9025757575757576,0.9136363636363636,0.9136363636363636,0.9148484848484848,0.9134848484848485,0.916969696969697,0.9178787878787878,0.916060606060606,0.9165151515151516,0.9183333333333332,0.9215151515151516,0.9248484848484848,0.9266666666666666,0.922878787878788,0.9234848484848484,0.9259090909090908,0.9287878787878788
6,0.6931818181818182,0.774090909090909,0.7962121212121213,0.8066666666666666,0.8175757575757576,0.8346969696969697,0.8443939393939394,0.8493939393939394,0.8619696969696969,0.8718181818181818,0.8874242424242424,0.8943939393939394,0.9015151515151516,0.908939393939394,0.9143939393939394,0.9146969696969696,0.9231818181818182,0.9207575757575758,0.9207575757575758,0.922121212121212,0.9224242424242424,0.9216666666666666,0.9242424242424242,0.9236363636363636,0.9262121212121212,0.9242424242424242,0.9240909090909092,0.9254545454545454,0.9274242424242424,0.9251515151515152
8,0.6851515151515152,0.7763636363636364,0.793939393939394,0.8116666666666666,0.8225757575757576,0.8395454545454546,0.8421212121212122,0.8590909090909091,0.8653030303030304,0.8746969696969698,0.8863636363636364,0.8943939393939394,0.906060606060606,0.9090909090909092,0.9063636363636364,0.9143939393939394,0.9154545454545454,0.9216666666666666,0.9148484848484848,0.9187878787878788,0.916818181818182,0.9181818181818182,0.9240909090909092,0.9187878787878788,0.9224242424242424,0.9172727272727272,0.9209090909090908,0.923939393939394,0.9231818181818182,0.9190909090909091
10,0.7033333333333334,0.7763636363636364,0.8045454545454546,0.8212121212121212,0.8254545454545454,0.8403030303030303,0.8522727272727273,0.8553030303030303,0.8653030303030304,0.8771212121212121,0.8898484848484849,0.9025757575757576,0.9048484848484848,0.9048484848484848,0.9122727272727272,0.9122727272727272,0.9233333333333332,0.9251515151515152,0.9225757575757576,0.9207575757575758,0.9224242424242424,0.9209090909090908,0.9240909090909092,0.9193939393939394,0.923939393939394,0.9245454545454546,0.9268181818181818,0.9263636363636364,0.9274242424242424,0.928030303030303
12,0.6890909090909091,0.7786363636363637,0.8001515151515152,0.8154545454545454,0.8286363636363636,0.8363636363636363,0.8454545454545455,0.8604545454545455,0.8607575757575757,0.8793939393939394,0.8843939393939394,0.8959090909090909,0.9016666666666666,0.9106060606060606,0.913939393939394,0.9180303030303032,0.9175757575757576,0.921818181818182,0.9186363636363636,0.926060606060606,0.9213636363636364,0.9212121212121211,0.9204545454545454,0.9237878787878788,0.9259090909090908,0.9316666666666666,0.9266666666666666,0.9222727272727272,0.9293939393939394,0.9318181818181818
14,0.6883333333333334,0.7843939393939394,0.803030303030303,0.8125757575757576,0.8216666666666667,0.8403030303030303,0.8486363636363636,0.8486363636363636,0.8631818181818182,0.8783333333333333,0.8881818181818182,0.8993939393939394,0.9078787878787878,0.9048484848484848,0.9148484848484848,0.9134848484848485,0.9215151515151516,0.9262121212121212,0.922121212121212,0.9231818181818182,0.9246969696969696,0.9183333333333332,0.926060606060606,0.9193939393939394,0.9268181818181818,0.9266666666666666,0.9292424242424242,0.9306060606060608,0.9287878787878788,0.9313636363636364
16,0.6915151515151515,0.7654545454545455,0.7918181818181819,0.8115151515151515,0.8186363636363636,0.8372727272727273,0.8416666666666667,0.8521212121212122,0.8595454545454545,0.8746969696969698,0.8860606060606061,0.8928787878787878,0.9033333333333332,0.9053030303030304,0.9145454545454546,0.9116666666666666,0.9178787878787878,0.9172727272727272,0.9190909090909092,0.9224242424242424,0.9196969696969696,0.9225757575757576,0.9193939393939394,0.9259090909090908,0.9272727272727272,0.9227272727272728,0.9237878787878788,0.9215151515151516,0.9284848484848484,0.9268181818181818
18,0.7013636363636364,0.7796969696969697,0.7996969696969697,0.8216666666666667,0.8316666666666667,0.833939393939394,0.8442424242424242,0.8546969696969697,0.8606060606060606,0.8745454545454545,0.8824242424242424,0.8924242424242425,0.8936363636363637,0.9090909090909092,0.9040909090909092,0.9103030303030304,0.92,0.9207575757575758,0.92,0.9154545454545454,0.9154545454545454,0.9180303030303032,0.9174242424242424,0.9196969696969696,0.923030303030303,0.9213636363636364,0.92,0.9242424242424242,0.92,0.9193939393939394
