SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,0.6534848484848484,0.7559090909090909,0.7953030303030303,0.8096969696969697,0.8224242424242424,0.8327272727272728,0.8356060606060606,0.8365151515151515,0.8483333333333334,0.8575757575757575,0.8639393939393939,0.8665151515151515,0.8757575757575757,0.8783333333333333,0.878030303030303,0.8857575757575757,0.8915151515151515,0.8903030303030303,0.895,0.8925757575757576,0.8971212121212121,0.9030303030303032,0.9045454545454544,0.9059090909090908,0.9086363636363636,0.906969696969697,0.9078787878787878,0.911060606060606,0.9078787878787878,0.9096969696969696,0.9157575757575758,0.9195454545454546,0.915,0.9159090909090908,0.916818181818182,0.9204545454545454,0.9207575757575758,0.918939393939394,0.9192424242424242
2,0.6662121212121213,0.78,0.8172727272727273,0.8246969696969697,0.8325757575757575,0.8369696969696969,0.8460606060606061,0.8481818181818181,0.8589393939393939,0.8815151515151515,0.8834848484848485,0.8903030303030303,0.8901515151515151,0.896969696969697,0.9003030303030303,0.8996969696969697,0.9057575757575758,0.9092424242424244,0.9143939393939394,0.911969696969697,0.9090909090909092,0.9184848484848483,0.9192424242424242,0.9183333333333332,0.9183333333333332,0.9195454545454546,0.923030303030303,0.9240909090909092,0.9213636363636364,0.921818181818182,0.9240909090909092,0.9259090909090908,0.9213636363636364,0.9251515151515152,0.9245454545454546,0.9224242424242424,0.9246969696969696,0.9233333333333332,0.9253030303030303
4,0.6706060606060606,0.7877272727272727,0.8166666666666667,0.8193939393939393,0.8295454545454546,0.8362121212121212,0.8459090909090909,0.8542424242424242,0.8675757575757576,0.8848484848484849,0.891969696969697,0.8910606060606061,0.901818181818182,0.9051515151515152,0.9078787878787878,0.9084848484848485,0.911060606060606,0.9112121212121213,0.9159090909090908,0.9207575757575758,0.9187878787878788,0.9212121212121211,0.925,0.9222727272727272,0.9234848484848484,0.9268181818181818,0.9265151515151516,0.9243939393939394,0.9231818181818182,0.9237878787878788,0.9283333333333332,0.927121212121212,0.9263636363636364,0.928030303030303,0.9315151515151516,0.9284848484848484,0.9292424242424242,0.927121212121212,0.9265151515151515
6,0.6875757575757576,0.795,0.8283333333333334,0.8433333333333334,0.8483333333333334,0.8516666666666667,0.8578787878787879,0.8595454545454545,0.8710606060606061,0.8866666666666667,0.8895454545454545,0.8936363636363637,0.8962121212121212,0.906060606060606,0.9074242424242424,0.9086363636363636,0.9159090909090908,0.9136363636363636,0.916060606060606,0.9142424242424242,0.9204545454545454,0.9215151515151516,0.9222727272727272,0.922878787878788,0.9240909090909092,0.9246969696969696,0.9243939393939394,0.9243939393939394,0.9251515151515152,0.9275757575757576,0.9240909090909092,0.9277272727272728,0.927121212121212,0.9265151515151516,0.926969696969697,0.9283333333333332,0.9272727272727272,0.9272727272727272,0.9275757575757576
8,0.676969696969697,0.7927272727272727,0.8253030303030303,0.826969696969697,0.8428787878787879,0.8457575757575757,0.8551515151515151,0.8621212121212121,0.8701515151515151,0.8872727272727273,0.8912121212121212,0.8904545454545455,0.901818181818182,0.9037878787878788,0.906969696969697,0.9074242424242424,0.9084848484848485,0.9216666666666666,0.9134848484848485,0.9166666666666666,0.9216666666666666,0.9207575757575758,0.9236363636363636,0.922121212121212,0.9251515151515152,0.9215151515151516,0.9245454545454546,0.9246969696969696,0.9240909090909092,0.9268181818181818,0.926969696969697,0.9281818181818182,0.9234848484848484,0.926060606060606,0.9251515151515152,0.9257575757575758,0.9275757575757576,0.927121212121212,0.9287878787878788
10,0.6877272727272727,0.7936363636363636,0.8266666666666667,0.8315151515151515,0.8348484848484848,0.8427272727272728,0.8483333333333334,0.8560606060606061,0.8634848484848485,0.8831818181818182,0.8936363636363637,0.8984848484848484,0.8998484848484849,0.906969696969697,0.9112121212121213,0.9115151515151516,0.9145454545454546,0.913939393939394,0.9166666666666666,0.916060606060606,0.9178787878787878,0.925,0.922121212121212,0.9212121212121211,0.9213636363636364,0.925,0.9233333333333332,0.9245454545454546,0.9256060606060608,0.9254545454545454,0.9240909090909092,0.9259090909090908,0.9251515151515152,0.9251515151515152,0.927121212121212,0.9265151515151516,0.927121212121212,0.9265151515151516,0.9256060606060607
12,0.6824242424242424,0.7906060606060606,0.8209090909090909,0.8278787878787879,0.8372727272727273,0.8428787878787879,0.8475757575757575,0.8515151515151516,0.8672727272727273,0.8798484848484849,0.8910606060606061,0.8906060606060606,0.8986363636363637,0.9042424242424244,0.9063636363636364,0.9081818181818182,0.9130303030303032,0.9127272727272728,0.916969696969697,0.9151515151515152,0.9174242424242424,0.9216666666666666,0.9259090909090908,0.9231818181818182,0.9245454545454546,0.9253030303030304,0.9259090909090908,0.9259090909090908,0.9265151515151516,0.9253030303030304,0.9265151515151516,0.9265151515151516,0.9284848484848484,0.9254545454545454,0.9286363636363636,0.927878787878788,0.9290909090909092,0.927878787878788,0.93
14,0.6765151515151515,0.7898484848484848,0.8246969696969697,0.8343939393939394,0.8362121212121212,0.8419696969696969,0.8478787878787879,0.850909090909091,0.8689393939393939,0.8795454545454545,0.8895454545454545,0.8946969696969697,0.8989393939393939,0.9033333333333332,0.9095454545454544,0.9106060606060606,0.9113636363636364,0.9163636363636364,0.9196969696969696,0.9162121212121213,0.9198484848484848,0.923939393939394,0.925,0.9231818181818182,0.9231818181818182,0.9253030303030304,0.9254545454545454,0.9274242424242424,0.9266666666666666,0.9253030303030304,0.928939393939394,0.926969696969697,0.9283333333333332,0.9277272727272728,0.9286363636363636,0.9275757575757576,0.928939393939394,0.9266666666666666,0.9268181818181818
16,0.6753030303030303,0.796969696969697,0.8196969696969697,0.8278787878787879,0.8362121212121212,0.8448484848484848,0.8446969696969697,0.8542424242424242,0.8640909090909091,0.881969696969697,0.8896969696969697,0.8909090909090909,0.8978787878787878,0.8992424242424243,0.9046969696969696,0.9059090909090908,0.9116666666666666,0.9140909090909092,0.9134848484848485,0.91,0.9134848484848485,0.9222727272727272,0.9193939393939394,0.9198484848484848,0.9206060606060606,0.9201515151515152,0.9178787878787878,0.9207575757575758,0.9213636363636364,0.92,0.9254545454545454,0.9237878787878788,0.9227272727272728,0.9254545454545454,0.927121212121212,0.926969696969697,0.9259090909090908,0.9237878787878788,0.9243939393939394
18,0.6742424242424242,0.791969696969697,0.8290909090909091,0.8328787878787879,0.8393939393939394,0.8478787878787879,0.8548484848484849,0.8590909090909091,0.8668181818181818,0.8868181818181818,0.8884848484848484,0.8937878787878788,0.9024242424242424,0.9063636363636364,0.9063636363636364,0.9143939393939394,0.911818181818182,0.9165151515151516,0.9203030303030304,0.921060606060606,0.918939393939394,0.922878787878788,0.9248484848484848,0.9233333333333332,0.9234848484848484,0.9268181818181818,0.9262121212121212,0.9245454545454546,0.9216666666666666,0.9251515151515152,0.9265151515151516,0.926969696969697,0.9257575757575758,0.9281818181818182,0.9275757575757576,0.927121212121212,0.9298484848484848,0.927121212121212,0.928030303030303
