SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.6248484848484849,0.7246969696969697,0.7346969696969697,0.7571212121212121,0.7778787878787878,0.7963636363636364,0.8090909090909091,0.8178787878787879,0.8245454545454546,0.835,0.8506060606060606,0.8725757575757576,0.8818181818181818,0.8910606060606061,0.8904545454545455,0.8948484848484849,0.8963636363636364,0.8993939393939394,0.9024242424242424,0.9093939393939394,0.9053030303030304,0.9122727272727272,0.9134848484848485,0.9124242424242424,0.9154545454545454,0.9175757575757576,0.9175757575757576,0.9180303030303032,0.9184848484848483,0.9224242424242424,0.9209090909090908,0.923030303030303,0.9227272727272728,0.9240909090909092,0.9212121212121213
2,0.6362121212121212,0.7422727272727273,0.7513636363636363,0.7712121212121212,0.7912121212121213,0.8177272727272727,0.8243939393939393,0.8313636363636364,0.8360606060606061,0.8437878787878788,0.8665151515151515,0.8836363636363637,0.8925757575757576,0.8993939393939394,0.903939393939394,0.9051515151515152,0.9081818181818182,0.9080303030303032,0.9125757575757576,0.915,0.9172727272727272,0.9175757575757576,0.9153030303030304,0.9209090909090908,0.9225757575757576,0.9215151515151516,0.9196969696969696,0.9246969696969696,0.9243939393939394,0.9296969696969696,0.9259090909090908,0.9253030303030304,0.9243939393939394,0.9256060606060608,0.9256060606060607
4,0.6522727272727272,0.7518181818181818,0.759090909090909,0.7715151515151515,0.7951515151515152,0.823939393939394,0.8262121212121212,0.8345454545454546,0.8428787878787879,0.8521212121212122,0.8728787878787879,0.8883333333333333,0.8971212121212121,0.9012121212121212,0.9103030303030304,0.91,0.9116666666666666,0.916060606060606,0.9131818181818182,0.9201515151515152,0.9212121212121211,0.9192424242424242,0.9193939393939394,0.9184848484848483,0.921818181818182,0.923939393939394,0.9242424242424242,0.9246969696969696,0.9240909090909092,0.9253030303030304,0.9263636363636364,0.923939393939394,0.926060606060606,0.9245454545454546,0.9287878787878788
6,0.6566666666666666,0.7557575757575757,0.7692424242424243,0.7812121212121212,0.8028787878787879,0.8292424242424242,0.8353030303030303,0.8428787878787879,0.8504545454545455,0.8612121212121212,0.881969696969697,0.8913636363636364,0.9006060606060606,0.9083333333333332,0.9124242424242424,0.9165151515151516,0.9165151515151516,0.921818181818182,0.9196969696969696,0.9277272727272728,0.9257575757575758,0.9245454545454546,0.9265151515151516,0.9263636363636364,0.9345454545454546,0.9309090909090908,0.9327272727272728,0.928939393939394,0.9277272727272728,0.9316666666666666,0.9324242424242424,0.932878787878788,0.9312121212121212,0.9316666666666666,0.9331818181818182
8,0.641969696969697,0.7587878787878788,0.7698484848484849,0.7830303030303031,0.8057575757575758,0.8303030303030303,0.8386363636363636,0.8407575757575757,0.8527272727272728,0.8636363636363636,0.8810606060606061,0.8980303030303031,0.9074242424242424,0.9113636363636364,0.9156060606060606,0.916818181818182,0.916969696969697,0.9184848484848483,0.9240909090909092,0.9295454545454546,0.928939393939394,0.9257575757575758,0.9215151515151516,0.928030303030303,0.9290909090909092,0.9286363636363636,0.9293939393939394,0.9306060606060608,0.9286363636363636,0.93,0.9298484848484848,0.9284848484848484,0.9287878787878788,0.9268181818181818,0.9304545454545454
10,0.6601515151515152,0.7575757575757576,0.776060606060606,0.7951515151515152,0.8124242424242424,0.8266666666666667,0.8466666666666667,0.8422727272727273,0.8543939393939394,0.8631818181818182,0.8856060606060606,0.8978787878787878,0.9096969696969696,0.9157575757575758,0.9162121212121213,0.922121212121212,0.9225757575757576,0.9233333333333332,0.9246969696969696,0.9259090909090908,0.9286363636363636,0.9266666666666666,0.927121212121212,0.9263636363636364,0.927878787878788,0.9307575757575758,0.9287878787878788,0.9293939393939394,0.93,0.9309090909090908,0.9284848484848484,0.93,0.9312121212121212,0.9304545454545454,0.9303030303030303
12,0.6539393939393939,0.7622727272727273,0.7698484848484849,0.7913636363636364,0.801060606060606,0.8366666666666667,0.8442424242424242,0.848030303030303,0.8563636363636363,0.8574242424242424,0.885,0.8974242424242425,0.9066666666666666,0.9113636363636364,0.9163636363636364,0.9181818181818182,0.9177272727272728,0.9248484848484848,0.9298484848484848,0.9309090909090908,0.9312121212121212,0.9290909090909092,0.9301515151515152,0.9303030303030304,0.9336363636363636,0.9322727272727273,0.9343939393939394,0.9345454545454546,0.9351515151515152,0.9354545454545454,0.9366666666666666,0.933030303030303,0.9312121212121212,0.9354545454545454,0.9366666666666666
14,0.6480303030303031,0.7637878787878788,0.7712121212121212,0.7936363636363636,0.8074242424242424,0.8345454545454546,0.8460606060606061,0.8465151515151516,0.8506060606060606,0.8645454545454545,0.8866666666666667,0.8998484848484849,0.9054545454545454,0.9145454545454546,0.918939393939394,0.9206060606060606,0.9216666666666666,0.925,0.9240909090909092,0.9284848484848484,0.93,0.9318181818181818,0.9343939393939394,0.9313636363636364,0.9337878787878788,0.9316666666666666,0.9327272727272728,0.9340909090909092,0.9343939393939394,0.936060606060606,0.9359090909090908,0.9383333333333334,0.9343939393939394,0.9340909090909092,0.9384848484848485
16,0.6453030303030303,0.7556060606060606,0.7681818181818182,0.7846969696969697,0.8022727272727272,0.8307575757575758,0.8393939393939394,0.8463636363636363,0.8516666666666667,0.8596969696969697,0.8828787878787879,0.901060606060606,0.9087878787878788,0.913939393939394,0.9175757575757576,0.9222727272727272,0.9190909090909092,0.9248484848484848,0.9245454545454546,0.932121212121212,0.9313636363636364,0.9322727272727273,0.932121212121212,0.9327272727272728,0.9381818181818182,0.9356060606060606,0.9353030303030304,0.9351515151515152,0.9359090909090908,0.9365151515151516,0.937121212121212,0.9346969696969696,0.9356060606060606,0.9401515151515152,0.9353030303030303
18,0.6571212121212121,0.755,0.771969696969697,0.7953030303030303,0.8142424242424242,0.8316666666666667,0.8469696969696969,0.8536363636363636,0.8604545454545455,0.8654545454545455,0.8877272727272727,0.9046969696969696,0.9134848484848485,0.9157575757575758,0.9159090909090908,0.9233333333333332,0.9216666666666666,0.9257575757575758,0.9275757575757576,0.93,0.9304545454545454,0.9324242424242424,0.9345454545454546,0.9296969696969696,0.9346969696969696,0.9316666666666666,0.9306060606060608,0.936060606060606,0.935,0.9362121212121212,0.937878787878788,0.9393939393939394,0.9340909090909092,0.9359090909090908,0.9348484848484848
