SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0.6472727272727272,0.7457575757575757,0.7892424242424242,0.8074242424242424,0.8112121212121212,0.8168181818181818,0.8274242424242424,0.8337878787878787,0.8481818181818181,0.8610606060606061,0.873030303030303,0.8810606060606061,0.89,0.8931818181818182,0.8954545454545455,0.9012121212121212,0.9,0.905,0.9109090909090908,0.9037878787878788,0.9062121212121212,0.907121212121212,0.911969696969697,0.907121212121212,0.9101515151515152,0.9148484848484848,0.9162121212121213,0.9151515151515152,0.9136363636363636,0.9154545454545454,0.9192424242424242,0.9204545454545454,0.9180303030303032,0.9193939393939394,0.9184848484848483,0.918939393939394,0.9190909090909091
2,0.6633333333333333,0.7516666666666667,0.8048484848484848,0.8207575757575758,0.8301515151515152,0.8278787878787879,0.8434848484848485,0.8495454545454545,0.860909090909091,0.8771212121212121,0.8887878787878788,0.8972727272727272,0.9045454545454544,0.9130303030303032,0.9134848484848485,0.9212121212121211,0.9187878787878788,0.923030303030303,0.9196969696969696,0.9174242424242424,0.921060606060606,0.921060606060606,0.925,0.9242424242424242,0.9225757575757576,0.9286363636363636,0.9257575757575758,0.925,0.9251515151515152,0.9304545454545454,0.9272727272727272,0.9286363636363636,0.9274242424242424,0.927121212121212,0.9272727272727272,0.9286363636363636,0.9266666666666666
4,0.6693939393939394,0.7606060606060606,0.8136363636363636,0.8234848484848485,0.8328787878787879,0.8392424242424242,0.8428787878787879,0.8496969696969697,0.8663636363636363,0.8836363636363637,0.8993939393939394,0.9046969696969696,0.9080303030303032,0.9145454545454546,0.916969696969697,0.9201515151515152,0.9174242424242424,0.921969696969697,0.9254545454545454,0.921818181818182,0.9186363636363636,0.9251515151515152,0.9284848484848484,0.9227272727272728,0.923939393939394,0.9292424242424242,0.9295454545454546,0.9284848484848484,0.9298484848484848,0.926060606060606,0.9292424242424242,0.9290909090909092,0.9286363636363636,0.9296969696969696,0.9309090909090908,0.93,0.9301515151515152
6,0.6628787878787878,0.7630303030303031,0.8225757575757576,0.8322727272727273,0.8387878787878787,0.8427272727272728,0.8522727272727273,0.8622727272727273,0.8745454545454545,0.8928787878787878,0.896969696969697,0.9077272727272728,0.913939393939394,0.917121212121212,0.921969696969697,0.9231818181818182,0.923939393939394,0.9246969696969696,0.9262121212121212,0.927878787878788,0.9259090909090908,0.9281818181818182,0.927878787878788,0.926060606060606,0.9254545454545454,0.9298484848484848,0.9318181818181818,0.9293939393939394,0.9306060606060608,0.9303030303030304,0.9312121212121212,0.932121212121212,0.9301515151515152,0.93,0.9309090909090908,0.9312121212121212,0.9304545454545454
8,0.6527272727272727,0.7637878787878788,0.8213636363636364,0.8316666666666667,0.8360606060606061,0.8437878787878788,0.8472727272727273,0.8592424242424243,0.8672727272727273,0.8893939393939394,0.9006060606060606,0.9095454545454544,0.915,0.9151515151515152,0.9204545454545454,0.9206060606060606,0.9216666666666666,0.9254545454545454,0.9272727272727272,0.9290909090909092,0.9281818181818182,0.9284848484848484,0.928939393939394,0.927121212121212,0.9268181818181818,0.928939393939394,0.931060606060606,0.9315151515151516,0.9322727272727273,0.9272727272727272,0.9342424242424242,0.9306060606060608,0.9312121212121212,0.9313636363636364,0.933030303030303,0.9343939393939394,0.9307575757575758
10,0.6772727272727272,0.7578787878787879,0.8159090909090909,0.8293939393939394,0.8460606060606061,0.8406060606060606,0.8419696969696969,0.8571212121212122,0.8727272727272727,0.8881818181818182,0.8993939393939394,0.9059090909090908,0.908939393939394,0.9163636363636364,0.9166666666666666,0.9251515151515152,0.9236363636363636,0.9254545454545454,0.9272727272727272,0.925,0.926060606060606,0.9266666666666666,0.9266666666666666,0.927121212121212,0.9268181818181818,0.9290909090909092,0.9290909090909092,0.9309090909090908,0.9293939393939394,0.9307575757575758,0.9283333333333332,0.9287878787878788,0.9313636363636364,0.9303030303030304,0.9304545454545454,0.9303030303030304,0.9295454545454546
12,0.6589393939393939,0.7609090909090909,0.8227272727272728,0.826969696969697,0.8318181818181818,0.8419696969696969,0.8481818181818181,0.8510606060606061,0.8662121212121212,0.8889393939393939,0.8963636363636364,0.9103030303030304,0.9143939393939394,0.918939393939394,0.9233333333333332,0.923030303030303,0.926060606060606,0.9240909090909092,0.9259090909090908,0.926969696969697,0.9253030303030304,0.926969696969697,0.9295454545454546,0.9266666666666666,0.9263636363636364,0.93,0.9306060606060608,0.9286363636363636,0.9313636363636364,0.9290909090909092,0.931060606060606,0.9322727272727273,0.9318181818181818,0.9313636363636364,0.9312121212121212,0.9307575757575758,0.9345454545454546
14,0.6674242424242425,0.7706060606060606,0.8177272727272727,0.8286363636363636,0.8324242424242424,0.8392424242424242,0.8471212121212122,0.8525757575757575,0.8742424242424243,0.8827272727272727,0.8972727272727272,0.9024242424242424,0.9125757575757576,0.9151515151515152,0.9193939393939394,0.92,0.9212121212121211,0.9272727272727272,0.9243939393939394,0.9259090909090908,0.926060606060606,0.9263636363636364,0.9274242424242424,0.9281818181818182,0.9265151515151516,0.9293939393939394,0.9309090909090908,0.9309090909090908,0.9292424242424242,0.9284848484848484,0.931969696969697,0.9303030303030304,0.927878787878788,0.9304545454545454,0.9286363636363636,0.9303030303030304,0.9293939393939394
16,0.6698484848484848,0.7633333333333333,0.8143939393939394,0.8196969696969697,0.833030303030303,0.8356060606060606,0.8396969696969697,0.8506060606060606,0.8663636363636363,0.883030303030303,0.8977272727272727,0.9033333333333332,0.9113636363636364,0.9162121212121213,0.9195454545454546,0.9227272727272728,0.9222727272727272,0.9192424242424242,0.9245454545454546,0.921969696969697,0.9213636363636364,0.9233333333333332,0.9256060606060608,0.9254545454545454,0.9251515151515152,0.926969696969697,0.9268181818181818,0.9243939393939394,0.9251515151515152,0.928030303030303,0.928030303030303,0.9284848484848484,0.9277272727272728,0.926060606060606,0.9292424242424242,0.9272727272727272,0.9278787878787879
18,0.666060606060606,0.764090909090909,0.8177272727272727,0.8328787878787879,0.838939393939394,0.8451515151515151,0.8501515151515151,0.8616666666666667,0.8716666666666667,0.8848484848484849,0.9,0.9054545454545454,0.9165151515151516,0.9146969696969696,0.9216666666666666,0.9274242424242424,0.9206060606060606,0.9268181818181818,0.9272727272727272,0.9256060606060608,0.927121212121212,0.928939393939394,0.9277272727272728,0.9248484848484848,0.9283333333333332,0.9315151515151516,0.9337878787878788,0.9286363636363636,0.9306060606060608,0.9303030303030304,0.9315151515151516,0.9313636363636364,0.9318181818181818,0.931060606060606,0.931060606060606,0.9325757575757576,0.9333333333333333
