SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.6263636363636363,0.7304545454545455,0.75,0.7746969696969697,0.7881818181818182,0.8137878787878788,0.8213636363636364,0.8213636363636364,0.8325757575757575,0.8356060606060606,0.8492424242424242,0.866969696969697,0.8783333333333333,0.8828787878787879,0.8824242424242424,0.8922727272727272,0.8962121212121212,0.9015151515151516,0.9022727272727272,0.8993939393939394,0.9056060606060606,0.9054545454545454,0.9081818181818182,0.9066666666666666,0.9115151515151516,0.9057575757575758,0.9109090909090908,0.9174242424242424,0.9180303030303032,0.9143939393939394,0.9180303030303032,0.9209090909090908,0.921060606060606,0.9209090909090908,0.9198484848484848,0.9207575757575758,0.921969696969697,0.92
2,0.6413636363636364,0.7321212121212122,0.7696969696969697,0.7943939393939394,0.8106060606060606,0.8292424242424242,0.8292424242424242,0.8356060606060606,0.8368181818181818,0.8451515151515151,0.860909090909091,0.8789393939393939,0.8904545454545455,0.8943939393939394,0.9006060606060606,0.9048484848484848,0.9080303030303032,0.9059090909090908,0.9112121212121213,0.912121212121212,0.9142424242424242,0.9146969696969696,0.9145454545454546,0.916969696969697,0.9207575757575758,0.9177272727272728,0.916818181818182,0.9215151515151516,0.9213636363636364,0.9227272727272728,0.9236363636363636,0.9222727272727272,0.9234848484848484,0.923939393939394,0.9215151515151516,0.9237878787878788,0.9240909090909092,0.9263636363636364
4,0.6518181818181819,0.7368181818181818,0.7757575757575758,0.7992424242424242,0.8215151515151515,0.8307575757575758,0.8342424242424242,0.8434848484848485,0.8419696969696969,0.8533333333333334,0.8683333333333333,0.8831818181818182,0.8960606060606061,0.9016666666666666,0.9043939393939394,0.9096969696969696,0.9122727272727272,0.915,0.9125757575757576,0.9134848484848485,0.916060606060606,0.917121212121212,0.9181818181818182,0.9163636363636364,0.9181818181818182,0.9193939393939394,0.9213636363636364,0.922878787878788,0.925,0.9262121212121212,0.9246969696969696,0.927878787878788,0.9274242424242424,0.9262121212121212,0.926060606060606,0.9287878787878788,0.9272727272727272,0.9277272727272727
6,0.6546969696969697,0.7492424242424243,0.7751515151515151,0.8004545454545454,0.8266666666666667,0.838030303030303,0.8401515151515152,0.8437878787878788,0.8487878787878788,0.8551515151515151,0.8695454545454545,0.8906060606060606,0.8962121212121212,0.9036363636363636,0.9077272727272728,0.9075757575757576,0.9154545454545454,0.917121212121212,0.913939393939394,0.9166666666666666,0.922121212121212,0.9186363636363636,0.9187878787878788,0.9206060606060606,0.9234848484848484,0.9253030303030304,0.922878787878788,0.926969696969697,0.927121212121212,0.925,0.9256060606060608,0.928030303030303,0.926060606060606,0.928030303030303,0.9268181818181818,0.9272727272727272,0.9262121212121212,0.926969696969697
8,0.6495454545454545,0.7474242424242424,0.776060606060606,0.803939393939394,0.8268181818181818,0.8403030303030303,0.838939393939394,0.8469696969696969,0.8521212121212122,0.8590909090909091,0.8751515151515151,0.8913636363636364,0.8980303030303031,0.9053030303030304,0.9107575757575758,0.9086363636363636,0.9137878787878788,0.9142424242424242,0.9162121212121213,0.916818181818182,0.9187878787878788,0.918939393939394,0.9192424242424242,0.921060606060606,0.923030303030303,0.9212121212121211,0.9253030303030304,0.9253030303030304,0.9293939393939394,0.9265151515151516,0.9292424242424242,0.9275757575757576,0.9275757575757576,0.928030303030303,0.927878787878788,0.9284848484848484,0.9303030303030304,0.9295454545454546
10,0.6472727272727272,0.7521212121212121,0.7831818181818182,0.8101515151515152,0.8203030303030303,0.8351515151515152,0.8428787878787879,0.8410606060606061,0.8459090909090909,0.8618181818181818,0.8733333333333333,0.8927272727272727,0.9016666666666666,0.9090909090909092,0.9081818181818182,0.9096969696969696,0.9163636363636364,0.9148484848484848,0.9151515151515152,0.9172727272727272,0.9186363636363636,0.923030303030303,0.9206060606060606,0.921969696969697,0.9225757575757576,0.9243939393939394,0.9254545454545454,0.923030303030303,0.9275757575757576,0.9259090909090908,0.9236363636363636,0.9298484848484848,0.928030303030303,0.9301515151515152,0.9275757575757576,0.9265151515151516,0.9265151515151516,0.9292424242424242
12,0.6506060606060606,0.7522727272727273,0.7845454545454545,0.803939393939394,0.8256060606060606,0.8378787878787879,0.8463636363636363,0.8446969696969697,0.8465151515151516,0.8615151515151516,0.8766666666666667,0.8903030303030303,0.8993939393939394,0.8986363636363637,0.9090909090909092,0.9127272727272728,0.9109090909090908,0.9122727272727272,0.9142424242424242,0.9166666666666666,0.9190909090909092,0.9186363636363636,0.923939393939394,0.9177272727272728,0.9227272727272728,0.922121212121212,0.9242424242424242,0.9263636363636364,0.9265151515151516,0.9256060606060608,0.9257575757575758,0.9254545454545454,0.9287878787878788,0.9263636363636364,0.9281818181818182,0.927121212121212,0.9275757575757576,0.9286363636363636
14,0.6389393939393939,0.7398484848484849,0.7742424242424243,0.8001515151515152,0.8234848484848485,0.8359090909090909,0.8386363636363636,0.8454545454545455,0.8495454545454545,0.8571212121212122,0.8743939393939394,0.8863636363636364,0.8995454545454545,0.9027272727272728,0.907121212121212,0.9075757575757576,0.9112121212121213,0.9130303030303032,0.9166666666666666,0.9192424242424242,0.916969696969697,0.918939393939394,0.9195454545454546,0.9192424242424242,0.9231818181818182,0.9243939393939394,0.921969696969697,0.9274242424242424,0.9275757575757576,0.927121212121212,0.9253030303030304,0.925,0.9284848484848484,0.9284848484848484,0.926969696969697,0.9283333333333332,0.9281818181818182,0.9281818181818182
16,0.6353030303030303,0.7383333333333333,0.7731818181818182,0.7990909090909091,0.8206060606060606,0.8301515151515152,0.8392424242424242,0.8365151515151515,0.8481818181818181,0.8513636363636363,0.8754545454545455,0.8854545454545455,0.8936363636363637,0.9027272727272728,0.9022727272727272,0.901969696969697,0.9074242424242424,0.9145454545454546,0.9128787878787878,0.9074242424242424,0.9137878787878788,0.9154545454545454,0.9136363636363636,0.9146969696969696,0.9183333333333332,0.916818181818182,0.9181818181818182,0.9237878787878788,0.921969696969697,0.9225757575757576,0.923939393939394,0.9240909090909092,0.9245454545454546,0.9222727272727272,0.9236363636363636,0.923030303030303,0.9236363636363636,0.9221212121212121
18,0.6512121212121212,0.7504545454545455,0.7798484848484849,0.798030303030303,0.8201515151515152,0.8392424242424242,0.8422727272727273,0.8433333333333334,0.8478787878787879,0.860909090909091,0.873030303030303,0.8863636363636364,0.8957575757575758,0.9059090909090908,0.9063636363636364,0.9086363636363636,0.9101515151515152,0.9127272727272728,0.9172727272727272,0.9174242424242424,0.9204545454545454,0.9177272727272728,0.9181818181818182,0.9215151515151516,0.9174242424242424,0.92,0.9193939393939394,0.9262121212121212,0.9253030303030304,0.923939393939394,0.9268181818181818,0.9268181818181818,0.9266666666666666,0.9284848484848484,0.9277272727272728,0.927878787878788,0.927878787878788,0.9268181818181818
Avg,0.4529621212121212,0.5180606060606061,0.5386212121212122,0.5543030303030303,0.5657424242424243,0.5753333333333334,0.5798409090909091,0.5824242424242424,0.5859772727272727,0.5928560606060606,0.6015,0.6110454545454546,0.6186515151515152,0.6215454545454545,0.6242727272727273,0.626469696969697,0.6295833333333334,0.6320227272727272,0.6330454545454546,0.6333106060606061,0.6362272727272728,0.6382954545454546,0.6390227272727272,0.6402954545454546,0.6428787878787878,0.6432651515151515,0.6451969696969697,0.6513484848484848,0.6541363636363636,0.6548863636363637,0.6562348484848485,0.6613863636363636,0.6636969696969697,0.6642651515151515,0.6643106060606061,0.6690530303030303,0.6704015151515151,0.6708712121212121
