SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.7250555555555556,0.8315833333333333,0.8945833333333333,0.9074444444444444,0.9111111111111112,0.9139722222222222,0.9163055555555556,0.9164166666666668,0.9171666666666668,0.9200833333333334,0.9203611111111112,0.9199444444444445,0.9212777777777778,0.9216944444444444,0.9211111111111112,0.9215,0.9226111111111112,0.92275,0.9229166666666668,0.9226388888888888,0.92375,0.9242222222222222,0.9253333333333332,0.9255,0.9256388888888888,0.9258333333333332,0.9275,0.9280277777777778,0.9275833333333332,0.9281666666666668,0.9289722222222222,0.9286388888888888,0.9285277777777776,0.9287777777777778,0.9288888888888889
2,0.7417777777777778,0.8503611111111111,0.9087777777777778,0.9190833333333334,0.9250833333333334,0.9252777777777778,0.9268055555555555,0.9270833333333334,0.9273055555555556,0.9281666666666668,0.9287777777777778,0.9292777777777778,0.9296944444444444,0.9285,0.9300277777777778,0.9303055555555556,0.9295555555555556,0.9304444444444444,0.9309722222222222,0.9303611111111112,0.9308888888888888,0.9298611111111112,0.9322777777777778,0.9321666666666668,0.9326111111111112,0.9325,0.9331944444444444,0.9335,0.9326666666666666,0.9339166666666666,0.9340555555555556,0.9341666666666668,0.9338611111111113,0.9335833333333332,0.9345
4,0.7493055555555556,0.8610833333333333,0.9154166666666668,0.9245555555555556,0.9288888888888888,0.9296111111111112,0.9290555555555556,0.9300833333333334,0.93075,0.9306388888888888,0.931,0.9324166666666668,0.9323611111111112,0.9313611111111112,0.9321944444444444,0.9315277777777776,0.9317222222222222,0.9320833333333334,0.9327777777777778,0.9322777777777778,0.9328333333333332,0.93225,0.9342222222222222,0.9336111111111112,0.9339444444444444,0.9335555555555556,0.9349444444444444,0.9344166666666668,0.9341944444444444,0.9345833333333332,0.9348611111111113,0.9341666666666668,0.9355,0.9351666666666668,0.93525
6,0.7506111111111111,0.8648055555555556,0.9173055555555556,0.9265833333333332,0.9305,0.9308611111111113,0.9325277777777776,0.9321111111111112,0.9325,0.9338611111111113,0.9329166666666666,0.9331666666666668,0.93325,0.9341944444444444,0.9346666666666666,0.9343611111111112,0.9348333333333332,0.9341111111111112,0.934,0.93525,0.9358611111111113,0.9354444444444444,0.9355277777777776,0.9350277777777778,0.9361666666666668,0.9355555555555556,0.9363611111111112,0.9366944444444444,0.9365,0.9369722222222222,0.9372777777777778,0.9364444444444444,0.9375,0.9372222222222222,0.9369722222222222
8,0.75125,0.8637222222222222,0.9166666666666666,0.9278888888888888,0.9315277777777776,0.9321388888888889,0.9329722222222222,0.9320555555555556,0.9343888888888888,0.9336111111111112,0.9350555555555556,0.9347777777777778,0.9346388888888888,0.9356388888888888,0.93575,0.9354722222222224,0.9351111111111112,0.9350833333333334,0.9354722222222224,0.9359444444444444,0.9353333333333332,0.9359444444444444,0.9369722222222222,0.9369722222222222,0.9365,0.9376666666666666,0.9376111111111112,0.9372777777777778,0.9378611111111111,0.9373888888888888,0.9373888888888888,0.93775,0.9375,0.9376388888888888,0.9378888888888889
10,0.7561111111111111,0.8677777777777778,0.91925,0.9284166666666668,0.9321944444444444,0.934,0.9325555555555556,0.9354444444444444,0.93575,0.9362222222222222,0.9350555555555556,0.9363888888888888,0.93725,0.9364722222222224,0.9366666666666666,0.9376388888888888,0.9374166666666668,0.9371666666666668,0.93725,0.9378333333333332,0.9372222222222222,0.9366111111111112,0.9386944444444444,0.9379722222222222,0.9389166666666666,0.9379722222222222,0.9387777777777778,0.9389166666666666,0.9396666666666668,0.9386388888888888,0.9391666666666668,0.9392222222222222,0.9394722222222224,0.9387222222222222,0.9386111111111111
12,0.7501111111111111,0.8645277777777778,0.9178888888888888,0.9271388888888888,0.9313888888888888,0.9320277777777778,0.9323888888888888,0.9333611111111112,0.9338888888888888,0.9346666666666666,0.9346666666666666,0.9353055555555556,0.9350555555555556,0.9353611111111112,0.9358333333333332,0.9360277777777778,0.9348611111111113,0.9360277777777778,0.9355833333333332,0.9360277777777778,0.935,0.9363333333333334,0.9379444444444444,0.9365,0.9366666666666666,0.9369444444444444,0.9373333333333334,0.9378333333333332,0.9381111111111112,0.9383333333333334,0.93925,0.9383055555555556,0.9387222222222222,0.9383055555555556,0.9390555555555555
14,0.7525833333333334,0.8647777777777778,0.9182222222222224,0.928,0.9305833333333332,0.9329444444444444,0.9333888888888888,0.9340555555555556,0.9325277777777776,0.9341944444444444,0.93575,0.93675,0.9352222222222222,0.9368055555555556,0.9368888888888888,0.9368055555555556,0.9360833333333334,0.9363055555555556,0.9354444444444444,0.9377777777777778,0.9379444444444444,0.9374166666666668,0.9392222222222222,0.9377777777777778,0.9391666666666668,0.9390277777777778,0.9394166666666668,0.9387222222222222,0.9397222222222222,0.939,0.9392777777777778,0.93975,0.9403333333333334,0.9404166666666668,0.9395277777777777
16,0.7529166666666667,0.8673333333333333,0.9179166666666668,0.9288888888888888,0.9311388888888888,0.9320555555555556,0.9328888888888888,0.9334166666666668,0.9328333333333332,0.9342777777777778,0.9335277777777776,0.9348055555555556,0.9338611111111113,0.93525,0.9348333333333332,0.9362777777777778,0.9350833333333334,0.9344166666666668,0.93425,0.9349722222222222,0.9359444444444444,0.9351666666666668,0.9380833333333334,0.93675,0.9358611111111113,0.9373333333333334,0.9366388888888888,0.9374444444444444,0.9369166666666666,0.9376666666666666,0.9376944444444444,0.9386388888888888,0.9389166666666666,0.9386944444444444,0.9384722222222223
18,0.7488333333333334,0.8654722222222222,0.9168333333333332,0.9269444444444443,0.9297222222222222,0.9303055555555556,0.9319722222222222,0.9317777777777778,0.9345555555555556,0.93375,0.9338611111111113,0.9336388888888888,0.9354722222222224,0.9338333333333332,0.9354722222222224,0.9350277777777778,0.9357222222222222,0.9361388888888889,0.9369444444444444,0.9359722222222222,0.9363888888888888,0.9354722222222224,0.9374722222222224,0.9379722222222222,0.9370833333333334,0.9370277777777778,0.939,0.9384444444444444,0.9391111111111112,0.9386388888888888,0.9398055555555556,0.9395555555555556,0.9402777777777778,0.9394722222222224,0.9393888888888889
Avg,0.5286555555555555,0.5978166666666667,0.6332902777777778,0.6423486111111111,0.6459763888888889,0.6477361111111111,0.6496638888888889,0.6505027777777778,0.6515625,0.6523888888888889,0.6535972222222223,0.6544,0.6554333333333333,0.6559805555555556,0.6564041666666667,0.6573180555555556,0.6581111111111111,0.6588444444444445,0.6594194444444444,0.6605708333333333,0.6610833333333334,0.6618402777777778,0.6664555555555556,0.6676555555555556,0.6685569444444445,0.6697069444444445,0.6733944444444444,0.6743305555555555,0.6752902777777777,0.6758708333333333,0.6786333333333333,0.6788972222222223,0.6795972222222222,0.6799138888888889,0.681375
