SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.7334444444444445,0.8180555555555555,0.8582777777777778,0.8992777777777777,0.9063888888888888,0.91175,0.9138055555555556,0.9153055555555556,0.9175,0.9190555555555556,0.9205833333333332,0.9209444444444445,0.9211666666666668,0.9213055555555556,0.9224722222222222,0.9221944444444444,0.92475,0.9249722222222222,0.9256388888888888,0.9255277777777776,0.9263888888888888,0.9271944444444444,0.92825,0.9284444444444444,0.9272222222222222,0.9296111111111112,0.9289444444444445
2,0.7573055555555556,0.8305833333333333,0.87025,0.9120833333333334,0.9196388888888888,0.9226666666666666,0.9244722222222224,0.9251111111111112,0.9262222222222222,0.9284722222222224,0.9279166666666666,0.9291111111111112,0.9285833333333332,0.9290277777777778,0.9290277777777778,0.9293055555555556,0.9306388888888888,0.9316944444444444,0.9324722222222224,0.9323888888888888,0.9301111111111112,0.9331388888888889,0.9327222222222222,0.9321388888888889,0.9325833333333332,0.9324166666666668,0.9328888888888889
4,0.7635833333333333,0.8366944444444444,0.87625,0.9169444444444445,0.9238888888888888,0.9256388888888888,0.9275833333333332,0.9291388888888888,0.9306666666666666,0.9305277777777776,0.9308055555555556,0.9312777777777778,0.9313333333333332,0.9316111111111112,0.9311666666666668,0.9322222222222222,0.9337222222222222,0.9332777777777778,0.9330555555555556,0.9332222222222222,0.9332222222222222,0.9345555555555556,0.9338055555555556,0.9348333333333332,0.9349166666666666,0.9343055555555556,0.9349722222222222
6,0.7690833333333333,0.8386388888888889,0.8791388888888889,0.9201666666666668,0.92625,0.9304722222222224,0.9308055555555556,0.9325833333333332,0.9330833333333334,0.9338055555555556,0.9348611111111113,0.9345277777777776,0.9346944444444444,0.9345,0.9343888888888888,0.9351666666666668,0.9363055555555556,0.9359444444444444,0.9351388888888889,0.936,0.9350833333333334,0.9378333333333332,0.9365277777777776,0.9367777777777778,0.9367222222222222,0.9371388888888889,0.9370555555555555
8,0.7691388888888889,0.8439166666666666,0.8808611111111111,0.9204166666666668,0.9277222222222222,0.9298611111111112,0.9306111111111112,0.9320555555555556,0.9334166666666668,0.9343333333333332,0.9353055555555556,0.9333888888888888,0.9350555555555556,0.9349444444444444,0.9349722222222222,0.93525,0.9359722222222222,0.9370277777777778,0.9371111111111112,0.9359166666666666,0.9366388888888888,0.9366388888888888,0.9366388888888888,0.9376111111111112,0.9384444444444444,0.9376666666666666,0.9369444444444445
10,0.7732777777777777,0.8445277777777778,0.8834166666666666,0.9238611111111112,0.9311666666666668,0.9336944444444444,0.9331944444444444,0.9347777777777778,0.9358055555555556,0.9365277777777776,0.9373611111111112,0.93775,0.9359722222222222,0.9379166666666666,0.9373611111111112,0.93775,0.9399444444444444,0.9392777777777778,0.9381944444444444,0.9394166666666668,0.9388055555555556,0.9385833333333332,0.9398888888888888,0.9399722222222222,0.9401944444444444,0.9401944444444444,0.94075
12,0.774,0.8438888888888889,0.8829166666666667,0.9245,0.9313055555555556,0.9333611111111112,0.9334444444444444,0.9351666666666668,0.9363333333333334,0.9365833333333332,0.937,0.9368055555555556,0.9370277777777778,0.9359722222222222,0.9374444444444444,0.9373611111111112,0.93875,0.9391388888888887,0.9391944444444444,0.9389166666666666,0.9393055555555556,0.9401666666666668,0.9399722222222222,0.9402777777777778,0.9415,0.9403888888888888,0.9401666666666667
14,0.7724722222222222,0.8464722222222222,0.8836111111111111,0.9253611111111112,0.9326666666666666,0.9334166666666668,0.9357222222222222,0.9363888888888888,0.9361111111111112,0.938,0.9375833333333332,0.9383888888888888,0.9383333333333334,0.9383888888888888,0.9387222222222222,0.9393888888888888,0.9398611111111111,0.9405,0.9401944444444444,0.93925,0.9408888888888888,0.9415277777777776,0.9415277777777776,0.94075,0.9407777777777778,0.9418888888888888,0.9424722222222223
16,0.7766111111111111,0.84625,0.8874444444444445,0.9280555555555556,0.9341388888888889,0.9380277777777778,0.9390833333333334,0.9390833333333334,0.9409722222222222,0.9420833333333334,0.9411388888888887,0.9418611111111111,0.9416388888888888,0.9427777777777778,0.9431388888888887,0.9423055555555556,0.9446944444444444,0.9444444444444444,0.9440833333333334,0.9447777777777778,0.9445555555555556,0.9454166666666668,0.9463611111111112,0.9458055555555556,0.94575,0.9456388888888888,0.94675
18,0.7729444444444444,0.8491666666666666,0.8875833333333333,0.9299722222222222,0.9347222222222222,0.9381944444444444,0.9390555555555556,0.9401944444444444,0.9419166666666666,0.9425277777777776,0.9434722222222224,0.9437777777777778,0.9425555555555556,0.9434166666666668,0.9425833333333332,0.9441111111111112,0.9448611111111112,0.9448888888888888,0.9460555555555556,0.9452222222222222,0.9465277777777776,0.9468888888888888,0.9465,0.9466944444444444,0.94675,0.9471666666666668,0.9470277777777778
