SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0.6821212121212121,0.7854545454545454,0.8148484848484848,0.8271212121212121,0.8298484848484848,0.8343939393939394,0.8536363636363636,0.865,0.8740909090909091,0.8778787878787879,0.8857575757575757,0.8877272727272727,0.8901515151515151,0.8933333333333333,0.8928787878787878,0.8974242424242425,0.8996969696969697,0.901969696969697,0.9009090909090908,0.9031818181818182,0.9080303030303032,0.9048484848484848,0.9045454545454544,0.9084848484848485,0.9072727272727272,0.9122727272727272,0.9154545454545454,0.9156060606060606,0.9148484848484848,0.9159090909090908,0.9177272727272728,0.916818181818182,0.9181818181818182,0.9222727272727272,0.921060606060606,0.9233333333333332,0.9207575757575758
2,0.6986363636363636,0.8118181818181818,0.8263636363636364,0.831060606060606,0.8446969696969697,0.8536363636363636,0.8675757575757576,0.885,0.8912121212121212,0.899090909090909,0.9015151515151516,0.9033333333333332,0.905,0.9113636363636364,0.9128787878787878,0.9163636363636364,0.9146969696969696,0.9183333333333332,0.9196969696969696,0.916969696969697,0.9196969696969696,0.9184848484848483,0.9207575757575758,0.9190909090909092,0.9216666666666666,0.9256060606060608,0.9225757575757576,0.921818181818182,0.9231818181818182,0.9233333333333332,0.923030303030303,0.9262121212121212,0.9253030303030304,0.928030303030303,0.926969696969697,0.9259090909090908,0.9257575757575758
4,0.7063636363636364,0.8166666666666667,0.8301515151515152,0.8440909090909091,0.8493939393939394,0.8543939393939394,0.8801515151515151,0.8837878787878788,0.8998484848484849,0.9042424242424244,0.9028787878787878,0.911969696969697,0.9143939393939394,0.9174242424242424,0.9181818181818182,0.9165151515151516,0.9216666666666666,0.9237878787878788,0.921060606060606,0.9212121212121211,0.9237878787878788,0.922878787878788,0.9243939393939394,0.9225757575757576,0.9268181818181818,0.9284848484848484,0.927878787878788,0.9277272727272728,0.9275757575757576,0.9277272727272728,0.9257575757575758,0.9259090909090908,0.9268181818181818,0.9298484848484848,0.9306060606060608,0.9292424242424242,0.9265151515151515
6,0.715,0.8234848484848485,0.8378787878787879,0.8503030303030303,0.8504545454545455,0.8668181818181818,0.8798484848484849,0.8910606060606061,0.8995454545454545,0.9051515151515152,0.9113636363636364,0.9109090909090908,0.9184848484848483,0.9203030303030304,0.918939393939394,0.9193939393939394,0.9233333333333332,0.9231818181818182,0.9213636363636364,0.923939393939394,0.9256060606060608,0.9237878787878788,0.927121212121212,0.9248484848484848,0.9263636363636364,0.9287878787878788,0.9298484848484848,0.9263636363636364,0.9259090909090908,0.9292424242424242,0.927878787878788,0.9290909090909092,0.9295454545454546,0.9315151515151516,0.9284848484848484,0.9306060606060608,0.9312121212121212
8,0.7066666666666667,0.8215151515151515,0.83,0.8390909090909091,0.8551515151515151,0.8613636363636363,0.8807575757575757,0.8930303030303031,0.9022727272727272,0.906818181818182,0.9081818181818182,0.9115151515151516,0.915,0.9162121212121213,0.9198484848484848,0.9213636363636364,0.9201515151515152,0.926060606060606,0.922878787878788,0.9256060606060608,0.9245454545454546,0.9254545454545454,0.9268181818181818,0.9274242424242424,0.9275757575757576,0.9287878787878788,0.9334848484848484,0.9290909090909092,0.9292424242424242,0.9322727272727273,0.9293939393939394,0.9301515151515152,0.931060606060606,0.932121212121212,0.9316666666666666,0.93,0.9295454545454546
10,0.7159090909090909,0.8228787878787879,0.8436363636363636,0.8483333333333334,0.8553030303030303,0.8598484848484849,0.8821212121212121,0.8918181818181818,0.9016666666666666,0.9056060606060606,0.9127272727272728,0.9174242424242424,0.9178787878787878,0.9216666666666666,0.9213636363636364,0.9209090909090908,0.922121212121212,0.9224242424242424,0.927878787878788,0.9274242424242424,0.9257575757575758,0.9268181818181818,0.9283333333333332,0.927878787878788,0.9272727272727272,0.93,0.9292424242424242,0.9295454545454546,0.9263636363636364,0.9284848484848484,0.9284848484848484,0.9293939393939394,0.931969696969697,0.9298484848484848,0.9283333333333332,0.927878787878788,0.9306060606060607
12,0.7066666666666667,0.8262121212121212,0.8422727272727273,0.8456060606060606,0.8495454545454545,0.8578787878787879,0.8804545454545455,0.8898484848484849,0.8974242424242425,0.9092424242424244,0.9101515151515152,0.9140909090909092,0.9175757575757576,0.9198484848484848,0.9216666666666666,0.9233333333333332,0.923030303030303,0.9209090909090908,0.9225757575757576,0.9243939393939394,0.9242424242424242,0.9257575757575758,0.9256060606060608,0.9272727272727272,0.9254545454545454,0.93,0.9277272727272728,0.928030303030303,0.9313636363636364,0.9287878787878788,0.9262121212121212,0.9312121212121212,0.9331818181818182,0.9281818181818182,0.9306060606060608,0.9322727272727273,0.9274242424242424
14,0.7106060606060606,0.8159090909090909,0.8390909090909091,0.8365151515151515,0.8492424242424242,0.8578787878787879,0.8766666666666667,0.8928787878787878,0.8981818181818182,0.9054545454545454,0.9128787878787878,0.9127272727272728,0.9163636363636364,0.9181818181818182,0.9186363636363636,0.92,0.9242424242424242,0.923939393939394,0.9256060606060608,0.922121212121212,0.9268181818181818,0.9266666666666666,0.9251515151515152,0.9290909090909092,0.9263636363636364,0.9295454545454546,0.9283333333333332,0.928939393939394,0.9292424242424242,0.928030303030303,0.9275757575757576,0.9286363636363636,0.9301515151515152,0.9303030303030304,0.93,0.9295454545454546,0.9295454545454546
16,0.7109090909090909,0.8157575757575758,0.8307575757575758,0.84,0.843030303030303,0.855,0.8739393939393939,0.8895454545454545,0.8960606060606061,0.9095454545454544,0.9056060606060606,0.9107575757575758,0.9103030303030304,0.9148484848484848,0.9166666666666666,0.9162121212121213,0.9196969696969696,0.9203030303030304,0.9184848484848483,0.921060606060606,0.9224242424242424,0.9245454545454546,0.9233333333333332,0.9222727272727272,0.9243939393939394,0.9240909090909092,0.9259090909090908,0.9245454545454546,0.926060606060606,0.926060606060606,0.9225757575757576,0.9268181818181818,0.923939393939394,0.9234848484848484,0.926969696969697,0.9284848484848484,0.9237878787878788
18,0.7056060606060606,0.8257575757575758,0.8328787878787879,0.8474242424242424,0.8512121212121212,0.8637878787878788,0.8828787878787879,0.8953030303030303,0.8965151515151515,0.9065151515151516,0.9093939393939394,0.9103030303030304,0.9148484848484848,0.9186363636363636,0.9184848484848483,0.9203030303030304,0.921818181818182,0.9245454545454546,0.9215151515151516,0.921060606060606,0.9257575757575758,0.9227272727272728,0.926060606060606,0.922878787878788,0.9246969696969696,0.926969696969697,0.9290909090909092,0.926969696969697,0.9281818181818182,0.9286363636363636,0.9272727272727272,0.9277272727272728,0.9283333333333332,0.928939393939394,0.9292424242424242,0.9286363636363636,0.9274242424242424
Avg,0.4891363636363636,0.5600075757575758,0.5725757575757576,0.5793409090909091,0.5841742424242424,0.5913257575757576,0.6020909090909091,0.6092954545454545,0.6148181818181818,0.6200984848484848,0.6224924242424242,0.6242575757575758,0.6272878787878788,0.6304242424242424,0.6312651515151515,0.6327045454545455,0.6341136363636364,0.634969696969697,0.6362651515151515,0.6364848484848484,0.6390303030303031,0.6390303030303031,0.6408636363636364,0.642159090909091,0.642719696969697,0.6485833333333333,0.6497878787878788,0.6506742424242424,0.6521590909090909,0.6537424242424242,0.6536666666666666,0.6591666666666667,0.6616969696969697,0.6628409090909091,0.6640681818181818,0.668060606060606,0.6685454545454546
