SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0.1192424242424242,0.3266666666666666,0.4404545454545454,0.4777272727272727,0.5816666666666667,0.5975757575757575,0.6115151515151516,0.6278787878787879,0.6381818181818182,0.6566666666666666,0.7034848484848485,0.7231818181818181,0.7421212121212121,0.7503030303030302,0.755,0.7593939393939394,0.765,0.7674242424242425,0.7756060606060606,0.7787878787878788,0.7737878787878788,0.7763636363636364,0.7857575757575758,0.7771212121212121,0.7813636363636364,0.7942424242424242,0.801969696969697,0.7984848484848485,0.8086363636363636,0.8104545454545454,0.8271212121212121,0.821060606060606,0.8242424242424242,0.8245454545454546,0.8325757575757575,0.833939393939394,0.8372727272727273,0.8365151515151515,0.8412121212121212,0.8422727272727273,0.8421212121212122,0.8425757575757575,0.8445454545454546,0.8456060606060606,0.8468181818181818,0.8475757575757575,0.8471212121212122,0.8477272727272728,0.848939393939394
2,0.1145454545454545,0.3318181818181818,0.4506060606060606,0.5053030303030303,0.6028787878787879,0.645,0.6574242424242425,0.6757575757575758,0.6898484848484848,0.7075757575757575,0.740909090909091,0.758030303030303,0.7777272727272727,0.781969696969697,0.786969696969697,0.7971212121212121,0.7992424242424242,0.7995454545454546,0.8071212121212121,0.8006060606060607,0.8118181818181818,0.816060606060606,0.808939393939394,0.8153030303030303,0.8222727272727273,0.8360606060606061,0.8334848484848485,0.8340909090909091,0.8393939393939394,0.8363636363636363,0.8471212121212122,0.8481818181818181,0.8524242424242424,0.8493939393939394,0.86,0.8572727272727273,0.8595454545454545,0.8586363636363636,0.8598484848484849,0.8621212121212121,0.8616666666666667,0.8646969696969697,0.863030303030303,0.8637878787878788,0.8651515151515151,0.8653030303030304,0.8648484848484849,0.8637878787878788,0.8668181818181818
4,0.1175757575757575,0.3287878787878788,0.4681818181818182,0.5160606060606061,0.6210606060606061,0.6640909090909091,0.6903030303030303,0.6986363636363636,0.7157575757575757,0.7295454545454545,0.756969696969697,0.7809090909090909,0.786969696969697,0.7971212121212121,0.811060606060606,0.8140909090909091,0.8181818181818182,0.818030303030303,0.815,0.8278787878787879,0.8216666666666667,0.8303030303030303,0.8290909090909091,0.831060606060606,0.8309090909090909,0.8472727272727273,0.8454545454545455,0.8436363636363636,0.8496969696969697,0.8451515151515151,0.8556060606060606,0.8581818181818182,0.8622727272727273,0.8604545454545455,0.866969696969697,0.8668181818181818,0.8674242424242424,0.8683333333333333,0.8715151515151515,0.8721212121212121,0.8721212121212121,0.8745454545454545,0.8734848484848485,0.8728787878787879,0.8733333333333333,0.8737878787878788,0.8756060606060606,0.8737878787878788,0.8777272727272727
6,0.1068181818181818,0.3393939393939394,0.4751515151515151,0.5256060606060606,0.6271212121212121,0.6716666666666666,0.6968181818181818,0.7066666666666667,0.7216666666666667,0.7425757575757576,0.7610606060606061,0.7868181818181819,0.8007575757575758,0.8087878787878788,0.8054545454545454,0.8171212121212121,0.8177272727272727,0.8168181818181818,0.8209090909090909,0.8246969696969697,0.8215151515151515,0.8277272727272728,0.8251515151515152,0.8298484848484848,0.831060606060606,0.8396969696969697,0.8434848484848485,0.8433333333333334,0.8440909090909091,0.8478787878787879,0.8533333333333334,0.8527272727272728,0.8531818181818182,0.8562121212121212,0.8583333333333333,0.8575757575757575,0.8598484848484849,0.863030303030303,0.863030303030303,0.8643939393939394,0.8663636363636363,0.8633333333333333,0.8665151515151515,0.8657575757575757,0.8684848484848485,0.8654545454545455,0.8706060606060606,0.8689393939393939,0.868030303030303
8,0.1118181818181818,0.3339393939393939,0.4813636363636364,0.545,0.65,0.6853030303030303,0.7028787878787879,0.7257575757575757,0.7337878787878788,0.7525757575757576,0.7777272727272727,0.7953030303030303,0.8081818181818182,0.8146969696969697,0.8163636363636364,0.8231818181818182,0.828939393939394,0.8265151515151515,0.8318181818181818,0.8312121212121212,0.8353030303030303,0.8378787878787879,0.8384848484848485,0.8378787878787879,0.8448484848484848,0.8513636363636363,0.8568181818181818,0.8518181818181818,0.8513636363636363,0.8533333333333334,0.8639393939393939,0.8645454545454545,0.8684848484848485,0.8660606060606061,0.8713636363636363,0.8695454545454545,0.8701515151515151,0.8756060606060606,0.8772727272727273,0.8760606060606061,0.8756060606060606,0.8768181818181818,0.8784848484848485,0.8765151515151515,0.8765151515151515,0.8777272727272727,0.8777272727272727,0.876969696969697,0.878030303030303
10,0.1136363636363636,0.3404545454545454,0.4801515151515151,0.5487878787878788,0.6434848484848484,0.6825757575757576,0.7068181818181818,0.7193939393939394,0.7339393939393939,0.746969696969697,0.7756060606060606,0.7946969696969697,0.8033333333333333,0.8133333333333334,0.8190909090909091,0.8274242424242424,0.833939393939394,0.8274242424242424,0.8333333333333334,0.8343939393939394,0.8378787878787879,0.8433333333333334,0.8415151515151515,0.843030303030303,0.8462121212121212,0.8571212121212122,0.8568181818181818,0.8587878787878788,0.8560606060606061,0.8568181818181818,0.8618181818181818,0.8690909090909091,0.8656060606060606,0.8654545454545455,0.871969696969697,0.8684848484848485,0.8725757575757576,0.8718181818181818,0.8710606060606061,0.8739393939393939,0.8751515151515151,0.8727272727272727,0.8725757575757576,0.8753030303030302,0.873030303030303,0.876969696969697,0.8740909090909091,0.8775757575757576,0.8748484848484849
12,0.1159090909090909,0.3263636363636363,0.4706060606060606,0.5248484848484849,0.6359090909090909,0.6863636363636364,0.7069696969696969,0.7245454545454545,0.7307575757575757,0.7496969696969698,0.7772727272727272,0.8004545454545454,0.8145454545454546,0.8128787878787879,0.8253030303030303,0.8278787878787879,0.8360606060606061,0.8327272727272728,0.8346969696969697,0.833939393939394,0.8393939393939394,0.8440909090909091,0.8406060606060606,0.8481818181818181,0.8451515151515151,0.86,0.8653030303030304,0.8631818181818182,0.8656060606060606,0.8640909090909091,0.8698484848484849,0.8739393939393939,0.8743939393939394,0.875,0.8798484848484849,0.8798484848484849,0.8789393939393939,0.8795454545454545,0.8828787878787879,0.8831818181818182,0.883030303030303,0.8812121212121212,0.8818181818181818,0.8846969696969696,0.8856060606060606,0.885,0.8836363636363637,0.8846969696969696,0.8834848484848485
14,0.1154545454545454,0.3357575757575757,0.4859090909090909,0.5387878787878788,0.6371212121212121,0.6804545454545454,0.7024242424242424,0.7224242424242424,0.7321212121212122,0.751969696969697,0.776060606060606,0.7953030303030303,0.8121212121212121,0.8198484848484848,0.8225757575757576,0.8275757575757576,0.83,0.8292424242424242,0.8325757575757575,0.8396969696969697,0.8336363636363636,0.8477272727272728,0.8419696969696969,0.8434848484848485,0.843939393939394,0.8574242424242424,0.8563636363636363,0.8574242424242424,0.8565151515151516,0.8593939393939394,0.8592424242424243,0.8634848484848485,0.8662121212121212,0.8622727272727273,0.8674242424242424,0.8690909090909091,0.8677272727272727,0.8674242424242424,0.8710606060606061,0.8724242424242424,0.8753030303030302,0.873030303030303,0.8739393939393939,0.8740909090909091,0.8737878787878788,0.8768181818181818,0.8731818181818182,0.8763636363636363,0.8757575757575757
16,0.1125757575757575,0.3254545454545454,0.478030303030303,0.5415151515151515,0.6389393939393939,0.6748484848484848,0.6968181818181818,0.7142424242424242,0.7263636363636363,0.7428787878787879,0.7668181818181818,0.7924242424242425,0.8013636363636364,0.8096969696969697,0.8151515151515152,0.8162121212121212,0.8192424242424242,0.8204545454545454,0.83,0.8304545454545454,0.8324242424242424,0.8345454545454546,0.8360606060606061,0.828939393939394,0.8369696969696969,0.8481818181818181,0.8498484848484849,0.8518181818181818,0.8565151515151516,0.8536363636363636,0.8606060606060606,0.86,0.8589393939393939,0.8612121212121212,0.8651515151515151,0.8683333333333333,0.8677272727272727,0.8666666666666667,0.8710606060606061,0.8718181818181818,0.8710606060606061,0.8716666666666667,0.8718181818181818,0.8706060606060606,0.8721212121212121,0.8724242424242424,0.8742424242424243,0.8731818181818182,0.8724242424242424
18,0.1109090909090909,0.3424242424242424,0.476969696969697,0.5434848484848485,0.635,0.688030303030303,0.7043939393939394,0.7231818181818181,0.7386363636363636,0.7515151515151515,0.7742424242424243,0.7921212121212121,0.801969696969697,0.811969696969697,0.8190909090909091,0.8192424242424242,0.8266666666666667,0.8265151515151515,0.831060606060606,0.8340909090909091,0.8331818181818181,0.8374242424242424,0.8356060606060606,0.8378787878787879,0.8359090909090909,0.8501515151515151,0.855909090909091,0.8548484848484849,0.853030303030303,0.8563636363636363,0.8584848484848485,0.8633333333333333,0.8628787878787879,0.8639393939393939,0.868030303030303,0.8692424242424243,0.8690909090909091,0.8698484848484849,0.8704545454545455,0.8740909090909091,0.8709090909090909,0.8713636363636363,0.8742424242424243,0.8731818181818182,0.8746969696969698,0.8734848484848485,0.8739393939393939,0.8727272727272727,0.8739393939393939
