SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0.6557575757575758,0.7334848484848485,0.7796969696969697,0.7972727272727272,0.8125757575757576,0.8131818181818182,0.8103030303030303,0.8259090909090909,0.8321212121212122,0.8356060606060606,0.8372727272727273,0.8360606060606061,0.8427272727272728,0.8521212121212122,0.863030303030303,0.8684848484848485,0.8724242424242424,0.8792424242424243,0.8837878787878788,0.8836363636363637,0.8912121212121212,0.8892424242424243,0.8951515151515151,0.9009090909090908,0.9001515151515151,0.9004545454545455,0.901060606060606,0.9072727272727272,0.9036363636363636,0.9024242424242424,0.9095454545454544,0.9104545454545454,0.9101515151515152,0.9106060606060606,0.9142424242424242,0.9104545454545454,0.9163636363636364,0.9165151515151516,0.9133333333333332,0.9186363636363636,0.917121212121212,0.9183333333333332,0.9159090909090908,0.9177272727272728,0.9162121212121213,0.9201515151515152
2,0.6653030303030303,0.7448484848484849,0.7915151515151515,0.8142424242424242,0.8201515151515152,0.8290909090909091,0.8348484848484848,0.84,0.8422727272727273,0.8468181818181818,0.8481818181818181,0.8536363636363636,0.8566666666666667,0.8587878787878788,0.8786363636363637,0.8813636363636363,0.8883333333333333,0.8925757575757576,0.8946969696969697,0.8975757575757576,0.9048484848484848,0.9075757575757576,0.9054545454545454,0.908939393939394,0.9080303030303032,0.9116666666666666,0.9113636363636364,0.9143939393939394,0.916969696969697,0.916818181818182,0.9207575757575758,0.9213636363636364,0.9204545454545454,0.9198484848484848,0.9215151515151516,0.923030303030303,0.921818181818182,0.9209090909090908,0.9233333333333332,0.9233333333333332,0.9237878787878788,0.921969696969697,0.9236363636363636,0.9207575757575758,0.9222727272727272,0.9234848484848485
4,0.6728787878787879,0.7528787878787879,0.806969696969697,0.823939393939394,0.8268181818181818,0.8334848484848485,0.8360606060606061,0.8421212121212122,0.8507575757575757,0.8475757575757575,0.8515151515151516,0.8512121212121212,0.8621212121212121,0.8671212121212121,0.8753030303030302,0.8845454545454545,0.8927272727272727,0.8983333333333333,0.9024242424242424,0.9037878787878788,0.9087878787878788,0.9109090909090908,0.9137878787878788,0.911969696969697,0.9148484848484848,0.916060606060606,0.9156060606060606,0.9148484848484848,0.921818181818182,0.9190909090909092,0.9224242424242424,0.923939393939394,0.9213636363636364,0.923030303030303,0.9236363636363636,0.921060606060606,0.922878787878788,0.922121212121212,0.9237878787878788,0.9233333333333332,0.923030303030303,0.923030303030303,0.9237878787878788,0.921969696969697,0.9240909090909092,0.9213636363636364
6,0.6924242424242424,0.7542424242424243,0.8131818181818182,0.8307575757575758,0.833030303030303,0.8386363636363636,0.8375757575757575,0.848939393939394,0.8527272727272728,0.8487878787878788,0.865,0.8610606060606061,0.8666666666666667,0.8686363636363637,0.8828787878787879,0.8893939393939394,0.8974242424242425,0.9028787878787878,0.9024242424242424,0.9059090909090908,0.9104545454545454,0.91,0.913939393939394,0.9177272727272728,0.9195454545454546,0.9212121212121211,0.918939393939394,0.9207575757575758,0.9187878787878788,0.9213636363636364,0.9268181818181818,0.923939393939394,0.9281818181818182,0.9231818181818182,0.9243939393939394,0.9245454545454546,0.9259090909090908,0.9256060606060608,0.9243939393939394,0.9246969696969696,0.9243939393939394,0.9248484848484848,0.9265151515151516,0.9254545454545454,0.9242424242424242,0.9253030303030303
8,0.6742424242424242,0.7586363636363637,0.7998484848484848,0.8265151515151515,0.8293939393939394,0.8343939393939394,0.8384848484848485,0.8468181818181818,0.8454545454545455,0.8548484848484849,0.8583333333333333,0.8553030303030303,0.8607575757575757,0.8701515151515151,0.8827272727272727,0.8877272727272727,0.8930303030303031,0.9015151515151516,0.9043939393939394,0.9080303030303032,0.911060606060606,0.9137878787878788,0.9154545454545454,0.9145454545454546,0.9181818181818182,0.9156060606060606,0.9193939393939394,0.9201515151515152,0.9190909090909092,0.9242424242424242,0.9236363636363636,0.923939393939394,0.9243939393939394,0.9227272727272728,0.9274242424242424,0.9243939393939394,0.9251515151515152,0.9274242424242424,0.9263636363636364,0.9262121212121212,0.9246969696969696,0.9262121212121212,0.9272727272727272,0.9248484848484848,0.925,0.9245454545454546
10,0.6775757575757576,0.7653030303030303,0.8072727272727273,0.8281818181818181,0.8304545454545454,0.8316666666666667,0.8401515151515152,0.8481818181818181,0.8513636363636363,0.8501515151515151,0.8539393939393939,0.8604545454545455,0.8625757575757576,0.8701515151515151,0.8872727272727273,0.8874242424242424,0.8986363636363637,0.905,0.9051515151515152,0.9081818181818182,0.911818181818182,0.908939393939394,0.9177272727272728,0.916969696969697,0.9163636363636364,0.917121212121212,0.921818181818182,0.92,0.9215151515151516,0.9254545454545454,0.9284848484848484,0.9259090909090908,0.926060606060606,0.926060606060606,0.927121212121212,0.9316666666666666,0.926969696969697,0.9286363636363636,0.9290909090909092,0.9256060606060608,0.9298484848484848,0.9292424242424242,0.9287878787878788,0.9281818181818182,0.927121212121212,0.928030303030303
12,0.6736363636363636,0.7551515151515151,0.8095454545454546,0.8272727272727273,0.8345454545454546,0.8315151515151515,0.8392424242424242,0.8406060606060606,0.8477272727272728,0.8501515151515151,0.8504545454545455,0.8522727272727273,0.8592424242424243,0.8677272727272727,0.883030303030303,0.8862121212121212,0.8922727272727272,0.899090909090909,0.9077272727272728,0.9051515151515152,0.9130303030303032,0.9136363636363636,0.9124242424242424,0.916969696969697,0.9183333333333332,0.916969696969697,0.9187878787878788,0.921969696969697,0.918939393939394,0.9196969696969696,0.9240909090909092,0.9246969696969696,0.9281818181818182,0.926969696969697,0.9259090909090908,0.9254545454545454,0.9262121212121212,0.925,0.926060606060606,0.923939393939394,0.9242424242424242,0.9274242424242424,0.9240909090909092,0.926969696969697,0.9266666666666666,0.9271212121212121
14,0.6736363636363636,0.7581818181818182,0.8065151515151515,0.8309090909090909,0.8275757575757576,0.8378787878787879,0.8348484848484848,0.8427272727272728,0.8446969696969697,0.8472727272727273,0.8518181818181818,0.8537878787878788,0.8565151515151516,0.8695454545454545,0.8759090909090909,0.8904545454545455,0.8921212121212121,0.896969696969697,0.9025757575757576,0.9087878787878788,0.9072727272727272,0.9125757575757576,0.9151515151515152,0.9115151515151516,0.9186363636363636,0.9186363636363636,0.9201515151515152,0.9207575757575758,0.9187878787878788,0.9224242424242424,0.9256060606060608,0.9265151515151516,0.9253030303030304,0.925,0.9275757575757576,0.9263636363636364,0.9237878787878788,0.926060606060606,0.9262121212121212,0.9257575757575758,0.9227272727272728,0.9281818181818182,0.9265151515151516,0.9262121212121212,0.92,0.9237878787878788
16,0.6674242424242425,0.7559090909090909,0.8066666666666666,0.8221212121212121,0.828030303030303,0.835,0.8363636363636363,0.8412121212121212,0.8418181818181818,0.8481818181818181,0.8521212121212122,0.850909090909091,0.8577272727272728,0.8684848484848485,0.8787878787878788,0.885,0.8943939393939394,0.8943939393939394,0.9007575757575758,0.9063636363636364,0.908939393939394,0.9080303030303032,0.9098484848484848,0.9127272727272728,0.9145454545454546,0.9140909090909092,0.9159090909090908,0.916818181818182,0.9172727272727272,0.9172727272727272,0.9215151515151516,0.9206060606060606,0.92,0.9193939393939394,0.922878787878788,0.9201515151515152,0.9225757575757576,0.9206060606060606,0.9227272727272728,0.9206060606060606,0.922878787878788,0.9181818181818182,0.9213636363636364,0.923030303030303,0.9237878787878788,0.9231818181818182
18,0.6733333333333333,0.7612121212121212,0.8112121212121212,0.826060606060606,0.8322727272727273,0.8356060606060606,0.8378787878787879,0.8498484848484849,0.848030303030303,0.8498484848484849,0.8566666666666667,0.853030303030303,0.8622727272727273,0.8722727272727273,0.8790909090909091,0.8927272727272727,0.8978787878787878,0.8995454545454545,0.9009090909090908,0.9084848484848485,0.912121212121212,0.912121212121212,0.9140909090909092,0.9136363636363636,0.916969696969697,0.916969696969697,0.9181818181818182,0.9190909090909092,0.9198484848484848,0.9224242424242424,0.9231818181818182,0.9254545454545454,0.9245454545454546,0.9233333333333332,0.9243939393939394,0.9215151515151516,0.9233333333333332,0.9274242424242424,0.9257575757575758,0.9272727272727272,0.923939393939394,0.9263636363636364,0.9246969696969696,0.9224242424242424,0.926969696969697,0.925
