SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.7608333333333334,0.8298888888888889,0.8759722222222223,0.8944166666666666,0.9055833333333332,0.9117777777777778,0.9116666666666666,0.9149722222222222,0.9161388888888888,0.9135833333333332,0.9176111111111112,0.9154722222222222,0.9164444444444444,0.9190277777777778,0.9192222222222224,0.9185555555555556,0.91875,0.9186388888888888,0.9226111111111112,0.9220555555555556,0.92175,0.9231111111111112,0.92275,0.9243333333333332,0.9255833333333332,0.9249166666666668,0.9249166666666668,0.9252777777777778,0.9261666666666667
2,0.7851388888888889,0.8483333333333334,0.8958888888888888,0.9113611111111112,0.9216666666666666,0.9249166666666668,0.9248611111111112,0.9260833333333334,0.9266388888888888,0.9271944444444444,0.9275555555555556,0.9294722222222224,0.928,0.9278611111111112,0.9289444444444444,0.9295,0.9295555555555556,0.9295555555555556,0.9309166666666666,0.9319722222222222,0.9314166666666668,0.9309722222222222,0.9326388888888888,0.9310555555555556,0.9316944444444444,0.9319166666666666,0.9314166666666668,0.9328333333333332,0.9331944444444444
4,0.7935277777777778,0.8553888888888889,0.9023611111111112,0.9165,0.9248333333333332,0.9281666666666668,0.9300277777777778,0.9293333333333332,0.9308888888888888,0.9301666666666668,0.9302777777777778,0.9306944444444444,0.9308333333333332,0.9316111111111112,0.9307777777777778,0.9305277777777776,0.932,0.9325,0.9333888888888888,0.9332777777777778,0.9338611111111113,0.9342222222222222,0.9335833333333332,0.9337222222222222,0.934,0.9350833333333334,0.9346666666666666,0.934,0.9342222222222222
6,0.7950833333333334,0.8585277777777778,0.9029722222222222,0.9208888888888888,0.92875,0.9314166666666668,0.9315,0.9317777777777778,0.9324166666666668,0.9328611111111113,0.9323888888888888,0.9338333333333332,0.9339166666666666,0.9335833333333332,0.934,0.9351666666666668,0.9336388888888888,0.93475,0.9350555555555556,0.9348611111111113,0.9350277777777778,0.9353055555555556,0.9365,0.9348888888888888,0.9361388888888889,0.9365,0.9357777777777778,0.9359444444444444,0.93625
8,0.7983611111111111,0.8616388888888888,0.9069444444444444,0.9226666666666666,0.9315833333333332,0.9337777777777778,0.9326388888888888,0.9331388888888889,0.9355,0.9347777777777778,0.9343333333333332,0.9343055555555556,0.9341111111111112,0.9359722222222222,0.9356666666666666,0.9350277777777778,0.9362222222222222,0.9342777777777778,0.9363888888888888,0.9370833333333334,0.9368888888888888,0.9367222222222222,0.9365,0.9368888888888888,0.9373055555555556,0.9373333333333334,0.9371388888888889,0.9373055555555556,0.9373888888888889
10,0.7976944444444445,0.8628888888888889,0.9079166666666668,0.9226944444444444,0.93075,0.9352777777777778,0.9346388888888888,0.9357222222222222,0.9359166666666666,0.9364166666666668,0.9377222222222222,0.9385277777777776,0.9371111111111112,0.9385,0.9365277777777776,0.9375555555555556,0.9376944444444444,0.9380277777777778,0.9375277777777776,0.9381388888888887,0.9378888888888888,0.9375277777777776,0.9385833333333332,0.9382222222222222,0.9388333333333332,0.9382222222222222,0.9388611111111111,0.9393055555555556,0.9385277777777777
12,0.8004166666666667,0.8617222222222222,0.9078888888888887,0.9226944444444444,0.9297222222222222,0.9337222222222222,0.9338888888888888,0.9341111111111112,0.9356111111111112,0.9365555555555556,0.9345277777777776,0.9352222222222222,0.9361944444444444,0.9358888888888888,0.9377222222222222,0.9361666666666668,0.93725,0.9375555555555556,0.9371666666666668,0.9371944444444444,0.9364166666666668,0.9375833333333332,0.9379722222222222,0.9371944444444444,0.9383333333333334,0.9385833333333332,0.9378055555555556,0.9384166666666668,0.9387777777777778
14,0.7998888888888889,0.8587222222222223,0.9063333333333332,0.9216944444444444,0.93025,0.9336388888888888,0.9336111111111112,0.9339722222222222,0.9349444444444444,0.9365555555555556,0.9356111111111112,0.9360833333333334,0.9366388888888888,0.9365555555555556,0.9380833333333334,0.93775,0.93675,0.9361111111111112,0.9385277777777776,0.9388888888888888,0.9385555555555556,0.9387222222222222,0.9378055555555556,0.9375555555555556,0.9391388888888887,0.9406111111111112,0.9380555555555556,0.9398333333333332,0.9401944444444444
16,0.7985833333333333,0.8601944444444445,0.9072777777777776,0.9229722222222222,0.9290833333333334,0.9328611111111113,0.9343055555555556,0.93375,0.9346111111111112,0.9347222222222222,0.9356388888888888,0.93475,0.9361388888888889,0.9356388888888888,0.9359166666666666,0.9351944444444444,0.9353611111111112,0.9362777777777778,0.9360555555555556,0.9353888888888888,0.9370833333333334,0.9365833333333332,0.9366944444444444,0.93825,0.9365,0.9371388888888889,0.9365555555555556,0.9381388888888887,0.9381111111111111
18,0.7951666666666667,0.8613333333333333,0.9059444444444444,0.9216111111111112,0.9311111111111112,0.9314166666666668,0.9321944444444444,0.93425,0.9350277777777778,0.9351666666666668,0.9356666666666666,0.935,0.9362777777777778,0.9349722222222222,0.9366944444444444,0.9351388888888889,0.93675,0.9361666666666668,0.9368888888888888,0.9375,0.93675,0.9370277777777778,0.9379166666666666,0.9375833333333332,0.9388611111111111,0.9391111111111112,0.9406388888888888,0.9367222222222222,0.9385
Avg,0.552875,0.5942833333333334,0.6234625,0.6348847222222223,0.6421277777777777,0.6449222222222222,0.6463458333333333,0.6474597222222223,0.6487222222222222,0.6495777777777778,0.6503513888888889,0.6508180555555556,0.6516638888888889,0.6526388888888889,0.6533444444444444,0.6536236111111111,0.6543847222222222,0.6549583333333333,0.6585527777777778,0.6597930555555556,0.6605111111111112,0.6612416666666666,0.6621027777777778,0.6629819444444445,0.6664680555555555,0.6676388888888889,0.6683819444444444,0.6687291666666667,0.6712652777777778
