SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.6568181818181819,0.7196969696969697,0.7557575757575757,0.7716666666666666,0.7836363636363637,0.8057575757575758,0.811060606060606,0.8156060606060606,0.8351515151515152,0.8466666666666667,0.8571212121212122,0.8657575757575757,0.871969696969697,0.8786363636363637,0.8772727272727273,0.885,0.8901515151515151,0.8865151515151515,0.8901515151515151,0.8859090909090909,0.8948484848484849,0.9033333333333332,0.9043939393939394,0.9024242424242424,0.9078787878787878,0.911969696969697,0.9125757575757576,0.9103030303030304,0.911818181818182,0.9134848484848485,0.9156060606060606,0.9146969696969696,0.9163636363636364,0.9171212121212121
2,0.676969696969697,0.7448484848484849,0.7757575757575758,0.7965151515151515,0.8142424242424242,0.8183333333333334,0.8245454545454546,0.8343939393939394,0.8475757575757575,0.8592424242424243,0.868030303030303,0.8793939393939394,0.8872727272727273,0.8883333333333333,0.8898484848484849,0.8968181818181818,0.8951515151515151,0.8977272727272727,0.8995454545454545,0.9,0.907121212121212,0.9098484848484848,0.9157575757575758,0.9131818181818182,0.9124242424242424,0.9195454545454546,0.9193939393939394,0.915,0.9206060606060606,0.921969696969697,0.9216666666666666,0.9184848484848483,0.9233333333333332,0.9234848484848485
4,0.6918181818181818,0.7612121212121212,0.7816666666666666,0.8090909090909091,0.8233333333333334,0.8319696969696969,0.848030303030303,0.8459090909090909,0.8560606060606061,0.8683333333333333,0.8768181818181818,0.8903030303030303,0.8936363636363637,0.8981818181818182,0.8951515151515151,0.9006060606060606,0.9025757575757576,0.9022727272727272,0.905,0.9107575757575758,0.9081818181818182,0.9165151515151516,0.922878787878788,0.9192424242424242,0.9156060606060606,0.9212121212121211,0.9162121212121213,0.9207575757575758,0.9237878787878788,0.9248484848484848,0.9207575757575758,0.9240909090909092,0.9243939393939394,0.926060606060606
6,0.6928787878787879,0.7674242424242425,0.7853030303030303,0.8022727272727272,0.8283333333333334,0.8340909090909091,0.8410606060606061,0.8490909090909091,0.86,0.8734848484848485,0.8872727272727273,0.8925757575757576,0.8933333333333333,0.8989393939393939,0.8974242424242425,0.901060606060606,0.906969696969697,0.9048484848484848,0.9104545454545454,0.9130303030303032,0.9134848484848485,0.9225757575757576,0.9225757575757576,0.9224242424242424,0.9224242424242424,0.9262121212121212,0.928030303030303,0.9274242424242424,0.9259090909090908,0.927121212121212,0.9316666666666666,0.9296969696969696,0.9293939393939394,0.928030303030303
8,0.6957575757575758,0.7684848484848484,0.7937878787878788,0.8071212121212121,0.8257575757575758,0.8393939393939394,0.843030303030303,0.858030303030303,0.8637878787878788,0.8777272727272727,0.8851515151515151,0.8913636363636364,0.8965151515151515,0.8983333333333333,0.8971212121212121,0.8945454545454545,0.9063636363636364,0.906060606060606,0.907121212121212,0.908939393939394,0.9159090909090908,0.916818181818182,0.9172727272727272,0.9184848484848483,0.9177272727272728,0.9193939393939394,0.9253030303030304,0.922121212121212,0.9201515151515152,0.9242424242424242,0.9206060606060606,0.9224242424242424,0.9224242424242424,0.9243939393939394
10,0.7075757575757575,0.7683333333333333,0.79,0.8121212121212121,0.8221212121212121,0.838939393939394,0.85,0.8546969696969697,0.8710606060606061,0.8787878787878788,0.8901515151515151,0.8928787878787878,0.8978787878787878,0.901818181818182,0.9028787878787878,0.9046969696969696,0.908939393939394,0.9080303030303032,0.9084848484848485,0.9142424242424242,0.9163636363636364,0.9216666666666666,0.9207575757575758,0.9245454545454546,0.9240909090909092,0.9265151515151516,0.9245454545454546,0.9237878787878788,0.9257575757575758,0.9296969696969696,0.9284848484848484,0.9295454545454546,0.9281818181818182,0.9277272727272727
12,0.7,0.7643939393939394,0.7904545454545454,0.8083333333333333,0.8248484848484848,0.8403030303030303,0.843030303030303,0.8531818181818182,0.865909090909091,0.8787878787878788,0.8874242424242424,0.8930303030303031,0.8981818181818182,0.9,0.9059090909090908,0.9075757575757576,0.906060606060606,0.913939393939394,0.9109090909090908,0.9107575757575758,0.9198484848484848,0.9192424242424242,0.921969696969697,0.923030303030303,0.9204545454545454,0.928030303030303,0.9212121212121211,0.9234848484848484,0.9224242424242424,0.9215151515151516,0.9293939393939394,0.9256060606060608,0.9266666666666666,0.9262121212121213
14,0.7003030303030303,0.7665151515151515,0.7887878787878788,0.8028787878787879,0.8275757575757576,0.8409090909090909,0.8443939393939394,0.8468181818181818,0.8678787878787879,0.8801515151515151,0.8848484848484849,0.8930303030303031,0.8943939393939394,0.8977272727272727,0.9059090909090908,0.9037878787878788,0.9077272727272728,0.9084848484848485,0.9109090909090908,0.9125757575757576,0.9103030303030304,0.9195454545454546,0.9206060606060606,0.9183333333333332,0.9198484848484848,0.9246969696969696,0.9227272727272728,0.9248484848484848,0.9216666666666666,0.9203030303030304,0.9275757575757576,0.9248484848484848,0.9257575757575758,0.9251515151515152
16,0.6968181818181818,0.7615151515151515,0.7830303030303031,0.8103030303030303,0.8195454545454546,0.8318181818181818,0.8443939393939394,0.8495454545454545,0.8619696969696969,0.8759090909090909,0.8865151515151515,0.8931818181818182,0.8957575757575758,0.8972727272727272,0.9028787878787878,0.9028787878787878,0.9078787878787878,0.906060606060606,0.9066666666666666,0.9122727272727272,0.9140909090909092,0.9177272727272728,0.921060606060606,0.9181818181818182,0.9165151515151516,0.922878787878788,0.9251515151515152,0.9262121212121212,0.925,0.9242424242424242,0.9234848484848484,0.9303030303030304,0.926060606060606,0.9237878787878788
18,0.7056060606060606,0.7680303030303031,0.7906060606060606,0.8096969696969697,0.8248484848484848,0.8422727272727273,0.8506060606060606,0.8592424242424243,0.8657575757575757,0.8772727272727273,0.8853030303030303,0.8884848484848484,0.8942424242424243,0.8946969696969697,0.9009090909090908,0.8987878787878788,0.9046969696969696,0.906060606060606,0.9122727272727272,0.9080303030303032,0.9148484848484848,0.9112121212121213,0.9157575757575758,0.921060606060606,0.9196969696969696,0.9162121212121213,0.9243939393939394,0.9193939393939394,0.921060606060606,0.9248484848484848,0.9254545454545454,0.9183333333333332,0.9240909090909092,0.9233333333333333
Avg,0.4794166666666666,0.5319090909090909,0.5477575757575758,0.5612424242424242,0.571310606060606,0.5807878787878787,0.5854848484848485,0.5916742424242424,0.6002727272727273,0.6074318181818181,0.6149696969696969,0.6194772727272727,0.6240227272727272,0.6263939393939394,0.6290227272727272,0.6322727272727273,0.6359242424242424,0.6366363636363637,0.6397878787878788,0.6416666666666667,0.6455833333333333,0.6543560606060606,0.6572424242424243,0.6594924242424243,0.6611590909090909,0.6687575757575758,0.6707272727272727,0.671340909090909,0.673530303030303,0.6778484848484848,0.6793560606060606,0.6791212121212121,0.6815151515151515,0.6836969696969697
