SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.7,0.793939393939394,0.8153030303030303,0.818030303030303,0.8253030303030303,0.8286363636363636,0.8486363636363636,0.8662121212121212,0.8663636363636363,0.8768181818181818,0.8813636363636363,0.8759090909090909,0.8848484848484849,0.8916666666666667,0.8896969696969697,0.8924242424242425,0.896969696969697,0.8965151515151515,0.8978787878787878,0.906818181818182,0.9092424242424244,0.9065151515151516,0.906060606060606,0.9081818181818182,0.9103030303030304,0.9151515151515152,0.915,0.913939393939394,0.917121212121212,0.9156060606060606,0.917121212121212,0.9175757575757576,0.9198484848484848,0.9198484848484848,0.9184848484848483,0.921818181818182,0.9212121212121211,0.917121212121212,0.9175757575757576,0.9198484848484848
2,0.7187878787878788,0.8134848484848485,0.8316666666666667,0.8369696969696969,0.8415151515151515,0.8448484848484848,0.8636363636363636,0.8807575757575757,0.8892424242424243,0.8904545454545455,0.8960606060606061,0.8998484848484849,0.901060606060606,0.9045454545454544,0.9090909090909092,0.9072727272727272,0.912121212121212,0.913939393939394,0.9154545454545454,0.9213636363636364,0.9206060606060606,0.9256060606060608,0.9243939393939394,0.922121212121212,0.9245454545454546,0.9283333333333332,0.9259090909090908,0.9251515151515152,0.926969696969697,0.9287878787878788,0.9266666666666666,0.9296969696969696,0.928030303030303,0.9295454545454546,0.926969696969697,0.9287878787878788,0.9306060606060608,0.9257575757575758,0.9296969696969696,0.9268181818181818
4,0.7234848484848485,0.8224242424242424,0.8410606060606061,0.8409090909090909,0.8475757575757575,0.8534848484848485,0.8707575757575757,0.8881818181818182,0.8966666666666666,0.8963636363636364,0.9030303030303032,0.9063636363636364,0.9115151515151516,0.9096969696969696,0.9112121212121213,0.9122727272727272,0.9165151515151516,0.916060606060606,0.9204545454545454,0.925,0.9242424242424242,0.9213636363636364,0.9233333333333332,0.9257575757575758,0.9227272727272728,0.923939393939394,0.9254545454545454,0.9254545454545454,0.9256060606060608,0.9263636363636364,0.928939393939394,0.9259090909090908,0.9295454545454546,0.9298484848484848,0.9263636363636364,0.9295454545454546,0.9263636363636364,0.9245454545454546,0.9292424242424242,0.9265151515151515
6,0.7372727272727273,0.8234848484848485,0.8378787878787879,0.8477272727272728,0.8495454545454545,0.8578787878787879,0.8818181818181818,0.8922727272727272,0.8936363636363637,0.8986363636363637,0.9030303030303032,0.9054545454545454,0.9090909090909092,0.9142424242424242,0.9172727272727272,0.9183333333333332,0.9184848484848483,0.9201515151515152,0.9184848484848483,0.9256060606060608,0.9248484848484848,0.926969696969697,0.9286363636363636,0.9257575757575758,0.9290909090909092,0.9301515151515152,0.9296969696969696,0.9272727272727272,0.9293939393939394,0.926969696969697,0.9309090909090908,0.9284848484848484,0.9295454545454546,0.9306060606060608,0.9296969696969696,0.9298484848484848,0.9307575757575758,0.9307575757575758,0.9293939393939394,0.9290909090909091
8,0.7204545454545455,0.8203030303030303,0.8378787878787879,0.8436363636363636,0.8468181818181818,0.855,0.8795454545454545,0.8907575757575757,0.894090909090909,0.8980303030303031,0.9013636363636364,0.9063636363636364,0.9112121212121213,0.9104545454545454,0.9175757575757576,0.9186363636363636,0.9153030303030304,0.9216666666666666,0.922121212121212,0.9253030303030304,0.9262121212121212,0.9253030303030304,0.9256060606060608,0.9257575757575758,0.9275757575757576,0.9306060606060608,0.9281818181818182,0.9256060606060608,0.9286363636363636,0.9296969696969696,0.9303030303030304,0.9295454545454546,0.9287878787878788,0.9307575757575758,0.932878787878788,0.9318181818181818,0.9322727272727273,0.9318181818181818,0.9295454545454546,0.9298484848484848
10,0.7296969696969697,0.8309090909090909,0.8366666666666667,0.845,0.8516666666666667,0.8548484848484849,0.8728787878787879,0.8928787878787878,0.901060606060606,0.901060606060606,0.9096969696969696,0.9080303030303032,0.9136363636363636,0.9143939393939394,0.916060606060606,0.92,0.92,0.9165151515151516,0.9201515151515152,0.923939393939394,0.923030303030303,0.9256060606060608,0.9281818181818182,0.9245454545454546,0.9286363636363636,0.9265151515151516,0.9306060606060608,0.927121212121212,0.9298484848484848,0.9313636363636364,0.931060606060606,0.9296969696969696,0.9325757575757576,0.9287878787878788,0.9290909090909092,0.9292424242424242,0.9334848484848484,0.9286363636363636,0.9298484848484848,0.93
12,0.7275757575757575,0.8228787878787879,0.8362121212121212,0.8401515151515152,0.8466666666666667,0.8584848484848485,0.87,0.8845454545454545,0.8933333333333333,0.8978787878787878,0.9053030303030304,0.9131818181818182,0.903939393939394,0.9137878787878788,0.9103030303030304,0.9209090909090908,0.9183333333333332,0.921060606060606,0.9233333333333332,0.9256060606060608,0.9265151515151516,0.9266666666666666,0.927121212121212,0.9296969696969696,0.9325757575757576,0.9312121212121212,0.9304545454545454,0.9324242424242424,0.9315151515151516,0.9301515151515152,0.9283333333333332,0.9324242424242424,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9325757575757576,0.9334848484848484,0.9322727272727273,0.9301515151515152,0.9318181818181818
14,0.7353030303030303,0.8246969696969697,0.8363636363636363,0.84,0.8413636363636363,0.8560606060606061,0.8756060606060606,0.8918181818181818,0.9034848484848484,0.8971212121212121,0.9043939393939394,0.9080303030303032,0.912121212121212,0.9115151515151516,0.913939393939394,0.918939393939394,0.92,0.921060606060606,0.9198484848484848,0.9265151515151516,0.9287878787878788,0.9251515151515152,0.927121212121212,0.927878787878788,0.9343939393939394,0.9287878787878788,0.9268181818181818,0.9290909090909092,0.932878787878788,0.9307575757575758,0.9292424242424242,0.9301515151515152,0.9298484848484848,0.933030303030303,0.9324242424242424,0.9309090909090908,0.9306060606060608,0.93,0.9298484848484848,0.9309090909090909
16,0.7240909090909091,0.8246969696969697,0.83,0.8343939393939394,0.8483333333333334,0.8483333333333334,0.8696969696969697,0.8901515151515151,0.8956060606060606,0.8968181818181818,0.905,0.9042424242424244,0.9063636363636364,0.9116666666666666,0.9146969696969696,0.9107575757575758,0.9142424242424242,0.9187878787878788,0.9187878787878788,0.9207575757575758,0.922878787878788,0.9259090909090908,0.9234848484848484,0.9195454545454546,0.9248484848484848,0.9266666666666666,0.9290909090909092,0.9256060606060608,0.9274242424242424,0.9277272727272728,0.9286363636363636,0.926969696969697,0.9246969696969696,0.9281818181818182,0.927878787878788,0.9290909090909092,0.9284848484848484,0.9292424242424242,0.9292424242424242,0.9281818181818182
18,0.7354545454545455,0.8315151515151515,0.8375757575757575,0.8390909090909091,0.8537878787878788,0.8568181818181818,0.8746969696969698,0.8887878787878788,0.895,0.896969696969697,0.906060606060606,0.9015151515151516,0.9113636363636364,0.9145454545454546,0.9151515151515152,0.9153030303030304,0.9154545454545454,0.9224242424242424,0.921060606060606,0.9262121212121212,0.9207575757575758,0.9274242424242424,0.9272727272727272,0.9243939393939394,0.925,0.927121212121212,0.9263636363636364,0.9257575757575758,0.9309090909090908,0.9275757575757576,0.927121212121212,0.9272727272727272,0.927121212121212,0.9254545454545454,0.9286363636363636,0.9277272727272728,0.9259090909090908,0.9263636363636364,0.9259090909090908,0.9284848484848485
