SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,0.4113888888888889,0.6681388888888888,0.687,0.6972222222222222,0.7025,0.7117222222222223,0.7160833333333333,0.7242777777777778,0.7288611111111111,0.7383888888888889,0.7426111111111111,0.7496111111111111,0.7569444444444444,0.7624444444444445,0.7694444444444445,0.7769166666666667,0.7832222222222223,0.7881111111111111,0.7876388888888889,0.7900555555555555,0.7923055555555556,0.7986111111111112,0.8021944444444444,0.8033333333333333,0.8109444444444445,0.8140833333333334,0.8183333333333334,0.8191111111111111,0.8245,0.8288611111111112,0.8346944444444444,0.8376944444444444,0.84025,0.8434722222222222,0.8440277777777778,0.8455277777777778,0.8489722222222222,0.8487777777777777,0.8472222222222222,0.8506111111111111,0.8522222222222222,0.8540555555555556,0.8547777777777777,0.85525,0.8578611111111111,0.8570277777777778,0.8570555555555556,0.865,0.864,0.8658611111111111,0.8646111111111111,0.8674722222222222,0.8651666666666666,0.8671666666666666,0.8666944444444444,0.8679444444444444,0.8671111111111112,0.869,0.8705,0.8703611111111111,0.8694444444444445,0.8721944444444445,0.8689444444444444,0.8704444444444445,0.8711944444444445,0.8737777777777778,0.8743611111111111,0.8750555555555556,0.8735,0.8748333333333334,0.8761944444444445,0.8759166666666667,0.8774166666666666,0.8781111111111111,0.8763333333333333,0.8769444444444444
2,0.4134722222222222,0.6753055555555556,0.7045555555555556,0.7153888888888889,0.7238055555555556,0.7275555555555555,0.7350833333333333,0.7436388888888888,0.7556944444444444,0.7656666666666667,0.77225,0.7773888888888889,0.7841944444444444,0.7935833333333333,0.8022777777777778,0.8082222222222222,0.8138333333333333,0.8173055555555555,0.8173055555555555,0.82,0.8201388888888889,0.823,0.8268888888888889,0.8295833333333333,0.8359722222222222,0.8369444444444445,0.8402777777777778,0.8443611111111111,0.8496944444444444,0.8548888888888889,0.8595,0.8623888888888889,0.8663611111111111,0.8693055555555556,0.8702222222222222,0.8728888888888889,0.8742777777777778,0.8761111111111111,0.8776111111111111,0.8781111111111111,0.8782222222222222,0.8796944444444444,0.8831388888888889,0.8835,0.8842222222222222,0.8863611111111112,0.8845,0.8882222222222222,0.88825,0.88925,0.88925,0.8925277777777778,0.8923611111111112,0.8932777777777777,0.8904166666666666,0.8933611111111112,0.8942777777777777,0.8925555555555555,0.8948611111111111,0.8942222222222223,0.8946111111111111,0.8930277777777778,0.8955,0.897,0.8965,0.8971944444444444,0.8969722222222222,0.8971111111111111,0.8976666666666666,0.8993055555555556,0.8993333333333333,0.8995555555555556,0.8988333333333334,0.9002777777777777,0.8998333333333334,0.8998055555555555
4,0.413,0.6728888888888889,0.7111111111111111,0.7246111111111111,0.729,0.7331666666666666,0.7408055555555556,0.7526388888888889,0.7641388888888889,0.773,0.7819166666666667,0.7881944444444444,0.7939444444444445,0.8075833333333333,0.8137777777777778,0.818,0.82325,0.8249166666666666,0.8271111111111111,0.8271666666666667,0.8294722222222223,0.83375,0.8361388888888889,0.8363888888888888,0.8441666666666666,0.8457222222222223,0.8488333333333333,0.8530555555555556,0.8583333333333333,0.8657777777777778,0.8696111111111111,0.8735555555555555,0.8780277777777777,0.8797777777777778,0.8808888888888889,0.8840833333333333,0.8837222222222222,0.8856666666666667,0.8881111111111111,0.8894444444444445,0.8887777777777778,0.8904166666666666,0.8913055555555556,0.8921944444444444,0.8935,0.8924722222222222,0.8933055555555556,0.8987222222222222,0.8984722222222222,0.8989166666666667,0.9001388888888889,0.8999166666666667,0.8990833333333333,0.9011111111111112,0.9023333333333332,0.9019166666666668,0.9019444444444444,0.9024166666666666,0.903,0.9016111111111113,0.9036666666666666,0.9045277777777778,0.9034444444444444,0.9054722222222222,0.9045277777777778,0.9055,0.9068055555555556,0.9074166666666666,0.9052777777777776,0.906,0.9085277777777778,0.9069444444444444,0.9069722222222222,0.9082777777777776,0.9087222222222222,0.9086666666666666
6,0.4103611111111111,0.6753055555555556,0.7144166666666667,0.7246111111111111,0.7313333333333333,0.7371388888888889,0.7458888888888889,0.7558611111111111,0.7716388888888889,0.7808611111111111,0.7846111111111111,0.7905833333333333,0.79975,0.8121944444444444,0.81825,0.8223055555555555,0.8261944444444445,0.829,0.8290555555555555,0.8326666666666667,0.8361666666666666,0.8380555555555556,0.8394444444444444,0.8408333333333333,0.8460277777777778,0.8490555555555556,0.8515,0.8564722222222222,0.8626111111111111,0.8675555555555555,0.8709444444444444,0.87725,0.8807777777777778,0.8825555555555555,0.8850277777777777,0.8875277777777778,0.8885,0.8888333333333334,0.8913055555555556,0.8934166666666666,0.8935833333333333,0.8936388888888889,0.8946111111111111,0.89725,0.8991944444444444,0.89875,0.8997222222222222,0.9019166666666668,0.9016111111111113,0.9040277777777778,0.90375,0.90325,0.9054166666666666,0.9063888888888888,0.9048333333333334,0.9051388888888888,0.9066388888888888,0.9050555555555556,0.9052777777777776,0.9061388888888888,0.90675,0.9070833333333334,0.9076944444444444,0.9088055555555556,0.9089166666666668,0.91,0.9098611111111112,0.9111944444444444,0.9108888888888887,0.9095277777777778,0.9098888888888887,0.9107777777777778,0.9115277777777778,0.9125277777777778,0.9118333333333334,0.9125833333333333
8,0.4081388888888889,0.6720833333333334,0.7147777777777777,0.7259444444444444,0.7350277777777777,0.7367222222222222,0.7466111111111111,0.76275,0.7714166666666666,0.7819444444444444,0.7886111111111112,0.79175,0.8039722222222222,0.8116944444444445,0.8198333333333333,0.8252222222222222,0.8257777777777778,0.8293888888888888,0.8311666666666667,0.8338611111111112,0.8351944444444445,0.8390555555555556,0.8416388888888889,0.8418888888888889,0.8491111111111111,0.8515833333333334,0.8535277777777778,0.8591666666666666,0.8632222222222222,0.8667222222222222,0.8711666666666666,0.8768888888888889,0.881,0.8829166666666667,0.8845,0.8875277777777778,0.8868611111111111,0.8896111111111111,0.8900277777777778,0.89225,0.8939444444444444,0.8946388888888889,0.8946111111111111,0.8963055555555556,0.8971944444444444,0.8980277777777778,0.8988055555555555,0.9014722222222222,0.9031111111111112,0.9021944444444444,0.9043055555555556,0.9041111111111112,0.9028333333333334,0.9038333333333334,0.9055,0.9064444444444444,0.9073888888888888,0.9068055555555556,0.9065277777777778,0.9080833333333334,0.9079166666666668,0.9073333333333332,0.9075833333333332,0.9083333333333332,0.9096666666666666,0.9096388888888888,0.9101388888888888,0.9103611111111112,0.9107777777777778,0.9103611111111112,0.9110555555555556,0.9103611111111112,0.9115277777777778,0.9115555555555556,0.9126111111111112,0.9120555555555555
10,0.4055555555555555,0.6748888888888889,0.7151388888888889,0.7266111111111111,0.73325,0.7403611111111111,0.7471666666666666,0.7608888888888888,0.7730833333333333,0.7823333333333333,0.7893888888888889,0.7961666666666667,0.8061944444444444,0.8156388888888889,0.8205833333333333,0.8253611111111111,0.8300277777777778,0.8351944444444445,0.8313055555555555,0.8318611111111112,0.8375555555555556,0.8388888888888889,0.8400555555555556,0.8426666666666667,0.8513333333333334,0.8515,0.854,0.85875,0.8655833333333334,0.8694444444444445,0.8749166666666667,0.8783611111111111,0.8824166666666666,0.8866944444444445,0.8875277777777778,0.8886944444444445,0.8912777777777777,0.8913611111111112,0.8928611111111111,0.8933333333333333,0.8951388888888889,0.8967222222222222,0.8979166666666667,0.8993611111111111,0.8983055555555556,0.9,0.9013888888888888,0.9045833333333332,0.9048333333333334,0.9050277777777778,0.9058333333333334,0.9060555555555556,0.9060277777777778,0.9071388888888888,0.9080833333333334,0.9078055555555556,0.9065277777777778,0.9074166666666666,0.9084722222222222,0.9092777777777776,0.9103611111111112,0.9095,0.9097777777777778,0.9121388888888888,0.91075,0.9131944444444444,0.9125833333333332,0.9137777777777778,0.9121666666666668,0.9135,0.9124166666666668,0.9135833333333332,0.9134722222222222,0.9121944444444444,0.9148611111111112,0.9126388888888889
12,0.4065277777777777,0.6761111111111111,0.7157777777777777,0.7270833333333333,0.7293888888888889,0.7376666666666667,0.7458888888888889,0.7570277777777777,0.7712777777777777,0.7803055555555556,0.7862777777777777,0.7951388888888888,0.8029166666666666,0.8141111111111111,0.8198611111111112,0.8264722222222223,0.8285277777777778,0.8313888888888888,0.8309722222222222,0.8338333333333333,0.8365,0.838,0.841,0.8423888888888889,0.8490555555555556,0.8512777777777778,0.8552777777777778,0.8596111111111111,0.8636666666666667,0.8699444444444444,0.8754722222222222,0.8774722222222222,0.8816388888888889,0.8836666666666667,0.8866388888888889,0.8881944444444444,0.8889166666666667,0.8906666666666667,0.89175,0.8934444444444445,0.89475,0.8970277777777778,0.8966944444444445,0.89725,0.8992222222222223,0.8983333333333333,0.90225,0.9045277777777778,0.9052777777777776,0.9048611111111112,0.9043888888888888,0.904,0.9059166666666668,0.9063055555555556,0.9071111111111112,0.9084166666666668,0.907,0.9071666666666668,0.9081111111111112,0.9079444444444444,0.9092222222222224,0.9091388888888888,0.9109722222222222,0.9103333333333332,0.9113888888888888,0.9123888888888888,0.9120555555555556,0.9122777777777776,0.9136111111111112,0.912,0.9138055555555556,0.9133888888888888,0.9145277777777778,0.9122777777777776,0.9133888888888888,0.9127777777777778
14,0.41075,0.6737222222222222,0.7181388888888889,0.7290555555555556,0.7335833333333334,0.7403333333333333,0.7462777777777778,0.7604166666666666,0.7731666666666667,0.7833333333333333,0.78825,0.7956388888888889,0.8031111111111111,0.8138888888888889,0.8198333333333333,0.8255555555555556,0.8285833333333333,0.8299444444444445,0.8324444444444444,0.8329166666666666,0.8340277777777778,0.8376111111111111,0.8425555555555555,0.8438888888888889,0.8481388888888889,0.8498888888888889,0.8543611111111111,0.8567777777777777,0.8627777777777778,0.8704444444444445,0.8739444444444444,0.8770833333333333,0.8801388888888889,0.8852222222222222,0.8838888888888888,0.8889166666666667,0.8883888888888889,0.8921111111111111,0.8910277777777778,0.8955833333333333,0.8941944444444444,0.8961666666666667,0.89775,0.8959444444444444,0.8969166666666667,0.8995833333333333,0.8998055555555555,0.9015277777777778,0.9037777777777778,0.9041111111111112,0.9041944444444444,0.9036111111111113,0.9043611111111112,0.9044166666666666,0.9053055555555556,0.9078611111111112,0.9061388888888888,0.9060833333333334,0.9075277777777778,0.9084166666666668,0.9085555555555556,0.9065833333333332,0.9081666666666668,0.9090277777777778,0.9085833333333332,0.9106388888888888,0.91,0.9117777777777778,0.9098611111111112,0.91125,0.91175,0.9135277777777778,0.912,0.9130277777777778,0.9124722222222222,0.9138888888888889
16,0.4051666666666667,0.6693888888888889,0.7153888888888889,0.72525,0.7322222222222222,0.7409166666666667,0.745,0.7610277777777777,0.7731944444444444,0.7817777777777778,0.7900277777777778,0.7962777777777778,0.8027777777777778,0.8143055555555555,0.8225,0.8252777777777778,0.8304722222222222,0.8315555555555556,0.8343333333333334,0.8331666666666667,0.8371944444444445,0.8393333333333334,0.8411111111111111,0.8426388888888889,0.8485833333333334,0.8501944444444445,0.8540833333333333,0.8584722222222222,0.8631666666666666,0.8693055555555556,0.8747777777777778,0.8790555555555556,0.8809722222222223,0.8848888888888888,0.8852222222222222,0.88775,0.8909444444444444,0.8928055555555555,0.8929166666666667,0.8950555555555556,0.8953333333333333,0.8969166666666667,0.8981666666666667,0.8977222222222222,0.9004166666666666,0.8999444444444444,0.9014444444444444,0.9041666666666668,0.9043611111111112,0.9050555555555556,0.9072222222222224,0.9051111111111112,0.9062222222222224,0.9064722222222222,0.9051944444444444,0.9082222222222224,0.9069722222222222,0.9071111111111112,0.9093888888888888,0.9081666666666668,0.9100833333333334,0.90825,0.9095833333333332,0.9092777777777776,0.9098055555555556,0.9118333333333334,0.9122222222222224,0.9122222222222224,0.9116666666666666,0.9127222222222222,0.9119166666666668,0.91375,0.9144444444444444,0.9131388888888888,0.9133888888888888,0.9129166666666667
18,0.4060277777777777,0.6730555555555555,0.71275,0.7254722222222222,0.7312777777777778,0.7392222222222222,0.7498888888888889,0.7596944444444444,0.7735277777777778,0.7838611111111111,0.7887777777777778,0.7945833333333333,0.8041388888888888,0.8143055555555555,0.81925,0.8241944444444445,0.8248611111111112,0.8285,0.8306666666666667,0.83075,0.8360833333333333,0.8393333333333334,0.8395555555555556,0.8416944444444444,0.8478055555555556,0.85,0.8521388888888889,0.8574444444444445,0.8637777777777778,0.8688333333333333,0.8734166666666666,0.8779166666666667,0.88225,0.8836944444444444,0.8844166666666666,0.8865555555555555,0.8869444444444444,0.8906111111111111,0.8911388888888889,0.8923333333333333,0.8932222222222223,0.8955277777777778,0.8966388888888889,0.8966666666666666,0.8971111111111111,0.8989166666666667,0.8997777777777778,0.9031666666666668,0.90275,0.9036388888888888,0.9057777777777778,0.9051111111111112,0.9049722222222222,0.9053888888888888,0.9058333333333334,0.9056944444444444,0.9061944444444444,0.9058333333333334,0.9079722222222222,0.9078055555555556,0.9076388888888888,0.90925,0.9093888888888888,0.9093333333333332,0.9097777777777778,0.9103888888888888,0.9090833333333334,0.9114166666666668,0.9109722222222222,0.9119444444444444,0.9121666666666668,0.9127222222222222,0.9127777777777778,0.9124166666666668,0.91175,0.9131666666666667
