SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,0.2280555555555555,0.4888888888888889,0.5631388888888889,0.6013888888888889,0.6481388888888889,0.6899444444444445,0.7141666666666666,0.7357777777777778,0.7482222222222222,0.7598611111111111,0.7692777777777777,0.7807222222222222,0.7843055555555556,0.7917222222222222,0.7954166666666667,0.7992777777777778,0.80275,0.8080833333333334,0.8208055555555556,0.8314166666666667,0.8490277777777778,0.8568611111111111,0.8626388888888888,0.8681111111111111,0.8704444444444445,0.8731388888888889,0.8778333333333334,0.8781666666666667,0.8781111111111111,0.8825833333333334,0.8830833333333333,0.8839722222222223,0.8854166666666666,0.8859444444444444,0.8876944444444445,0.8879444444444444,0.88975,0.8909722222222223,0.8916388888888889,0.8918055555555555,0.89225,0.8991666666666667,0.9000833333333333,0.9002777777777777,0.8994444444444445,0.9008333333333334,0.9014444444444444,0.8999166666666667,0.9045555555555556,0.9043611111111112,0.9051111111111112,0.9069722222222222,0.9063888888888888,0.9085555555555556,0.9088055555555556,0.9083333333333332,0.9080833333333334,0.9101111111111112,0.9105555555555556
2,0.2262777777777777,0.5185555555555555,0.6036388888888888,0.6563611111111111,0.7016388888888889,0.7315,0.7576944444444444,0.7758333333333334,0.7897777777777778,0.8024722222222223,0.8076111111111111,0.8136111111111111,0.8168888888888889,0.8225,0.8238611111111112,0.8270277777777778,0.8303055555555555,0.8341388888888889,0.8408055555555556,0.8575833333333334,0.8736388888888889,0.8833333333333333,0.8893611111111112,0.8945,0.8969166666666667,0.8988888888888888,0.9007222222222222,0.90175,0.9041111111111112,0.9050555555555556,0.9053055555555556,0.9071944444444444,0.90725,0.9086111111111111,0.91025,0.9088611111111112,0.9114444444444444,0.9114444444444444,0.9112777777777776,0.9129166666666668,0.9131944444444444,0.91675,0.9184722222222222,0.9174722222222222,0.9170555555555556,0.9176388888888888,0.918,0.9192222222222224,0.9211666666666668,0.9203888888888888,0.9208611111111112,0.9215,0.9215277777777776,0.9227222222222222,0.9226388888888888,0.92325,0.9236111111111112,0.9239166666666668,0.9240555555555555
4,0.2255277777777777,0.5273333333333333,0.6207222222222222,0.67175,0.7178333333333333,0.75075,0.7731944444444444,0.7956666666666666,0.8058333333333333,0.8143333333333334,0.8232222222222222,0.8255,0.8291388888888889,0.8351111111111111,0.8369166666666666,0.8373888888888888,0.8382222222222222,0.8430277777777778,0.8495555555555555,0.86575,0.8834444444444445,0.8944722222222222,0.8988611111111111,0.9053888888888888,0.9071666666666668,0.9076111111111111,0.9108333333333334,0.9113333333333332,0.9131388888888888,0.9145833333333332,0.9153888888888888,0.9161666666666668,0.9161388888888888,0.9165277777777778,0.918,0.9186111111111112,0.9196944444444444,0.9196388888888888,0.9210277777777778,0.9207777777777778,0.9216388888888888,0.9229444444444443,0.9231111111111112,0.9244722222222224,0.9246388888888888,0.92425,0.9234166666666668,0.9246666666666666,0.926,0.9265555555555556,0.9261388888888888,0.9266111111111112,0.9268333333333332,0.9273888888888888,0.9278333333333332,0.9271388888888888,0.9273611111111112,0.9282777777777778,0.9285555555555556
6,0.2261944444444444,0.5333333333333333,0.6268888888888889,0.6796111111111112,0.7313888888888889,0.7616666666666667,0.7850833333333334,0.8006944444444445,0.8110277777777778,0.8196944444444444,0.8276666666666667,0.8319722222222222,0.8338611111111112,0.83725,0.8399166666666666,0.8401666666666666,0.8435555555555555,0.8468888888888889,0.8538055555555556,0.8705,0.8868888888888888,0.899,0.90375,0.9078055555555556,0.9102222222222224,0.9129444444444444,0.9135555555555556,0.9147222222222222,0.9165277777777778,0.91775,0.9179444444444445,0.9193611111111112,0.9192777777777776,0.9198888888888888,0.9198333333333332,0.92125,0.9213055555555556,0.9225555555555556,0.92325,0.92225,0.9223055555555556,0.9272777777777778,0.9259722222222222,0.9268055555555555,0.9264722222222224,0.9274444444444444,0.9273055555555556,0.92675,0.9280277777777778,0.9278611111111112,0.9285277777777776,0.9291111111111112,0.9291388888888888,0.9300833333333334,0.92925,0.9299166666666666,0.93,0.9305277777777776,0.9305555555555556
8,0.2285277777777777,0.5338333333333334,0.6249444444444444,0.67975,0.7291666666666666,0.7620277777777777,0.7865833333333333,0.8036388888888889,0.8133888888888889,0.8232777777777778,0.8295833333333333,0.8334166666666667,0.8355,0.8386666666666667,0.8401388888888889,0.8449444444444445,0.844,0.8481111111111111,0.8543055555555555,0.8698055555555556,0.8870277777777777,0.9003611111111111,0.9058333333333334,0.9091944444444444,0.9132777777777776,0.9143333333333332,0.9160277777777778,0.9163888888888888,0.9181666666666668,0.9181388888888888,0.9211666666666668,0.9210833333333334,0.9209444444444445,0.9215277777777776,0.9223888888888888,0.9219166666666668,0.9231388888888888,0.9232777777777778,0.9243888888888888,0.9239722222222222,0.9243055555555556,0.9273888888888888,0.9283333333333332,0.9278888888888888,0.9281388888888888,0.9284722222222224,0.9290277777777778,0.9291666666666668,0.9305833333333332,0.9310555555555556,0.9305555555555556,0.9301944444444444,0.9312777777777778,0.9312777777777778,0.9311944444444444,0.9316944444444444,0.9315833333333332,0.9320555555555556,0.9323611111111111
10,0.2301111111111111,0.53025,0.6261944444444445,0.6811944444444444,0.7316111111111111,0.7652777777777777,0.7890277777777778,0.8058333333333333,0.8164444444444444,0.8248611111111112,0.8315,0.8351944444444445,0.838,0.8419166666666666,0.8411666666666666,0.8436666666666667,0.8432777777777778,0.8488333333333333,0.8552222222222222,0.8706944444444444,0.8915833333333333,0.9023055555555556,0.9077777777777778,0.9126944444444444,0.9149444444444444,0.9165,0.9178611111111112,0.9182222222222224,0.919,0.9233333333333332,0.9226666666666666,0.9229166666666668,0.9209166666666668,0.9233611111111112,0.9241388888888888,0.9247777777777778,0.926,0.9262222222222222,0.9265833333333332,0.92525,0.9259444444444443,0.9290833333333334,0.93,0.9289444444444444,0.9295555555555556,0.9299722222222222,0.9296388888888888,0.9303333333333332,0.9314722222222224,0.93175,0.9315277777777776,0.9315833333333332,0.93175,0.9325,0.9328055555555556,0.9329166666666666,0.93275,0.9327222222222222,0.9331944444444444
12,0.2237222222222222,0.5286111111111111,0.6215833333333334,0.6798333333333333,0.7289722222222222,0.7630833333333333,0.7875,0.8060277777777778,0.8182222222222222,0.8237777777777778,0.8304444444444444,0.8345,0.8369722222222222,0.8391666666666666,0.8404166666666667,0.8430833333333333,0.846,0.8475,0.8548611111111111,0.8714444444444445,0.8888055555555555,0.8996666666666666,0.9062222222222224,0.9110277777777778,0.91325,0.9149722222222222,0.9159444444444444,0.9173333333333332,0.91925,0.9191388888888888,0.92,0.9209722222222222,0.9215,0.9215833333333332,0.9228888888888888,0.9238055555555555,0.92375,0.9251388888888888,0.9243611111111112,0.9257222222222222,0.9253888888888888,0.9288333333333332,0.9296388888888888,0.9298888888888888,0.9293333333333332,0.92925,0.9288888888888888,0.9303888888888888,0.9312777777777778,0.9320277777777778,0.9318611111111113,0.9322777777777778,0.9319166666666666,0.9330277777777778,0.9332222222222222,0.933,0.9328888888888888,0.9333055555555556,0.9334722222222223
14,0.2252222222222222,0.532,0.6279166666666667,0.6796666666666666,0.7298888888888889,0.7609166666666667,0.7861944444444444,0.8046666666666666,0.8188055555555556,0.8235277777777777,0.8306111111111111,0.8333333333333334,0.8362222222222222,0.8389444444444445,0.8404722222222222,0.8416111111111111,0.8450833333333333,0.8494444444444444,0.8538611111111111,0.8720277777777777,0.8897777777777778,0.9012222222222224,0.9064722222222222,0.9098888888888887,0.9140277777777778,0.9138055555555556,0.91675,0.9181388888888888,0.91925,0.9193888888888888,0.9196388888888888,0.9220833333333334,0.9211666666666668,0.9229444444444443,0.9231388888888888,0.9229166666666668,0.9241388888888888,0.9244166666666668,0.9255555555555556,0.92475,0.9263611111111112,0.9283333333333332,0.9286944444444444,0.9288055555555556,0.9296388888888888,0.929,0.9289444444444444,0.9291388888888888,0.9315277777777776,0.9312222222222222,0.9313333333333332,0.9311111111111112,0.9315277777777776,0.9323333333333332,0.9325555555555556,0.9328611111111113,0.9323333333333332,0.933,0.9330555555555555
16,0.2252222222222222,0.5313888888888889,0.62475,0.6790833333333334,0.7326111111111111,0.7634722222222222,0.7835833333333333,0.8037222222222222,0.8151666666666667,0.82325,0.8289166666666666,0.83425,0.8370277777777778,0.8406944444444444,0.8418888888888889,0.8431944444444445,0.8459166666666667,0.8492222222222222,0.8567777777777777,0.8730555555555556,0.8913611111111112,0.9024166666666666,0.9089166666666668,0.9116944444444444,0.9134444444444444,0.9161388888888888,0.9174166666666668,0.9182777777777776,0.9199166666666668,0.92075,0.92125,0.9227777777777778,0.9224722222222222,0.9236388888888888,0.9232222222222224,0.9242222222222222,0.9261111111111112,0.9250277777777778,0.9257777777777778,0.9256944444444444,0.9251944444444444,0.9289722222222222,0.9298333333333332,0.9290555555555556,0.9296111111111112,0.9299444444444444,0.9298888888888888,0.9289722222222222,0.9318055555555556,0.9316388888888888,0.9312777777777778,0.9315277777777776,0.9315555555555556,0.9320833333333334,0.9324722222222224,0.9324444444444444,0.9327777777777778,0.9329722222222222,0.9329166666666666
18,0.2252777777777777,0.5258055555555555,0.6232222222222222,0.6801944444444444,0.7293888888888889,0.7656944444444445,0.7892222222222223,0.8066111111111111,0.81475,0.8249722222222222,0.8320277777777778,0.83425,0.8374166666666667,0.8396666666666667,0.8404444444444444,0.8429166666666666,0.8462222222222222,0.8495555555555555,0.8585277777777778,0.8703055555555556,0.8883333333333333,0.9,0.90675,0.9105555555555556,0.9133333333333332,0.9151944444444444,0.9170277777777778,0.9177777777777778,0.9185,0.9192777777777776,0.9202777777777778,0.9217222222222222,0.9207222222222222,0.921,0.92275,0.9223333333333332,0.9243333333333332,0.9251111111111112,0.9252777777777778,0.9249166666666668,0.9249444444444443,0.9285555555555556,0.9289444444444444,0.9286111111111112,0.9290833333333334,0.9293888888888888,0.9285833333333332,0.9298055555555556,0.931,0.93125,0.9313888888888888,0.9310833333333334,0.9312777777777778,0.9320833333333334,0.9323888888888888,0.9324444444444444,0.9333611111111112,0.933,0.9331666666666667
