SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2,0.6874242424242424,0.7883333333333333,0.8157575757575758,0.8406060606060606,0.855,0.8686363636363637,0.8812121212121212,0.884090909090909,0.8887878787878788,0.8936363636363637,0.8995454545454545,0.9,0.9015151515151516,0.9075757575757576,0.9063636363636364,0.9045454545454544,0.9077272727272728,0.9146969696969696,0.9090909090909092,0.9078787878787878,0.9125757575757576,0.9109090909090908,0.9146969696969696,0.9192424242424242,0.9175757575757576,0.9212121212121211,0.9198484848484848,0.9186363636363636,0.921969696969697,0.9231818181818182,0.921818181818182,0.9209090909090908,0.922121212121212,0.925,0.9236363636363636
4,0.6995454545454546,0.7974242424242424,0.8371212121212122,0.845,0.8584848484848485,0.8736363636363637,0.8875757575757576,0.8934848484848484,0.9004545454545455,0.9034848484848484,0.9053030303030304,0.911818181818182,0.9062121212121212,0.9087878787878788,0.9112121212121213,0.9125757575757576,0.915,0.9116666666666666,0.9143939393939394,0.9134848484848485,0.916818181818182,0.9156060606060606,0.916818181818182,0.921060606060606,0.9233333333333332,0.9233333333333332,0.922878787878788,0.9236363636363636,0.9256060606060608,0.9251515151515152,0.9237878787878788,0.925,0.9274242424242424,0.9251515151515152,0.9234848484848485
6,0.705,0.8024242424242424,0.8371212121212122,0.8575757575757575,0.868030303030303,0.8798484848484849,0.8874242424242424,0.8968181818181818,0.8998484848484849,0.906969696969697,0.9077272727272728,0.9107575757575758,0.9130303030303032,0.9095454545454544,0.9159090909090908,0.9156060606060606,0.9174242424242424,0.9165151515151516,0.92,0.9225757575757576,0.9212121212121211,0.9216666666666666,0.9203030303030304,0.9242424242424242,0.9254545454545454,0.9259090909090908,0.927878787878788,0.928030303030303,0.926969696969697,0.9242424242424242,0.9259090909090908,0.9240909090909092,0.9254545454545454,0.9266666666666666,0.9265151515151515
8,0.6915151515151515,0.8056060606060607,0.8363636363636363,0.8460606060606061,0.8739393939393939,0.8787878787878788,0.8910606060606061,0.8971212121212121,0.9025757575757576,0.906818181818182,0.9006060606060606,0.9051515151515152,0.9106060606060606,0.9084848484848485,0.9112121212121213,0.9101515151515152,0.9140909090909092,0.911969696969697,0.9175757575757576,0.9196969696969696,0.916060606060606,0.9204545454545454,0.9193939393939394,0.9227272727272728,0.9236363636363636,0.923939393939394,0.921818181818182,0.9248484848484848,0.9256060606060608,0.9245454545454546,0.925,0.9234848484848484,0.9248484848484848,0.921818181818182,0.9251515151515152
10,0.6971212121212121,0.8053030303030303,0.84,0.858030303030303,0.8645454545454545,0.8815151515151515,0.8933333333333333,0.9009090909090908,0.9080303030303032,0.9074242424242424,0.9024242424242424,0.91,0.9084848484848485,0.9142424242424242,0.915,0.9157575757575758,0.9159090909090908,0.9157575757575758,0.9198484848484848,0.9159090909090908,0.916818181818182,0.9192424242424242,0.9181818181818182,0.9237878787878788,0.927121212121212,0.9251515151515152,0.9222727272727272,0.9236363636363636,0.9246969696969696,0.9242424242424242,0.923939393939394,0.9259090909090908,0.9237878787878788,0.9248484848484848,0.9251515151515152
12,0.7031818181818181,0.8051515151515152,0.8369696969696969,0.8571212121212122,0.8642424242424243,0.8783333333333333,0.8853030303030303,0.8951515151515151,0.9016666666666666,0.9009090909090908,0.9056060606060606,0.9092424242424244,0.9078787878787878,0.9125757575757576,0.9095454545454544,0.9124242424242424,0.9187878787878788,0.9180303030303032,0.92,0.9201515151515152,0.9192424242424242,0.9181818181818182,0.9209090909090908,0.9251515151515152,0.9236363636363636,0.923939393939394,0.9225757575757576,0.9246969696969696,0.9233333333333332,0.9256060606060608,0.9253030303030304,0.9242424242424242,0.9262121212121212,0.9231818181818182,0.9256060606060607
14,0.6954545454545454,0.8068181818181818,0.8351515151515152,0.8516666666666667,0.8654545454545455,0.8809090909090909,0.8928787878787878,0.8972727272727272,0.906060606060606,0.9053030303030304,0.911818181818182,0.9077272727272728,0.9116666666666666,0.915,0.9172727272727272,0.9166666666666666,0.9203030303030304,0.9166666666666666,0.9175757575757576,0.9212121212121211,0.9225757575757576,0.9234848484848484,0.9233333333333332,0.9242424242424242,0.9233333333333332,0.9274242424242424,0.9254545454545454,0.9254545454545454,0.9262121212121212,0.9268181818181818,0.927121212121212,0.9246969696969696,0.9263636363636364,0.9266666666666666,0.9301515151515152
16,0.6983333333333334,0.7995454545454546,0.8319696969696969,0.855,0.8672727272727273,0.8742424242424243,0.8842424242424243,0.8968181818181818,0.8980303030303031,0.901969696969697,0.9030303030303032,0.9063636363636364,0.906969696969697,0.9095454545454544,0.9065151515151516,0.9116666666666666,0.9084848484848485,0.9113636363636364,0.9104545454545454,0.9143939393939394,0.9140909090909092,0.9163636363636364,0.9206060606060606,0.921060606060606,0.917121212121212,0.9225757575757576,0.9222727272727272,0.92,0.9237878787878788,0.9216666666666666,0.9224242424242424,0.922878787878788,0.9242424242424242,0.922878787878788,0.9201515151515152
18,0.6996969696969697,0.8057575757575758,0.8396969696969697,0.8581818181818182,0.8627272727272727,0.8834848484848485,0.8889393939393939,0.891969696969697,0.9028787878787878,0.9027272727272728,0.8993939393939394,0.9033333333333332,0.9054545454545454,0.9083333333333332,0.9140909090909092,0.912121212121212,0.9148484848484848,0.9151515151515152,0.9146969696969696,0.912121212121212,0.916060606060606,0.918939393939394,0.9204545454545454,0.9212121212121211,0.9216666666666666,0.9215151515151516,0.923939393939394,0.921969696969697,0.922121212121212,0.9207575757575758,0.92,0.9172727272727272,0.9254545454545454,0.9204545454545454,0.9203030303030303
Avg,0.4789242424242424,0.5473484848484849,0.5682727272727273,0.5807272727272728,0.5897348484848485,0.5992121212121212,0.6062954545454545,0.611439393939394,0.6162575757575758,0.6183787878787879,0.6193939393939394,0.6225075757575758,0.6246136363636363,0.626560606060606,0.6279015151515152,0.6302196969696969,0.6310606060606061,0.6323939393939394,0.6343560606060606,0.6365530303030303,0.6366363636363637,0.6386439393939394,0.639689393939394,0.648219696969697,0.6495075757575758,0.6511287878787879,0.6524166666666666,0.6530454545454546,0.6607727272727273,0.6627348484848485,0.6631666666666667,0.6648712121212121,0.6696969696969697,0.6707878787878788,0.6711515151515152
