SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0.7609444444444444,0.8630277777777777,0.8886111111111111,0.8985277777777778,0.9037777777777778,0.9046666666666666,0.9092777777777776,0.9108333333333334,0.9118611111111112,0.9145833333333332,0.9135,0.9151666666666668,0.9168611111111112,0.9165833333333332,0.9179444444444445,0.9188333333333332,0.9198611111111112,0.9193333333333332,0.9204166666666668,0.9196388888888888,0.9196388888888888,0.9205277777777776,0.9213333333333332,0.92175,0.9232777777777778,0.9233888888888888,0.9251388888888888,0.9234722222222222,0.9252222222222222,0.9272777777777778,0.9257222222222222,0.9266666666666666,0.9275277777777776,0.9284722222222224,0.9288055555555556,0.9304722222222224,0.9290833333333334,0.9301388888888888,0.9294166666666668,0.9280833333333334,0.9303333333333332,0.9291944444444444,0.9299444444444444,0.9303888888888888,0.9305555555555556,0.92975
2,0.7921388888888888,0.8870555555555556,0.9085555555555556,0.9153055555555556,0.9210555555555556,0.9216111111111112,0.9229722222222222,0.9236111111111112,0.9243611111111112,0.9255833333333332,0.9251111111111112,0.9258333333333332,0.9263888888888888,0.9263611111111112,0.9265833333333332,0.9271388888888888,0.9284166666666668,0.9267777777777778,0.9274166666666668,0.9278611111111112,0.9288333333333332,0.9278333333333332,0.9283055555555556,0.929,0.9294444444444444,0.9285555555555556,0.9285833333333332,0.9301944444444444,0.9323055555555556,0.9310833333333334,0.9314722222222224,0.9315833333333332,0.9319722222222222,0.9319444444444444,0.9320277777777778,0.9324444444444444,0.9311666666666668,0.9321666666666668,0.9316666666666666,0.9320555555555556,0.9325555555555556,0.9324166666666668,0.9333333333333332,0.9319166666666666,0.9335555555555556,0.9325
4,0.8041111111111111,0.8937777777777778,0.9133333333333332,0.9206944444444444,0.9236666666666666,0.9242222222222222,0.9243611111111112,0.9264722222222224,0.9280277777777778,0.9291111111111112,0.9288333333333332,0.9298055555555556,0.9301111111111112,0.9304444444444444,0.9313888888888888,0.9303888888888888,0.9312222222222222,0.9315,0.9313888888888888,0.9314722222222224,0.9320833333333334,0.9317222222222222,0.9318055555555556,0.9319166666666666,0.9313333333333332,0.9316944444444444,0.9319444444444444,0.9320555555555556,0.9332777777777778,0.9335833333333332,0.9339166666666666,0.9336666666666666,0.9337222222222222,0.9345,0.9339444444444444,0.9345555555555556,0.9336666666666666,0.9334166666666668,0.9348055555555556,0.9340277777777778,0.9344444444444444,0.9348611111111113,0.9346944444444444,0.9349444444444444,0.9347777777777778,0.9348611111111111
6,0.8080833333333334,0.8984444444444445,0.9158611111111112,0.9236944444444444,0.9255833333333332,0.9279166666666666,0.9282777777777778,0.9297777777777778,0.9299166666666666,0.9307222222222222,0.9313333333333332,0.9321111111111112,0.9325277777777776,0.9328888888888888,0.9332777777777778,0.9334166666666668,0.9330833333333334,0.9329722222222222,0.9331388888888889,0.9325,0.9330555555555556,0.9333055555555556,0.9331388888888889,0.9336388888888888,0.9330277777777778,0.9335,0.9336388888888888,0.9346666666666666,0.9348888888888888,0.9348333333333332,0.9356111111111112,0.9353055555555556,0.9360833333333334,0.9357777777777778,0.9358333333333332,0.93575,0.9360555555555556,0.9360555555555556,0.9360555555555556,0.9359444444444444,0.9363611111111112,0.9361944444444444,0.9366666666666666,0.9366388888888888,0.9371111111111112,0.93675
8,0.8085,0.8959722222222222,0.9166111111111112,0.9246388888888888,0.9276111111111112,0.9283333333333332,0.9302222222222222,0.9298611111111112,0.9314166666666668,0.9309166666666666,0.9325833333333332,0.9323055555555556,0.9329444444444444,0.9337777777777778,0.933,0.9337222222222222,0.9335555555555556,0.9341944444444444,0.9338055555555556,0.9343333333333332,0.9351388888888889,0.9339166666666666,0.9344166666666668,0.9350277777777778,0.9336666666666666,0.9346111111111112,0.9343611111111112,0.9351944444444444,0.9364722222222224,0.9371944444444444,0.9346388888888888,0.9351111111111112,0.93525,0.9372222222222222,0.9375,0.936,0.9368611111111113,0.9368888888888888,0.9364444444444444,0.9369722222222222,0.93675,0.9376111111111112,0.9376388888888888,0.9370277777777778,0.9371944444444444,0.9366111111111111
10,0.8078055555555556,0.8995277777777778,0.9188888888888888,0.9245277777777776,0.92875,0.9315555555555556,0.9321666666666668,0.9324444444444444,0.9327777777777778,0.9330277777777778,0.93325,0.9345277777777776,0.9345277777777776,0.9348333333333332,0.9344166666666668,0.9361666666666668,0.9353888888888888,0.9362222222222222,0.9369444444444444,0.9369444444444444,0.9355,0.9371944444444444,0.9371666666666668,0.9369722222222222,0.9363055555555556,0.9366666666666666,0.9366666666666666,0.9368611111111113,0.9373888888888888,0.9374166666666668,0.9381666666666668,0.9371388888888889,0.9376111111111112,0.939,0.9385555555555556,0.93825,0.9378611111111111,0.9383611111111112,0.939,0.9380277777777778,0.9384166666666668,0.9389166666666666,0.9388888888888888,0.939,0.9388333333333332,0.9386666666666666
12,0.8069722222222222,0.8993055555555556,0.9170277777777778,0.9249722222222222,0.9276388888888888,0.9301388888888888,0.9295833333333332,0.9303055555555556,0.9313055555555556,0.9327222222222222,0.9326111111111112,0.9337777777777778,0.9335,0.9348888888888888,0.9341111111111112,0.9348888888888888,0.9357222222222222,0.9354722222222224,0.9346944444444444,0.9354444444444444,0.9343888888888888,0.9351388888888889,0.9353888888888888,0.9357777777777778,0.9361111111111112,0.9357222222222222,0.9352222222222222,0.9351388888888889,0.937,0.9384444444444444,0.9368333333333332,0.9368611111111113,0.9366666666666666,0.937,0.9372222222222222,0.9374444444444444,0.9379722222222222,0.9374166666666668,0.9371388888888889,0.9377777777777778,0.9383333333333334,0.9370833333333334,0.9376388888888888,0.9377222222222222,0.9376666666666666,0.9379166666666666
14,0.8098611111111111,0.8976944444444445,0.91775,0.9240555555555556,0.9281666666666668,0.9283055555555556,0.9286944444444444,0.9313055555555556,0.9311944444444444,0.9330833333333334,0.9321388888888889,0.9356944444444444,0.9334444444444444,0.9340277777777778,0.9343333333333332,0.93525,0.9351944444444444,0.9363333333333334,0.9358055555555556,0.9356388888888888,0.9353611111111112,0.9357222222222222,0.9364444444444444,0.9354166666666668,0.9372777777777778,0.9368611111111113,0.9378611111111111,0.9366111111111112,0.9397222222222222,0.9373333333333334,0.9393611111111112,0.9369166666666666,0.9373333333333334,0.9390277777777778,0.93925,0.9403888888888888,0.9395,0.9393055555555556,0.9390277777777778,0.9404444444444444,0.9401666666666668,0.9393333333333334,0.9381944444444444,0.9400277777777778,0.9403611111111112,0.9398888888888889
16,0.8076944444444445,0.8996666666666666,0.9173333333333332,0.9253888888888888,0.9267777777777778,0.9288333333333332,0.9301666666666668,0.9300555555555556,0.9309722222222222,0.9321111111111112,0.9312777777777778,0.9322222222222222,0.9332222222222222,0.9308333333333332,0.9336944444444444,0.9339444444444444,0.93275,0.9328611111111113,0.9333055555555556,0.9350833333333334,0.9349444444444444,0.9351388888888889,0.9339444444444444,0.9353611111111112,0.9334444444444444,0.9346666666666666,0.9346944444444444,0.9352777777777778,0.9351111111111112,0.9350833333333334,0.9365555555555556,0.9355277777777776,0.93575,0.9356111111111112,0.9361111111111112,0.9368888888888888,0.9368611111111113,0.9365277777777776,0.9354722222222224,0.9365277777777776,0.937,0.9365555555555556,0.9365833333333332,0.9359166666666666,0.9358611111111113,0.936
18,0.8071666666666667,0.8977777777777778,0.9159444444444444,0.9238055555555555,0.9269166666666668,0.9273888888888888,0.92975,0.92975,0.93125,0.9309166666666666,0.9305277777777776,0.9337777777777778,0.9331111111111112,0.9337222222222222,0.9332777777777778,0.9341111111111112,0.9348333333333332,0.934,0.9353055555555556,0.9348611111111113,0.9348888888888888,0.9341666666666668,0.9349722222222222,0.9359722222222222,0.9359722222222222,0.93525,0.9353333333333332,0.9361944444444444,0.93725,0.9369166666666666,0.9360833333333334,0.9376944444444444,0.9384722222222224,0.9383611111111112,0.9373055555555556,0.9371666666666668,0.9403611111111112,0.9366666666666666,0.9384722222222224,0.9377777777777778,0.9378611111111111,0.9390277777777778,0.9386388888888888,0.94025,0.9390277777777778,0.9402777777777778
