SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.5312121212121212,0.7165151515151515,0.7413636363636363,0.7662121212121212,0.7998484848484848,0.8145454545454546,0.8234848484848485,0.8333333333333334,0.8381818181818181,0.8563636363636363,0.8665151515151515,0.8739393939393939,0.8859090909090909,0.8909090909090909,0.8946969696969697,0.8874242424242424,0.8960606060606061,0.8974242424242425,0.8951515151515151,0.8984848484848484,0.8980303030303031,0.9004545454545455,0.8977272727272727,0.9074242424242424,0.9101515151515152,0.9104545454545454,0.9077272727272728,0.9106060606060606,0.9143939393939394
2,0.5375757575757576,0.7354545454545455,0.7493939393939394,0.7843939393939394,0.8216666666666667,0.8266666666666667,0.8292424242424242,0.8422727272727273,0.8516666666666667,0.8712121212121212,0.886969696969697,0.9001515151515151,0.9016666666666666,0.9040909090909092,0.9065151515151516,0.9081818181818182,0.9109090909090908,0.906969696969697,0.9113636363636364,0.9134848484848485,0.9125757575757576,0.9153030303030304,0.9127272727272728,0.9165151515151516,0.917121212121212,0.9174242424242424,0.9157575757575758,0.918939393939394,0.9178787878787878
4,0.5287878787878788,0.7304545454545455,0.7593939393939394,0.7927272727272727,0.8234848484848485,0.831060606060606,0.8346969696969697,0.8409090909090909,0.8631818181818182,0.88,0.8915151515151515,0.8989393939393939,0.9051515151515152,0.9086363636363636,0.908939393939394,0.9115151515151516,0.9077272727272728,0.908939393939394,0.9130303030303032,0.9157575757575758,0.9109090909090908,0.9125757575757576,0.9134848484848485,0.9216666666666666,0.9237878787878788,0.9198484848484848,0.9198484848484848,0.923030303030303,0.9216666666666666
6,0.5453030303030303,0.7442424242424243,0.7659090909090909,0.7925757575757576,0.8306060606060606,0.8360606060606061,0.850909090909091,0.8504545454545455,0.8681818181818182,0.8848484848484849,0.8963636363636364,0.9063636363636364,0.9077272727272728,0.9066666666666666,0.9143939393939394,0.9201515151515152,0.9175757575757576,0.9146969696969696,0.915,0.9207575757575758,0.9166666666666666,0.9212121212121211,0.9190909090909092,0.9227272727272728,0.9196969696969696,0.922878787878788,0.9206060606060606,0.9227272727272728,0.9224242424242424
8,0.524090909090909,0.7371212121212121,0.7583333333333333,0.7881818181818182,0.8245454545454546,0.8284848484848485,0.8462121212121212,0.8548484848484849,0.8662121212121212,0.8877272727272727,0.8924242424242425,0.9007575757575758,0.9063636363636364,0.9080303030303032,0.9101515151515152,0.9134848484848485,0.9134848484848485,0.9137878787878788,0.916818181818182,0.9163636363636364,0.9163636363636364,0.9159090909090908,0.916969696969697,0.9213636363636364,0.923030303030303,0.9204545454545454,0.916060606060606,0.92,0.9224242424242424
10,0.5334848484848485,0.7457575757575757,0.7786363636363637,0.8025757575757576,0.8322727272727273,0.8324242424242424,0.8422727272727273,0.8478787878787879,0.8681818181818182,0.8862121212121212,0.8971212121212121,0.9057575757575758,0.9086363636363636,0.9093939393939394,0.9146969696969696,0.9128787878787878,0.9192424242424242,0.9142424242424242,0.9184848484848483,0.9172727272727272,0.9209090909090908,0.9190909090909092,0.9212121212121211,0.921969696969697,0.9237878787878788,0.9231818181818182,0.921969696969697,0.9233333333333332,0.921969696969697
12,0.55,0.7413636363636363,0.7654545454545455,0.7990909090909091,0.8277272727272728,0.8307575757575758,0.8401515151515152,0.848030303030303,0.8653030303030304,0.8854545454545455,0.8901515151515151,0.9030303030303032,0.9063636363636364,0.9140909090909092,0.9109090909090908,0.916818181818182,0.9145454545454546,0.9151515151515152,0.916818181818182,0.9213636363636364,0.9213636363636364,0.9174242424242424,0.9184848484848483,0.9236363636363636,0.9236363636363636,0.9262121212121212,0.922121212121212,0.922121212121212,0.9236363636363636
14,0.5368181818181819,0.7371212121212121,0.7680303030303031,0.7963636363636364,0.8254545454545454,0.8327272727272728,0.8377272727272728,0.8448484848484848,0.8619696969696969,0.8824242424242424,0.8953030303030303,0.9036363636363636,0.9053030303030304,0.9098484848484848,0.9131818181818182,0.9151515151515152,0.9166666666666666,0.9196969696969696,0.9195454545454546,0.9186363636363636,0.9206060606060606,0.9133333333333332,0.9162121212121213,0.9233333333333332,0.9231818181818182,0.9212121212121211,0.9203030303030304,0.9262121212121212,0.9257575757575758
16,0.5328787878787878,0.741969696969697,0.7639393939393939,0.7966666666666666,0.8234848484848485,0.8292424242424242,0.8392424242424242,0.843939393939394,0.8610606060606061,0.8845454545454545,0.8912121212121212,0.9012121212121212,0.9003030303030303,0.9062121212121212,0.9098484848484848,0.9140909090909092,0.9133333333333332,0.9136363636363636,0.9116666666666666,0.9165151515151516,0.9165151515151516,0.9159090909090908,0.9174242424242424,0.922121212121212,0.9195454545454546,0.9215151515151516,0.9166666666666666,0.921060606060606,0.9181818181818182
18,0.5383333333333333,0.7413636363636363,0.7716666666666666,0.7981818181818182,0.8271212121212121,0.8366666666666667,0.8401515151515152,0.8512121212121212,0.8642424242424243,0.886969696969697,0.8966666666666666,0.9063636363636364,0.9078787878787878,0.9128787878787878,0.9084848484848485,0.9128787878787878,0.9148484848484848,0.9154545454545454,0.9172727272727272,0.9165151515151516,0.9190909090909092,0.917121212121212,0.9175757575757576,0.9207575757575758,0.921969696969697,0.9174242424242424,0.922878787878788,0.9195454545454546,0.921969696969697
