SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0.7771666666666667,0.8643611111111111,0.8871111111111111,0.8967222222222222,0.9025277777777778,0.9059722222222222,0.9088055555555556,0.9095555555555556,0.9117777777777778,0.9127222222222222,0.9144444444444444,0.9162222222222224,0.9165277777777778,0.9173055555555556,0.91825,0.9184444444444444,0.9169166666666668,0.9189166666666668,0.9189444444444445,0.919,0.9200833333333334,0.9194722222222222,0.9210277777777778,0.9223055555555556,0.9203333333333332,0.9216944444444444,0.9217777777777778,0.9226388888888888,0.9230833333333334,0.9235277777777776,0.9238055555555555,0.9236388888888888,0.9233333333333332,0.926,0.9260555555555556,0.9262222222222222,0.9271111111111112,0.9262222222222222,0.9273611111111112,0.9266111111111112,0.9287777777777778,0.9286944444444444,0.9294166666666668,0.9275277777777776,0.92875,0.9293333333333332,0.9298888888888888,0.9297222222222222,0.9298888888888888,0.9296666666666666,0.9305555555555556,0.9314444444444444
2,0.80975,0.8856111111111111,0.9054166666666666,0.9130833333333334,0.917,0.9205555555555556,0.9216388888888888,0.9236388888888888,0.9257222222222222,0.9253611111111112,0.9263055555555556,0.9262222222222222,0.9281388888888888,0.9284722222222224,0.9279444444444443,0.9281944444444444,0.928,0.9277222222222222,0.9272777777777778,0.9286111111111112,0.9290277777777778,0.928,0.9296388888888888,0.9285,0.9290555555555556,0.92875,0.9295555555555556,0.9294444444444444,0.9300277777777778,0.9298888888888888,0.9297777777777778,0.9301388888888888,0.9298333333333332,0.9317222222222222,0.9321666666666668,0.9316944444444444,0.9315277777777776,0.9320277777777778,0.9328611111111113,0.9312222222222222,0.9325,0.9329444444444444,0.9329444444444444,0.9331111111111112,0.9333333333333332,0.9326666666666666,0.9329444444444444,0.9328611111111113,0.9336666666666666,0.9336666666666666,0.9335833333333332,0.9338055555555556
4,0.8158611111111111,0.8953333333333333,0.9123888888888888,0.9196666666666666,0.9233611111111112,0.9245833333333332,0.9269722222222222,0.9284166666666668,0.9285555555555556,0.9285555555555556,0.9289444444444444,0.9299444444444444,0.9305555555555556,0.9310555555555556,0.93025,0.9295555555555556,0.9303611111111112,0.9315833333333332,0.9310833333333334,0.932,0.9310277777777778,0.9314166666666668,0.9313055555555556,0.9328888888888888,0.9321666666666668,0.9321388888888889,0.9319444444444444,0.9318888888888888,0.9319444444444444,0.9325277777777776,0.9327222222222222,0.9325555555555556,0.9328333333333332,0.9337222222222222,0.9346111111111112,0.9340555555555556,0.9341111111111112,0.9334166666666668,0.9348055555555556,0.93375,0.9346666666666666,0.9347777777777778,0.9342777777777778,0.93475,0.9345277777777776,0.9349444444444444,0.9348055555555556,0.9349444444444444,0.9355277777777776,0.9345833333333332,0.9349166666666666,0.9353611111111111
6,0.8210555555555555,0.8988611111111111,0.91475,0.9201944444444444,0.9233055555555556,0.9261666666666668,0.9286944444444444,0.9302222222222222,0.9305,0.93025,0.9316388888888888,0.9308611111111113,0.9315277777777776,0.9326388888888888,0.9326666666666666,0.9320833333333334,0.9333055555555556,0.9326388888888888,0.93275,0.9333611111111112,0.9334166666666668,0.9338333333333332,0.9336944444444444,0.9340277777777778,0.9330833333333334,0.9334166666666668,0.9335555555555556,0.9331666666666668,0.9338611111111113,0.9338333333333332,0.9341944444444444,0.9353611111111112,0.9339444444444444,0.9353055555555556,0.9348888888888888,0.93575,0.9354722222222224,0.9358611111111113,0.9352222222222222,0.9353888888888888,0.9357222222222222,0.9368055555555556,0.9360555555555556,0.9364444444444444,0.9362777777777778,0.9361666666666668,0.9371111111111112,0.93725,0.9376111111111112,0.9370277777777778,0.9374166666666668,0.9365555555555556
8,0.8197222222222222,0.8995833333333333,0.9156111111111112,0.92325,0.9265833333333332,0.92775,0.9296666666666666,0.9311388888888888,0.9324444444444444,0.9315277777777776,0.93325,0.9324444444444444,0.9321111111111112,0.934,0.9341944444444444,0.9333333333333332,0.9341944444444444,0.9345833333333332,0.9332222222222222,0.9333611111111112,0.9346111111111112,0.9353611111111112,0.9347222222222222,0.9344444444444444,0.9356111111111112,0.9358888888888888,0.9355277777777776,0.9350277777777778,0.9353611111111112,0.9356944444444444,0.9350833333333334,0.9355,0.9356666666666666,0.9361944444444444,0.9369444444444444,0.9368055555555556,0.9358888888888888,0.9364444444444444,0.9365555555555556,0.9363333333333334,0.9371666666666668,0.9374722222222224,0.9375,0.9364722222222224,0.9373611111111112,0.9369444444444444,0.9381388888888887,0.9381388888888887,0.9366111111111112,0.9375833333333332,0.9373611111111112,0.9368333333333333
10,0.8224166666666667,0.9000833333333333,0.9179444444444445,0.9243055555555556,0.9275555555555556,0.92875,0.9319444444444444,0.9326111111111112,0.9333611111111112,0.9334166666666668,0.9336944444444444,0.9348333333333332,0.93575,0.9346388888888888,0.9350833333333334,0.93475,0.9358055555555556,0.9357777777777778,0.9357222222222222,0.9355555555555556,0.9369166666666666,0.9364166666666668,0.9354444444444444,0.9368888888888888,0.9359166666666666,0.9378055555555556,0.93675,0.9353333333333332,0.9368611111111113,0.9373888888888888,0.9368888888888888,0.9368055555555556,0.9363333333333334,0.9369166666666666,0.9383888888888888,0.93675,0.9376666666666666,0.9378333333333332,0.9380555555555556,0.9374722222222224,0.9388055555555556,0.9378611111111111,0.9384166666666668,0.93725,0.9379166666666666,0.9380277777777778,0.9385,0.9384444444444444,0.9385833333333332,0.9387222222222222,0.9382222222222222,0.9387777777777778
12,0.81975,0.8997222222222222,0.9178333333333332,0.9245555555555556,0.928,0.9275,0.9301666666666668,0.9307777777777778,0.9325277777777776,0.93125,0.9325277777777776,0.9333611111111112,0.9329166666666666,0.9336111111111112,0.9335555555555556,0.9349166666666666,0.93425,0.9363888888888888,0.9344444444444444,0.93425,0.9360277777777778,0.9358888888888888,0.9347777777777778,0.9358611111111113,0.935,0.93625,0.9349722222222222,0.9375555555555556,0.9345833333333332,0.9363055555555556,0.9357777777777778,0.9365833333333332,0.9361666666666668,0.9358888888888888,0.93675,0.9367222222222222,0.9357777777777778,0.9369166666666666,0.9361944444444444,0.9369166666666666,0.9378888888888888,0.9371944444444444,0.9381944444444444,0.9364166666666668,0.9368611111111113,0.9366111111111112,0.9378888888888888,0.9373333333333334,0.938,0.9374444444444444,0.9388055555555556,0.9374166666666667
14,0.82075,0.8985833333333333,0.9168055555555557,0.9229444444444443,0.9269166666666668,0.9284166666666668,0.9295,0.9308611111111113,0.9316666666666666,0.9330555555555556,0.9333333333333332,0.9344444444444444,0.9358055555555556,0.9360555555555556,0.9351666666666668,0.9355555555555556,0.93525,0.9355277777777776,0.9349722222222222,0.9378611111111111,0.9367777777777778,0.9353055555555556,0.9363888888888888,0.9368611111111113,0.9341944444444444,0.9365555555555556,0.9359166666666666,0.9360277777777778,0.9371666666666668,0.9368055555555556,0.9375555555555556,0.9364166666666668,0.9374722222222224,0.9376388888888888,0.9388888888888888,0.9396666666666668,0.9388611111111111,0.9387777777777778,0.9389166666666666,0.9396666666666668,0.9398333333333332,0.9390833333333334,0.9411388888888887,0.9412222222222222,0.9402777777777778,0.9391944444444444,0.9402777777777778,0.9415277777777776,0.9406111111111112,0.9401388888888887,0.9413611111111112,0.94075
16,0.8214166666666667,0.8994722222222222,0.9173055555555556,0.9239722222222222,0.9272777777777778,0.9291388888888888,0.9297222222222222,0.9308611111111113,0.9320555555555556,0.9316666666666666,0.9309166666666666,0.9335555555555556,0.9322222222222222,0.9333888888888888,0.9337777777777778,0.9323333333333332,0.9326111111111112,0.9345555555555556,0.9321388888888889,0.9340555555555556,0.9348888888888888,0.9333611111111112,0.9340833333333334,0.93525,0.9350833333333334,0.9341666666666668,0.9363888888888888,0.93525,0.9359444444444444,0.9348055555555556,0.9356944444444444,0.9349722222222222,0.9361666666666668,0.9368611111111113,0.9352777777777778,0.9363333333333334,0.93825,0.9349722222222222,0.9344722222222224,0.9363888888888888,0.9369722222222222,0.9368888888888888,0.9385833333333332,0.9385555555555556,0.9368333333333332,0.9371111111111112,0.93875,0.9391111111111112,0.9374444444444444,0.9386666666666666,0.9365555555555556,0.9372222222222222
18,0.8196944444444444,0.8993888888888889,0.914,0.9216111111111112,0.9253888888888888,0.9285555555555556,0.9288888888888888,0.9305277777777776,0.9311388888888888,0.9328611111111113,0.9329166666666666,0.9314166666666668,0.9325555555555556,0.9337222222222222,0.9334166666666668,0.9329444444444444,0.9336111111111112,0.9341944444444444,0.9335833333333332,0.9328055555555556,0.9347222222222222,0.9343055555555556,0.9356388888888888,0.9335277777777776,0.9352222222222222,0.935,0.9339166666666666,0.9357777777777778,0.9343888888888888,0.9367222222222222,0.9358611111111113,0.9379444444444444,0.9361666666666668,0.9376111111111112,0.9368333333333332,0.9372222222222222,0.9386944444444444,0.938,0.9359722222222222,0.9379166666666666,0.9386388888888888,0.9383888888888888,0.9386111111111112,0.9385833333333332,0.9382777777777778,0.9388333333333332,0.9381944444444444,0.9389166666666666,0.9386388888888888,0.9401666666666668,0.9403333333333334,0.9400277777777778
