SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.7768888888888889,0.8673333333333333,0.8895833333333333,0.8971388888888889,0.9030555555555556,0.9050277777777778,0.9086666666666666,0.9091388888888888,0.9103333333333332,0.9120833333333334,0.9133888888888888,0.9138888888888888,0.9155833333333332,0.9172777777777776,0.9179444444444445,0.9190277777777778,0.9177777777777778,0.9210833333333334,0.9225833333333332,0.9220833333333334,0.92325,0.9231388888888888,0.9227222222222222,0.9253611111111112,0.9248611111111112,0.9263055555555556,0.9250277777777778,0.9255833333333332,0.9260555555555556,0.9258611111111111
2,0.8049722222222222,0.89325,0.9088611111111112,0.9162777777777776,0.9191666666666668,0.9206666666666666,0.9232222222222224,0.9232222222222224,0.9243055555555556,0.9245,0.9253611111111112,0.9270277777777778,0.9279166666666666,0.9277777777777778,0.9274166666666668,0.9280833333333334,0.9281388888888888,0.9305277777777776,0.9311944444444444,0.9306111111111112,0.9322777777777778,0.9310277777777778,0.9305555555555556,0.9320277777777778,0.9325,0.9325277777777776,0.9315555555555556,0.9327777777777778,0.9333888888888888,0.93325
4,0.8135833333333333,0.898,0.9145833333333332,0.9195277777777778,0.9234444444444444,0.9244166666666668,0.9256944444444444,0.9279444444444443,0.9285,0.9286388888888888,0.9298055555555556,0.93025,0.9304722222222224,0.9314444444444444,0.9308888888888888,0.9311666666666668,0.9319444444444444,0.9322222222222222,0.9333055555555556,0.9331388888888889,0.9331944444444444,0.93375,0.933,0.9341944444444444,0.9343333333333332,0.93375,0.9336388888888888,0.9344444444444444,0.9346388888888888,0.9346111111111111
6,0.8166666666666667,0.9021944444444444,0.9167777777777778,0.9224166666666668,0.9255,0.9263333333333332,0.9293333333333332,0.9294444444444444,0.9305833333333332,0.9309722222222222,0.9319722222222222,0.9301944444444444,0.9326666666666666,0.9323611111111112,0.9319444444444444,0.9325555555555556,0.9335555555555556,0.9344444444444444,0.9347777777777778,0.9340555555555556,0.9343888888888888,0.9348055555555556,0.9348333333333332,0.9343888888888888,0.9351944444444444,0.9359166666666666,0.9354444444444444,0.9363888888888888,0.93575,0.9363888888888889
8,0.8141666666666667,0.9026388888888888,0.91625,0.9238055555555555,0.9267777777777778,0.9285,0.9300555555555556,0.9306944444444444,0.9310833333333334,0.9329166666666666,0.9325555555555556,0.9323888888888888,0.9331111111111112,0.9330277777777778,0.9334444444444444,0.9338888888888888,0.9341388888888889,0.9356388888888888,0.9356666666666666,0.9350555555555556,0.9355555555555556,0.9359166666666666,0.9349722222222222,0.9353333333333332,0.9364166666666668,0.9360277777777778,0.9366388888888888,0.9371944444444444,0.9370277777777778,0.9369722222222222
10,0.8172777777777778,0.9039722222222222,0.9192777777777776,0.9249166666666668,0.9276666666666666,0.9293611111111112,0.9307777777777778,0.9330833333333334,0.9330833333333334,0.9338888888888888,0.9331666666666668,0.9348333333333332,0.9353055555555556,0.9349166666666666,0.9349722222222222,0.9362222222222222,0.9358888888888888,0.9375555555555556,0.9373888888888888,0.9375277777777776,0.9371944444444444,0.9369444444444444,0.9386666666666666,0.9385,0.9380277777777778,0.9374166666666668,0.9380277777777778,0.9381944444444444,0.9377777777777778,0.9381944444444444
12,0.8179722222222222,0.9032222222222224,0.9185,0.9240277777777778,0.9266666666666666,0.9289166666666666,0.9295555555555556,0.9304166666666668,0.9329166666666666,0.9322222222222222,0.9326944444444444,0.9328055555555556,0.9344166666666668,0.9334722222222224,0.9342777777777778,0.9340555555555556,0.9333333333333332,0.9364722222222224,0.9368611111111113,0.9356111111111112,0.9346666666666666,0.9361666666666668,0.9358888888888888,0.9368611111111113,0.9373888888888888,0.93675,0.93625,0.9368333333333332,0.9373611111111112,0.9373888888888889
14,0.81725,0.9033888888888888,0.9175555555555556,0.9231388888888888,0.9265,0.9289444444444444,0.9301944444444444,0.9317777777777778,0.9323888888888888,0.9315277777777776,0.9328611111111113,0.93275,0.9346666666666666,0.9347777777777778,0.9348055555555556,0.9348055555555556,0.9368333333333332,0.9369166666666666,0.9374166666666668,0.9373611111111112,0.9365277777777776,0.9373611111111112,0.9376388888888888,0.9384722222222224,0.9391388888888887,0.93975,0.9383611111111112,0.9404444444444444,0.9394444444444444,0.9392222222222222
16,0.8170833333333334,0.904,0.9197222222222222,0.9243611111111112,0.9266666666666666,0.9286388888888888,0.9298055555555556,0.93075,0.9301944444444444,0.931,0.9337777777777778,0.9333055555555556,0.9319444444444444,0.9330277777777778,0.9330555555555556,0.9345555555555556,0.9347777777777778,0.9349722222222222,0.93425,0.9363611111111112,0.9365277777777776,0.9354166666666668,0.9363611111111112,0.9384722222222224,0.9377777777777778,0.9366944444444444,0.9358888888888888,0.937,0.93625,0.9362777777777778
18,0.8121666666666667,0.9009166666666668,0.9165833333333332,0.9235277777777776,0.9260833333333334,0.9276944444444444,0.9287777777777778,0.9305555555555556,0.9309166666666666,0.9309444444444444,0.9328611111111113,0.9326944444444444,0.9362222222222222,0.93225,0.9337777777777778,0.9336388888888888,0.93375,0.9366666666666666,0.9356388888888888,0.9361666666666668,0.9371944444444444,0.9355,0.9357222222222222,0.9376666666666666,0.9378611111111111,0.9376388888888888,0.9375833333333332,0.9383333333333334,0.9370555555555556,0.9390833333333334
Avg,0.5607875,0.6183125,0.6307680555555556,0.6357513888888889,0.6388069444444444,0.640825,0.6433791666666666,0.6446555555555555,0.6452305555555555,0.6467930555555556,0.647625,0.64865,0.6500527777777778,0.6505055555555556,0.6513944444444445,0.6520416666666666,0.6536805555555556,0.6574916666666667,0.6582847222222222,0.6593041666666667,0.6603388888888889,0.6613041666666667,0.6617513888888888,0.6658041666666666,0.6668555555555555,0.6676805555555556,0.6680361111111112,0.6706263888888889,0.6713638888888889,0.6720111111111111
