SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0.5512121212121213,0.7122727272727273,0.74,0.759090909090909,0.7816666666666666,0.8031818181818182,0.8156060606060606,0.8263636363636364,0.826969696969697,0.8383333333333334,0.8413636363636363,0.8510606060606061,0.8531818181818182,0.8525757575757575,0.8624242424242424,0.860909090909091,0.8681818181818182,0.8666666666666667,0.8728787878787879,0.8704545454545455,0.8666666666666667,0.8718181818181818,0.8792424242424243,0.8843939393939394,0.8807575757575757,0.8878787878787879,0.8833333333333333,0.8783333333333333,0.8901515151515151,0.8898484848484849,0.8878787878787879,0.8957575757575758,0.8951515151515151,0.8936363636363637,0.8937878787878788,0.8922727272727272,0.8966666666666666,0.8996969696969697,0.8965151515151515,0.8953030303030303,0.9003030303030303,0.9031818181818182,0.8995454545454545,0.9036363636363636,0.9054545454545454,0.9106060606060606,0.9103030303030304,0.9104545454545454,0.9157575757575758,0.911818181818182,0.917121212121212,0.9192424242424242,0.9134848484848485,0.9180303030303032,0.9203030303030304,0.9216666666666666
2,0.5568181818181818,0.7243939393939394,0.7586363636363637,0.7890909090909091,0.8066666666666666,0.8245454545454546,0.8378787878787879,0.8437878787878788,0.855,0.8625757575757576,0.8653030303030304,0.8733333333333333,0.8765151515151515,0.8801515151515151,0.8768181818181818,0.8831818181818182,0.8874242424242424,0.886969696969697,0.8877272727272727,0.8904545454545455,0.8939393939393939,0.8916666666666667,0.8924242424242425,0.8971212121212121,0.8943939393939394,0.9031818181818182,0.8992424242424243,0.9027272727272728,0.9027272727272728,0.9056060606060606,0.9081818181818182,0.9066666666666666,0.9046969696969696,0.91,0.9130303030303032,0.9146969696969696,0.9146969696969696,0.9159090909090908,0.9092424242424244,0.9142424242424242,0.9137878787878788,0.9187878787878788,0.9153030303030304,0.9209090909090908,0.9166666666666666,0.923030303030303,0.9212121212121211,0.926060606060606,0.9248484848484848,0.9245454545454546,0.9265151515151516,0.927878787878788,0.9242424242424242,0.9257575757575758,0.9295454545454546,0.9283333333333333
4,0.5575757575757576,0.7175757575757575,0.7698484848484849,0.798939393939394,0.8175757575757576,0.8377272727272728,0.848939393939394,0.8557575757575757,0.8606060606060606,0.8713636363636363,0.8716666666666667,0.8774242424242424,0.8836363636363637,0.8853030303030303,0.8860606060606061,0.8851515151515151,0.8962121212121212,0.896969696969697,0.8971212121212121,0.8975757575757576,0.9040909090909092,0.9024242424242424,0.9037878787878788,0.9059090909090908,0.9072727272727272,0.9084848484848485,0.9096969696969696,0.9053030303030304,0.912121212121212,0.9128787878787878,0.9157575757575758,0.9106060606060606,0.911060606060606,0.9157575757575758,0.9156060606060606,0.9148484848484848,0.9184848484848483,0.9206060606060606,0.9153030303030304,0.9206060606060606,0.9193939393939394,0.922878787878788,0.918939393939394,0.9225757575757576,0.9237878787878788,0.9259090909090908,0.926969696969697,0.9256060606060608,0.9268181818181818,0.9266666666666666,0.9301515151515152,0.931060606060606,0.9303030303030304,0.927878787878788,0.9303030303030304,0.9321212121212121
6,0.57,0.7377272727272727,0.7831818181818182,0.8053030303030303,0.823030303030303,0.8469696969696969,0.8615151515151516,0.8634848484848485,0.8707575757575757,0.8725757575757576,0.8795454545454545,0.8842424242424243,0.8833333333333333,0.8910606060606061,0.8898484848484849,0.8971212121212121,0.9036363636363636,0.901818181818182,0.9003030303030303,0.9015151515151516,0.9062121212121212,0.9062121212121212,0.9113636363636364,0.906818181818182,0.91,0.9131818181818182,0.915,0.9145454545454546,0.9162121212121213,0.918939393939394,0.9181818181818182,0.9177272727272728,0.915,0.9187878787878788,0.9187878787878788,0.9212121212121211,0.9174242424242424,0.9207575757575758,0.9209090909090908,0.922878787878788,0.921818181818182,0.9248484848484848,0.9240909090909092,0.9225757575757576,0.9251515151515152,0.9265151515151516,0.9298484848484848,0.9292424242424242,0.928939393939394,0.9325757575757576,0.9275757575757576,0.9298484848484848,0.9306060606060608,0.931060606060606,0.9296969696969696,0.93
8,0.5672727272727273,0.7401515151515151,0.7828787878787878,0.8043939393939394,0.8172727272727273,0.8409090909090909,0.8545454545454545,0.863030303030303,0.8657575757575757,0.8718181818181818,0.8809090909090909,0.883030303030303,0.8906060606060606,0.8880303030303031,0.8877272727272727,0.8930303030303031,0.8968181818181818,0.8975757575757576,0.8977272727272727,0.9037878787878788,0.9009090909090908,0.9040909090909092,0.9043939393939394,0.9045454545454544,0.9056060606060606,0.912121212121212,0.912121212121212,0.9107575757575758,0.9142424242424242,0.9153030303030304,0.9143939393939394,0.9143939393939394,0.9172727272727272,0.9180303030303032,0.9196969696969696,0.9242424242424242,0.918939393939394,0.9225757575757576,0.9190909090909092,0.9209090909090908,0.9216666666666666,0.9240909090909092,0.926060606060606,0.9233333333333332,0.922878787878788,0.9304545454545454,0.9313636363636364,0.9296969696969696,0.928030303030303,0.9266666666666666,0.9324242424242424,0.9315151515151516,0.9313636363636364,0.9334848484848484,0.931060606060606,0.9337878787878788
10,0.57,0.7442424242424243,0.7824242424242425,0.806060606060606,0.8198484848484848,0.8390909090909091,0.8583333333333333,0.8604545454545455,0.8774242424242424,0.8781818181818182,0.8859090909090909,0.8859090909090909,0.8915151515151515,0.8936363636363637,0.8959090909090909,0.8948484848484849,0.8993939393939394,0.902121212121212,0.9031818181818182,0.9003030303030303,0.9053030303030304,0.9083333333333332,0.9080303030303032,0.9092424242424244,0.9122727272727272,0.9112121212121213,0.911969696969697,0.9153030303030304,0.9153030303030304,0.916060606060606,0.9186363636363636,0.916969696969697,0.9143939393939394,0.9187878787878788,0.9209090909090908,0.9201515151515152,0.9180303030303032,0.921818181818182,0.9190909090909092,0.9215151515151516,0.9240909090909092,0.923939393939394,0.921818181818182,0.9240909090909092,0.9257575757575758,0.9303030303030304,0.9274242424242424,0.9275757575757576,0.928030303030303,0.9292424242424242,0.9295454545454546,0.9298484848484848,0.928939393939394,0.9307575757575758,0.9334848484848484,0.9324242424242424
12,0.5807575757575758,0.740909090909091,0.7840909090909091,0.8053030303030303,0.8236363636363636,0.8410606060606061,0.8562121212121212,0.8660606060606061,0.8728787878787879,0.8746969696969698,0.8839393939393939,0.8862121212121212,0.8866666666666667,0.894090909090909,0.8936363636363637,0.8983333333333333,0.9001515151515151,0.9033333333333332,0.9024242424242424,0.908939393939394,0.9092424242424244,0.9048484848484848,0.9145454545454546,0.9106060606060606,0.9072727272727272,0.9122727272727272,0.9131818181818182,0.9130303030303032,0.913939393939394,0.9163636363636364,0.9172727272727272,0.9196969696969696,0.916060606060606,0.9203030303030304,0.9212121212121211,0.9195454545454546,0.9193939393939394,0.9203030303030304,0.923030303030303,0.922121212121212,0.9225757575757576,0.925,0.9262121212121212,0.9248484848484848,0.9248484848484848,0.9286363636363636,0.9313636363636364,0.928030303030303,0.9284848484848484,0.9315151515151516,0.9307575757575758,0.9309090909090908,0.932878787878788,0.9343939393939394,0.933939393939394,0.9301515151515152
14,0.5734848484848485,0.7425757575757576,0.7762121212121212,0.7986363636363636,0.8236363636363636,0.8418181818181818,0.8568181818181818,0.8646969696969697,0.8710606060606061,0.8751515151515151,0.8778787878787879,0.8828787878787879,0.8846969696969696,0.8892424242424243,0.8945454545454545,0.8993939393939394,0.8974242424242425,0.9022727272727272,0.9012121212121212,0.9057575757575758,0.906060606060606,0.905,0.9101515151515152,0.905,0.9122727272727272,0.913939393939394,0.9133333333333332,0.9163636363636364,0.9156060606060606,0.917121212121212,0.915,0.9180303030303032,0.9163636363636364,0.9246969696969696,0.921060606060606,0.9190909090909092,0.9222727272727272,0.9236363636363636,0.9196969696969696,0.9231818181818182,0.9246969696969696,0.922121212121212,0.9242424242424242,0.9237878787878788,0.9236363636363636,0.9287878787878788,0.9275757575757576,0.9287878787878788,0.9274242424242424,0.9301515151515152,0.9324242424242424,0.9327272727272728,0.9306060606060608,0.9312121212121212,0.93,0.9307575757575758
16,0.5643939393939394,0.745,0.7833333333333333,0.8040909090909091,0.82,0.8375757575757575,0.8525757575757575,0.8627272727272727,0.8666666666666667,0.8733333333333333,0.8828787878787879,0.881969696969697,0.8865151515151515,0.8934848484848484,0.8930303030303031,0.8936363636363637,0.896969696969697,0.902121212121212,0.9031818181818182,0.9037878787878788,0.9015151515151516,0.907121212121212,0.9087878787878788,0.9075757575757576,0.9083333333333332,0.911818181818182,0.9098484848484848,0.9116666666666666,0.9116666666666666,0.9134848484848485,0.9153030303030304,0.9175757575757576,0.911060606060606,0.916818181818182,0.9174242424242424,0.9180303030303032,0.9195454545454546,0.918939393939394,0.9184848484848483,0.9215151515151516,0.9204545454545454,0.9213636363636364,0.9209090909090908,0.921060606060606,0.9251515151515152,0.9257575757575758,0.9234848484848484,0.926060606060606,0.9266666666666666,0.9262121212121212,0.9246969696969696,0.9275757575757576,0.9259090909090908,0.9275757575757576,0.928030303030303,0.9295454545454546
18,0.576969696969697,0.7446969696969697,0.781060606060606,0.8040909090909091,0.8259090909090909,0.8462121212121212,0.8587878787878788,0.8637878787878788,0.8695454545454545,0.8716666666666667,0.8822727272727273,0.8803030303030303,0.8860606060606061,0.8916666666666667,0.8978787878787878,0.8981818181818182,0.8968181818181818,0.9009090909090908,0.9031818181818182,0.9056060606060606,0.9051515151515152,0.9066666666666666,0.9109090909090908,0.9054545454545454,0.9101515151515152,0.9104545454545454,0.9127272727272728,0.9116666666666666,0.9151515151515152,0.9143939393939394,0.9134848484848485,0.9142424242424242,0.9153030303030304,0.9201515151515152,0.9203030303030304,0.923030303030303,0.9193939393939394,0.9233333333333332,0.9184848484848483,0.9234848484848484,0.9201515151515152,0.9234848484848484,0.921818181818182,0.9272727272727272,0.9224242424242424,0.926060606060606,0.9306060606060608,0.9290909090909092,0.9287878787878788,0.9283333333333332,0.9292424242424242,0.9290909090909092,0.9301515151515152,0.9304545454545454,0.9324242424242424,0.931969696969697
