SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0.1298333333333333,0.3896944444444444,0.5652222222222222,0.6812222222222222,0.7450277777777777,0.7780555555555555,0.7887222222222222,0.7975833333333333,0.8004444444444444,0.8031111111111111,0.8074722222222223,0.8108888888888889,0.8215277777777777,0.8495277777777778,0.8757777777777778,0.8853888888888889,0.8885277777777778,0.8916944444444445,0.8959444444444444,0.8964166666666666,0.8998888888888888,0.903,0.9005,0.9040833333333332,0.9043055555555556,0.9061666666666668,0.9084166666666668,0.9075555555555556,0.9093888888888888,0.9105,0.9101388888888888,0.9122222222222224,0.9114166666666668,0.9122777777777776,0.9188055555555557,0.9201666666666668,0.9214722222222222,0.9218611111111112,0.9214166666666668,0.9213055555555556,0.9235833333333332,0.9256666666666666,0.9255555555555556,0.9264722222222224,0.92525,0.9281944444444444,0.9284722222222224,0.9289444444444444,0.9295555555555556,0.9296111111111112,0.93075,0.9301111111111112,0.9310555555555556,0.9297222222222222,0.9310833333333334,0.9306666666666666
2,0.1284166666666666,0.3979444444444444,0.5992222222222222,0.7183888888888889,0.7852777777777777,0.8076111111111111,0.8135,0.8172777777777778,0.8211666666666667,0.8219722222222222,0.8241666666666667,0.8287777777777777,0.8343611111111111,0.8658611111111111,0.8947777777777778,0.9035,0.9092222222222224,0.9120555555555556,0.9126666666666666,0.9138333333333334,0.917,0.9166944444444444,0.9176111111111112,0.9185833333333332,0.9200277777777778,0.9208055555555557,0.9198055555555557,0.9210277777777778,0.9208888888888888,0.9222222222222224,0.9223611111111112,0.9220555555555556,0.9235555555555556,0.9228888888888888,0.927,0.9286944444444444,0.9281388888888888,0.9281111111111112,0.9275277777777776,0.9283888888888888,0.9278333333333332,0.9315,0.9316666666666666,0.9313611111111112,0.9314722222222224,0.9334722222222224,0.9326666666666666,0.9332777777777778,0.9331388888888889,0.93375,0.9337777777777778,0.9338611111111113,0.9344166666666668,0.9340833333333334,0.934,0.9343888888888889
4,0.1274722222222222,0.3987222222222222,0.6112222222222222,0.7259166666666667,0.8003611111111111,0.8121111111111111,0.8216666666666667,0.8248333333333333,0.8261388888888889,0.8286944444444444,0.8295277777777778,0.8334444444444444,0.8403333333333334,0.8730833333333333,0.9053333333333332,0.9124166666666668,0.9163333333333332,0.91875,0.9200555555555556,0.9222222222222224,0.9226388888888888,0.9233611111111112,0.9243055555555556,0.9240555555555556,0.9251666666666668,0.9236111111111112,0.9260555555555556,0.9249166666666668,0.9256111111111112,0.9259166666666668,0.927,0.9282222222222222,0.9276944444444444,0.9267777777777778,0.9305555555555556,0.9310555555555556,0.9320277777777778,0.9317777777777778,0.9311944444444444,0.9321666666666668,0.9316666666666666,0.9326666666666666,0.9329444444444444,0.9343055555555556,0.9335,0.9347222222222222,0.9349722222222222,0.9343888888888888,0.9346388888888888,0.9351388888888889,0.9355,0.9358611111111113,0.9360555555555556,0.9354444444444444,0.93525,0.9356666666666666
6,0.1272777777777777,0.4040277777777777,0.6183333333333333,0.7382777777777778,0.8013611111111111,0.8193333333333334,0.8277222222222222,0.8278333333333333,0.829,0.8306666666666667,0.8321666666666667,0.8360277777777778,0.8424166666666667,0.8785555555555555,0.9074444444444444,0.9153055555555556,0.9181944444444444,0.9201111111111112,0.9230277777777778,0.9231944444444444,0.9228611111111112,0.9266111111111112,0.9250833333333334,0.9268333333333332,0.9270555555555556,0.9271111111111112,0.9273333333333332,0.9279166666666666,0.9290833333333334,0.9278055555555556,0.9285833333333332,0.9278333333333332,0.9304722222222224,0.9284166666666668,0.9315277777777776,0.9330833333333334,0.9334166666666668,0.9320277777777778,0.93275,0.9331666666666668,0.9329166666666666,0.9336388888888888,0.934,0.9345277777777776,0.9345833333333332,0.9347222222222222,0.9349722222222222,0.93625,0.9369444444444444,0.9370277777777778,0.9371666666666668,0.9366388888888888,0.9364166666666668,0.9362777777777778,0.9375,0.9367222222222222
8,0.1280833333333333,0.40075,0.6189444444444444,0.7390555555555556,0.8051388888888888,0.8205555555555556,0.8247777777777778,0.8295555555555556,0.8303055555555555,0.8332777777777778,0.8348055555555556,0.8394444444444444,0.8440555555555556,0.8773888888888889,0.9096388888888888,0.9172777777777776,0.9213055555555556,0.9230833333333334,0.9242777777777778,0.9264166666666668,0.9259166666666668,0.9291666666666668,0.9274166666666668,0.9271388888888888,0.9288055555555556,0.93,0.9298055555555556,0.9297222222222222,0.9297222222222222,0.9303611111111112,0.9310555555555556,0.9306388888888888,0.9301944444444444,0.9310277777777778,0.9340833333333334,0.9344166666666668,0.93375,0.93475,0.9334444444444444,0.9343333333333332,0.9356388888888888,0.9366944444444444,0.9363055555555556,0.9376111111111112,0.9364444444444444,0.9361666666666668,0.9373888888888888,0.9381111111111112,0.9365833333333332,0.9380833333333334,0.9370555555555556,0.9371111111111112,0.9385833333333332,0.9380555555555556,0.9379722222222222,0.937
10,0.1303888888888889,0.3998888888888889,0.6142222222222222,0.7383055555555555,0.8075555555555556,0.8233611111111111,0.8280833333333333,0.8300555555555555,0.8339722222222222,0.8335277777777778,0.8353055555555555,0.8390555555555556,0.8442777777777778,0.8799722222222223,0.9091944444444444,0.9160277777777778,0.9226666666666666,0.92375,0.9249444444444443,0.9270277777777778,0.9273333333333332,0.9289444444444444,0.9283055555555556,0.9301944444444444,0.9304166666666668,0.9301388888888888,0.9320277777777778,0.93325,0.9310277777777778,0.9312777777777778,0.9322222222222222,0.9323611111111112,0.9316944444444444,0.9337222222222222,0.9367222222222222,0.9366944444444444,0.9369722222222222,0.93675,0.9370555555555556,0.9378333333333332,0.9369722222222222,0.9386388888888888,0.9385,0.9375833333333332,0.9388888888888888,0.9389166666666666,0.9383611111111112,0.9392222222222222,0.9380555555555556,0.9385,0.9390555555555556,0.9391944444444444,0.9396944444444444,0.9385,0.93925,0.9389444444444445
12,0.1293055555555555,0.3972777777777778,0.6164722222222222,0.7365,0.8041944444444444,0.82075,0.8259444444444445,0.8309444444444445,0.8335277777777778,0.8344722222222222,0.8373055555555555,0.8386111111111111,0.8445833333333334,0.8809444444444444,0.9084722222222222,0.9191111111111112,0.9216111111111112,0.92525,0.9252222222222222,0.9268611111111112,0.9279166666666666,0.9297222222222222,0.9264166666666668,0.93025,0.9308333333333332,0.9311666666666668,0.9301666666666668,0.932,0.9300833333333334,0.932,0.9325555555555556,0.9323888888888888,0.9321666666666668,0.9335277777777776,0.9338055555555556,0.9366388888888888,0.9355277777777776,0.9373055555555556,0.9358333333333332,0.9364444444444444,0.9365,0.937,0.9373888888888888,0.9385555555555556,0.9383888888888888,0.9379444444444444,0.9373333333333334,0.9378055555555556,0.9389722222222222,0.9390277777777778,0.9383333333333334,0.9386944444444444,0.9393333333333334,0.9381388888888887,0.939,0.9384444444444444
14,0.1288611111111111,0.4004166666666666,0.6190833333333333,0.7394722222222222,0.8066666666666666,0.8241666666666667,0.8288888888888889,0.8303888888888888,0.8316666666666667,0.8317222222222223,0.8350833333333333,0.8379722222222222,0.8461388888888889,0.8806111111111111,0.91025,0.9186111111111112,0.92125,0.9226666666666666,0.9255833333333332,0.9255555555555556,0.9280833333333334,0.9279166666666666,0.9276944444444444,0.9276944444444444,0.9301388888888888,0.9311111111111112,0.9310277777777778,0.9314722222222224,0.9310555555555556,0.9334722222222224,0.9333888888888888,0.9349722222222222,0.9324444444444444,0.9344722222222224,0.9368333333333332,0.9381111111111112,0.9374722222222224,0.9364444444444444,0.9373611111111112,0.9356944444444444,0.9371388888888889,0.9384166666666668,0.9383055555555556,0.9386666666666666,0.9389722222222222,0.9400833333333334,0.9395833333333332,0.9406944444444444,0.941,0.9404444444444444,0.9416111111111112,0.9415833333333332,0.9405,0.9404722222222224,0.9419166666666666,0.9409722222222222
16,0.1311666666666666,0.3973888888888889,0.6130833333333333,0.7357777777777778,0.8057777777777778,0.82125,0.8282777777777778,0.8283611111111111,0.8334166666666667,0.8331111111111111,0.83525,0.8401111111111111,0.8465277777777778,0.8808055555555555,0.909,0.9174722222222222,0.9211666666666668,0.9241388888888888,0.9249722222222222,0.9257777777777778,0.9269722222222222,0.9273333333333332,0.9284166666666668,0.9290277777777778,0.9288888888888888,0.93125,0.9297222222222222,0.9309444444444444,0.9307222222222222,0.9336111111111112,0.9310277777777778,0.9326111111111112,0.9320277777777778,0.9321944444444444,0.9338888888888888,0.9336666666666666,0.9352222222222222,0.9343333333333332,0.93575,0.9353611111111112,0.9351944444444444,0.9374166666666668,0.9364166666666668,0.9370833333333334,0.9364722222222224,0.9377777777777778,0.9395555555555556,0.9369722222222222,0.9378055555555556,0.9376388888888888,0.9379166666666666,0.9374444444444444,0.9386666666666666,0.9386111111111112,0.9384722222222224,0.939
18,0.1277222222222222,0.3963611111111111,0.6143333333333333,0.7375555555555555,0.8053333333333333,0.8186666666666667,0.8283055555555555,0.8329166666666666,0.8306944444444444,0.8330833333333333,0.8350833333333333,0.8398888888888889,0.84575,0.8800277777777777,0.9117222222222222,0.9158333333333334,0.9222222222222224,0.9234722222222222,0.9234444444444444,0.9263333333333332,0.9268888888888888,0.9283333333333332,0.9278888888888888,0.9294444444444444,0.9301388888888888,0.93025,0.9311111111111112,0.9309444444444444,0.9309444444444444,0.9321666666666668,0.9340277777777778,0.9317222222222222,0.9330277777777778,0.9315277777777776,0.9354444444444444,0.9365555555555556,0.9358611111111113,0.9355833333333332,0.9361944444444444,0.9369166666666666,0.9360833333333334,0.9388888888888888,0.9393055555555556,0.9371666666666668,0.9381111111111112,0.94025,0.9413888888888888,0.9376944444444444,0.9395277777777776,0.9392777777777778,0.9402777777777778,0.9398611111111111,0.9394166666666668,0.9401111111111112,0.9401111111111112,0.9392777777777778
