SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0.768,0.8553333333333333,0.8859166666666667,0.8964166666666666,0.9013333333333332,0.9055277777777778,0.908,0.91,0.9099722222222222,0.9120277777777778,0.9152777777777776,0.9149444444444444,0.9154722222222222,0.9181111111111112,0.9173055555555556,0.9190555555555556,0.9194166666666668,0.9203611111111112,0.9224444444444444,0.9208333333333332,0.9233333333333332,0.92475,0.9245833333333332,0.9254444444444444,0.925,0.9273333333333332,0.9276111111111112,0.9285555555555556,0.9277777777777778,0.9286111111111112,0.9287777777777778,0.9284722222222224,0.9289444444444444,0.9297222222222222,0.9306944444444444,0.9297222222222222,0.931,0.9301388888888888,0.9303611111111112,0.9306944444444444,0.9304722222222224,0.9316666666666666,0.9301388888888888,0.9297777777777778,0.9306388888888888,0.9305,0.9300833333333334,0.9310833333333334,0.9303055555555556
2,0.7996388888888889,0.8811111111111111,0.9081388888888888,0.9143333333333332,0.9177777777777778,0.9204444444444444,0.9228333333333332,0.9230833333333334,0.9244722222222224,0.9246388888888888,0.9257222222222222,0.9251388888888888,0.9264444444444444,0.9278333333333332,0.9278888888888888,0.929,0.9285833333333332,0.92875,0.9286666666666666,0.9299444444444444,0.9311388888888888,0.9308888888888888,0.9311666666666668,0.9308611111111113,0.9314722222222224,0.9319444444444444,0.9328055555555556,0.9322777777777778,0.9328333333333332,0.9331944444444444,0.9331944444444444,0.9332222222222222,0.93325,0.9338055555555556,0.9329722222222222,0.9342222222222222,0.9334166666666668,0.9340555555555556,0.9344722222222224,0.9339444444444444,0.9337777777777778,0.9340555555555556,0.934,0.9333888888888888,0.9338055555555556,0.9346388888888888,0.9340277777777778,0.9353611111111112,0.9329444444444445
4,0.8055,0.888,0.9123888888888888,0.92025,0.9236944444444444,0.9256388888888888,0.9264166666666668,0.92925,0.9278888888888888,0.9294722222222224,0.9289722222222222,0.9291666666666668,0.93025,0.9314444444444444,0.9313611111111112,0.9310277777777778,0.9308055555555556,0.9310555555555556,0.9315555555555556,0.9313055555555556,0.9334166666666668,0.9329722222222222,0.9342222222222222,0.9336944444444444,0.9334444444444444,0.9345,0.9337777777777778,0.9339722222222222,0.9341666666666668,0.9335833333333332,0.9345555555555556,0.93425,0.9331666666666668,0.9347222222222222,0.9348055555555556,0.9343611111111112,0.9351666666666668,0.9347222222222222,0.9346944444444444,0.9346111111111112,0.93525,0.9347777777777778,0.935,0.9340833333333334,0.9348333333333332,0.9347777777777778,0.9350277777777778,0.9354722222222224,0.9353888888888889
6,0.8118055555555556,0.8905,0.9158333333333334,0.9228333333333332,0.9251388888888888,0.9280833333333334,0.92875,0.9306666666666666,0.9304722222222224,0.93025,0.9320555555555556,0.9320833333333334,0.9334444444444444,0.9331944444444444,0.9321388888888889,0.9340833333333334,0.9340277777777778,0.9330833333333334,0.9338888888888888,0.93325,0.9343611111111112,0.9341944444444444,0.9346944444444444,0.9362777777777778,0.93475,0.9367777777777778,0.9356666666666666,0.9355833333333332,0.9351666666666668,0.9355,0.93575,0.9365,0.9365,0.9368888888888888,0.936,0.9366111111111112,0.93625,0.9369722222222222,0.9364166666666668,0.9373611111111112,0.9367777777777778,0.9365277777777776,0.9372222222222222,0.9368055555555556,0.9364166666666668,0.93675,0.9367222222222222,0.9368611111111113,0.9365277777777777
8,0.8111944444444444,0.8925833333333333,0.9171388888888888,0.9237777777777778,0.9277222222222222,0.9280277777777778,0.9291944444444444,0.9300833333333334,0.9316944444444444,0.9320277777777778,0.9323611111111112,0.9320277777777778,0.9329722222222222,0.9335555555555556,0.9341388888888889,0.9336944444444444,0.9345277777777776,0.9336111111111112,0.9338888888888888,0.9346944444444444,0.93575,0.9358055555555556,0.9371944444444444,0.9359444444444444,0.9356944444444444,0.9368888888888888,0.9356944444444444,0.9365833333333332,0.9364444444444444,0.9368888888888888,0.9369722222222222,0.9368888888888888,0.9371666666666668,0.9364722222222224,0.9377222222222222,0.9378055555555556,0.9372777777777778,0.9372222222222222,0.9372777777777778,0.9379444444444444,0.9376944444444444,0.9375555555555556,0.9371388888888889,0.9371111111111112,0.9368055555555556,0.9381666666666668,0.9369722222222222,0.93625,0.9376944444444445
10,0.8087777777777778,0.89475,0.9190555555555556,0.9249444444444443,0.9275,0.9301388888888888,0.931,0.9314166666666668,0.9333055555555556,0.9333055555555556,0.9335277777777776,0.9346666666666666,0.9343888888888888,0.9343888888888888,0.9354444444444444,0.9353611111111112,0.9371944444444444,0.9365277777777776,0.9348888888888888,0.9359444444444444,0.9385277777777776,0.9378888888888888,0.9372222222222222,0.9378888888888888,0.9366666666666666,0.9375833333333332,0.93775,0.9373055555555556,0.9364722222222224,0.938,0.9381111111111112,0.9386111111111112,0.9388333333333332,0.9378611111111111,0.9375277777777776,0.9383055555555556,0.9385,0.9379722222222222,0.9380555555555556,0.9373888888888888,0.9382777777777778,0.9385833333333332,0.9379444444444444,0.9375,0.9380833333333334,0.9384444444444444,0.9383333333333334,0.9375833333333332,0.9375277777777777
12,0.81175,0.8947777777777778,0.9160833333333334,0.9238333333333332,0.9257222222222222,0.9283888888888888,0.9286666666666666,0.9308333333333332,0.9317222222222222,0.9321111111111112,0.9341944444444444,0.9340277777777778,0.9339444444444444,0.9336388888888888,0.9341111111111112,0.9348888888888888,0.9358611111111113,0.9356388888888888,0.9340833333333334,0.9359166666666666,0.9363055555555556,0.9362222222222222,0.9368333333333332,0.9365555555555556,0.9363611111111112,0.9383611111111112,0.9376944444444444,0.9366944444444444,0.9375555555555556,0.9375,0.9377777777777778,0.938,0.9368888888888888,0.9390277777777778,0.9388055555555556,0.9377777777777778,0.9369166666666666,0.9383888888888888,0.9373888888888888,0.9381666666666668,0.9390277777777778,0.9381944444444444,0.9395555555555556,0.9396944444444444,0.9380277777777778,0.9385555555555556,0.9375833333333332,0.93875,0.9381111111111111
14,0.8094166666666667,0.8939166666666667,0.9165833333333332,0.9238055555555555,0.92675,0.9286388888888888,0.9301944444444444,0.9310833333333334,0.9329166666666666,0.9323611111111112,0.9336388888888888,0.9348055555555556,0.9336388888888888,0.9351666666666668,0.9359166666666666,0.9348333333333332,0.9343055555555556,0.9358611111111113,0.93425,0.9364444444444444,0.9366111111111112,0.93775,0.9371388888888889,0.9377777777777778,0.9376666666666666,0.9373888888888888,0.9394722222222224,0.9396944444444444,0.9383055555555556,0.9386111111111112,0.9389722222222222,0.9396666666666668,0.9395277777777776,0.9390277777777778,0.9407222222222222,0.9396944444444444,0.9398611111111111,0.9391388888888887,0.9401666666666668,0.9399722222222222,0.9401944444444444,0.9388333333333332,0.9388333333333332,0.9403888888888888,0.94,0.9396666666666668,0.9404722222222224,0.9388611111111111,0.9393611111111111
16,0.8143611111111111,0.892,0.9173333333333332,0.9245,0.9268611111111112,0.9284722222222224,0.9300833333333334,0.9317777777777778,0.9322777777777778,0.9333888888888888,0.9328333333333332,0.9337222222222222,0.9336111111111112,0.9321111111111112,0.9338055555555556,0.9338333333333332,0.9341111111111112,0.9355555555555556,0.9338055555555556,0.9345,0.9358611111111113,0.9351666666666668,0.9360833333333334,0.9351111111111112,0.9349444444444444,0.9372777777777778,0.9364722222222224,0.9360555555555556,0.9365,0.9360833333333334,0.9373055555555556,0.9375277777777776,0.9384444444444444,0.9370555555555556,0.9383055555555556,0.9392222222222222,0.9371388888888889,0.9395555555555556,0.9385555555555556,0.938,0.9395277777777776,0.9367777777777778,0.93825,0.9381666666666668,0.9378055555555556,0.9380277777777778,0.9393333333333334,0.9386388888888888,0.9372777777777778
18,0.8103055555555555,0.89175,0.9150277777777778,0.92325,0.92575,0.9278333333333332,0.9301666666666668,0.9293611111111112,0.9305277777777776,0.93225,0.9331388888888889,0.9321111111111112,0.9336944444444444,0.9333333333333332,0.9350555555555556,0.9340833333333334,0.9331388888888889,0.9341111111111112,0.9357222222222222,0.9352222222222222,0.9356944444444444,0.93525,0.9367222222222222,0.93425,0.9361111111111112,0.9394166666666668,0.9367777777777778,0.9376111111111112,0.9373888888888888,0.9367777777777778,0.9368055555555556,0.9372222222222222,0.9387222222222222,0.9385277777777776,0.9395,0.9381111111111112,0.9390555555555556,0.9386666666666666,0.9373055555555556,0.9381666666666668,0.9380555555555556,0.93875,0.9389166666666666,0.9400277777777778,0.9371944444444444,0.93825,0.9383888888888888,0.9413611111111112,0.9396944444444445
