SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.6898484848484848,0.7834848484848485,0.8024242424242424,0.8101515151515152,0.8140909090909091,0.8319696969696969,0.8346969696969697,0.8543939393939394,0.8653030303030304,0.8722727272727273,0.8753030303030302,0.8760606060606061,0.8772727272727273,0.8793939393939394,0.8854545454545455,0.8903030303030303,0.8913636363636364,0.8978787878787878,0.8965151515151515,0.896969696969697,0.9006060606060606,0.9031818181818182,0.9059090909090908,0.9045454545454544,0.906060606060606,0.9074242424242424,0.9057575757575758,0.9030303030303032,0.9104545454545454,0.9066666666666666,0.9103030303030304,0.9154545454545454,0.9151515151515152,0.9157575757575758,0.9134848484848485,0.9146969696969696,0.9186363636363636,0.9162121212121213,0.9193939393939394,0.921060606060606,0.9192424242424242
2,0.6965151515151515,0.793939393939394,0.8174242424242424,0.8248484848484848,0.8345454545454546,0.8436363636363636,0.8601515151515151,0.8789393939393939,0.8839393939393939,0.8909090909090909,0.8953030303030303,0.8915151515151515,0.8966666666666666,0.8987878787878788,0.9042424242424244,0.9063636363636364,0.9107575757575758,0.911818181818182,0.916818181818182,0.9090909090909092,0.9159090909090908,0.9137878787878788,0.9178787878787878,0.913939393939394,0.916969696969697,0.9186363636363636,0.9177272727272728,0.9206060606060606,0.9206060606060606,0.9207575757575758,0.923030303030303,0.9251515151515152,0.9243939393939394,0.926969696969697,0.9224242424242424,0.926969696969697,0.9253030303030304,0.9227272727272728,0.9253030303030304,0.926060606060606,0.9272727272727272
4,0.696969696969697,0.8062121212121212,0.813939393939394,0.8304545454545454,0.8362121212121212,0.8471212121212122,0.855909090909091,0.8824242424242424,0.8889393939393939,0.8892424242424243,0.8992424242424243,0.9012121212121212,0.9027272727272728,0.9040909090909092,0.9057575757575758,0.91,0.907121212121212,0.9145454545454546,0.918939393939394,0.9151515151515152,0.9175757575757576,0.922121212121212,0.9216666666666666,0.9207575757575758,0.9224242424242424,0.9245454545454546,0.9234848484848484,0.9227272727272728,0.923939393939394,0.9225757575757576,0.9268181818181818,0.9274242424242424,0.9236363636363636,0.925,0.9281818181818182,0.926969696969697,0.9286363636363636,0.925,0.9248484848484848,0.9268181818181818,0.9274242424242424
6,0.7024242424242424,0.8184848484848485,0.8306060606060606,0.8359090909090909,0.8496969696969697,0.8540909090909091,0.8692424242424243,0.8886363636363637,0.8866666666666667,0.8954545454545455,0.8987878787878788,0.9037878787878788,0.9040909090909092,0.9098484848484848,0.9143939393939394,0.9131818181818182,0.9151515151515152,0.9180303030303032,0.921969696969697,0.9203030303030304,0.9253030303030304,0.9222727272727272,0.923939393939394,0.9253030303030304,0.9224242424242424,0.9251515151515152,0.9246969696969696,0.925,0.9284848484848484,0.9286363636363636,0.9265151515151516,0.9298484848484848,0.9256060606060608,0.9286363636363636,0.9290909090909092,0.9281818181818182,0.9301515151515152,0.9272727272727272,0.9277272727272728,0.9272727272727272,0.9287878787878788
8,0.7018181818181818,0.8107575757575758,0.826060606060606,0.8336363636363636,0.8383333333333334,0.8546969696969697,0.8596969696969697,0.8843939393939394,0.8956060606060606,0.8960606060606061,0.9046969696969696,0.9054545454545454,0.9093939393939394,0.906818181818182,0.911060606060606,0.9186363636363636,0.9137878787878788,0.9193939393939394,0.921060606060606,0.9222727272727272,0.9162121212121213,0.921060606060606,0.9243939393939394,0.925,0.9268181818181818,0.9237878787878788,0.9256060606060608,0.9245454545454546,0.925,0.9251515151515152,0.9286363636363636,0.9315151515151516,0.9277272727272728,0.9309090909090908,0.9283333333333332,0.9307575757575758,0.9298484848484848,0.9293939393939394,0.928030303030303,0.9295454545454546,0.93
10,0.7031818181818181,0.8148484848484848,0.8278787878787879,0.8377272727272728,0.8456060606060606,0.8478787878787879,0.8653030303030304,0.8853030303030303,0.8960606060606061,0.8987878787878788,0.9028787878787878,0.903939393939394,0.9075757575757576,0.9136363636363636,0.9096969696969696,0.9178787878787878,0.92,0.9190909090909092,0.9222727272727272,0.923030303030303,0.9242424242424242,0.9216666666666666,0.9242424242424242,0.9236363636363636,0.9245454545454546,0.9203030303030304,0.9268181818181818,0.9274242424242424,0.9245454545454546,0.923030303030303,0.928030303030303,0.9306060606060608,0.9274242424242424,0.927878787878788,0.9292424242424242,0.9318181818181818,0.9286363636363636,0.9301515151515152,0.9286363636363636,0.928939393939394,0.9303030303030303
12,0.7062121212121212,0.8084848484848485,0.8278787878787879,0.8328787878787879,0.8390909090909091,0.8490909090909091,0.8642424242424243,0.8836363636363637,0.8928787878787878,0.8987878787878788,0.8971212121212121,0.9007575757575758,0.9042424242424244,0.9065151515151516,0.9122727272727272,0.916060606060606,0.9127272727272728,0.916818181818182,0.9246969696969696,0.92,0.9240909090909092,0.9272727272727272,0.9246969696969696,0.9265151515151516,0.9262121212121212,0.9243939393939394,0.9263636363636364,0.9292424242424242,0.927878787878788,0.9287878787878788,0.9295454545454546,0.931060606060606,0.9306060606060608,0.9316666666666666,0.9295454545454546,0.927878787878788,0.9307575757575758,0.9312121212121212,0.9281818181818182,0.9318181818181818,0.9298484848484848
14,0.6977272727272728,0.8090909090909091,0.8222727272727273,0.8342424242424242,0.8448484848484848,0.8466666666666667,0.8606060606060606,0.8842424242424243,0.8886363636363637,0.8925757575757576,0.8987878787878788,0.9012121212121212,0.9003030303030303,0.9056060606060606,0.911060606060606,0.9154545454545454,0.9163636363636364,0.9206060606060606,0.9178787878787878,0.9236363636363636,0.9265151515151516,0.923030303030303,0.9231818181818182,0.922878787878788,0.9242424242424242,0.928939393939394,0.9245454545454546,0.927121212121212,0.923939393939394,0.9296969696969696,0.9277272727272728,0.9263636363636364,0.9295454545454546,0.9303030303030304,0.9263636363636364,0.9281818181818182,0.9303030303030304,0.9298484848484848,0.927121212121212,0.9307575757575758,0.9284848484848485
16,0.7016666666666667,0.8074242424242424,0.8268181818181818,0.8315151515151515,0.8386363636363636,0.8465151515151516,0.858030303030303,0.88,0.8906060606060606,0.8921212121212121,0.8962121212121212,0.8996969696969697,0.9027272727272728,0.9028787878787878,0.9078787878787878,0.908939393939394,0.9103030303030304,0.9163636363636364,0.9163636363636364,0.9156060606060606,0.9187878787878788,0.92,0.9198484848484848,0.9181818181818182,0.9213636363636364,0.9198484848484848,0.9231818181818182,0.9209090909090908,0.9224242424242424,0.9216666666666666,0.9268181818181818,0.9245454545454546,0.921969696969697,0.923939393939394,0.9254545454545454,0.926060606060606,0.9237878787878788,0.9275757575757576,0.9277272727272728,0.9277272727272728,0.928030303030303
18,0.708030303030303,0.8086363636363636,0.8268181818181818,0.8362121212121212,0.8427272727272728,0.8519696969696969,0.8625757575757576,0.8848484848484849,0.886969696969697,0.8942424242424243,0.9034848484848484,0.9001515151515151,0.901969696969697,0.9075757575757576,0.912121212121212,0.915,0.9148484848484848,0.9204545454545454,0.921818181818182,0.92,0.9225757575757576,0.9209090909090908,0.922878787878788,0.922121212121212,0.9234848484848484,0.9213636363636364,0.9253030303030304,0.923030303030303,0.9263636363636364,0.927121212121212,0.927121212121212,0.9293939393939394,0.9263636363636364,0.927121212121212,0.93,0.9296969696969696,0.9312121212121212,0.9290909090909092,0.9281818181818182,0.927121212121212,0.9304545454545454
Avg,0.4852651515151515,0.5552348484848485,0.5671893939393939,0.5739166666666666,0.5791060606060606,0.5851363636363637,0.5919848484848484,0.6044924242424242,0.6106287878787878,0.6137348484848485,0.617530303030303,0.61925,0.6208030303030303,0.6231590909090909,0.6258484848484849,0.6276969696969696,0.6287121212121212,0.6313409090909091,0.6339015151515152,0.6331969696969697,0.6350378787878788,0.6362878787878787,0.6381893939393939,0.638719696969697,0.639719696969697,0.6402575757575758,0.6407045454545455,0.6419924242424242,0.6429318181818182,0.6440151515151515,0.6499924242424242,0.6525909090909091,0.652719696969697,0.6547348484848485,0.6555833333333333,0.6607575757575758,0.661780303030303,0.6633636363636364,0.6644166666666667,0.6677272727272727,0.6697878787878788
