SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.7269444444444444,0.8245555555555556,0.8848055555555555,0.8950277777777778,0.9040555555555556,0.9068055555555556,0.9098333333333334,0.9095,0.9145555555555556,0.9153888888888888,0.9139166666666668,0.9175,0.9179722222222222,0.9180555555555556,0.9193333333333332,0.9208333333333332,0.9195833333333332,0.9202222222222224,0.9213333333333332,0.9247222222222222,0.9235555555555556,0.9241111111111112,0.9238611111111112,0.9255,0.9238333333333332,0.9248888888888888,0.926,0.9243888888888888,0.9249444444444443,0.9261944444444444,0.9275
2,0.7435833333333334,0.8456111111111111,0.9051388888888888,0.9121111111111112,0.9186666666666666,0.9211944444444444,0.9225277777777776,0.9232222222222224,0.9251666666666668,0.92525,0.9269722222222222,0.9280833333333334,0.9276944444444444,0.9275,0.9281111111111112,0.9286944444444444,0.9286944444444444,0.9291666666666668,0.9288055555555556,0.9315833333333332,0.9311666666666668,0.9304166666666668,0.9310555555555556,0.9318055555555556,0.9315833333333332,0.9303333333333332,0.9313611111111112,0.9308888888888888,0.9310277777777778,0.9326666666666666,0.9330833333333334
4,0.7504444444444445,0.8516111111111111,0.9116944444444444,0.9203888888888888,0.9235277777777776,0.9248611111111112,0.9263888888888888,0.929,0.9288888888888888,0.9296388888888888,0.9296944444444444,0.9297222222222222,0.9303888888888888,0.9309444444444444,0.9304166666666668,0.9320277777777778,0.9316111111111112,0.9318333333333332,0.9301944444444444,0.93325,0.9325833333333332,0.9331944444444444,0.9332777777777778,0.9324444444444444,0.9336666666666666,0.9328333333333332,0.9327777777777778,0.9335555555555556,0.9336111111111112,0.9341111111111112,0.9346111111111111
6,0.7578611111111111,0.8570833333333333,0.9153611111111112,0.9235,0.9283611111111112,0.9287777777777778,0.9309166666666666,0.93175,0.9308888888888888,0.9319166666666666,0.9323888888888888,0.9329166666666666,0.9330555555555556,0.9324166666666668,0.9343888888888888,0.9336666666666666,0.9348333333333332,0.9344444444444444,0.9333333333333332,0.9349444444444444,0.9353055555555556,0.9355277777777776,0.9359166666666666,0.9352222222222222,0.9361944444444444,0.9361944444444444,0.9358888888888888,0.93625,0.93575,0.9371944444444444,0.9364722222222223
8,0.7620833333333333,0.8605,0.9178333333333332,0.924,0.9278611111111112,0.9306666666666666,0.9306944444444444,0.9321944444444444,0.9340555555555556,0.9325833333333332,0.9346388888888888,0.9339722222222222,0.9348888888888888,0.9337777777777778,0.9358611111111113,0.9353333333333332,0.9346388888888888,0.9340833333333334,0.9344444444444444,0.9363611111111112,0.9361944444444444,0.9367222222222222,0.9362222222222222,0.9370555555555556,0.9371944444444444,0.9365,0.9356944444444444,0.9373333333333334,0.9361666666666668,0.9372222222222222,0.9368055555555556
10,0.7648333333333334,0.8636111111111111,0.9202777777777778,0.9274722222222224,0.932,0.9331666666666668,0.9362222222222222,0.9345277777777776,0.9364166666666668,0.9370555555555556,0.9363611111111112,0.9378611111111111,0.9369722222222222,0.9379444444444444,0.9368333333333332,0.9374444444444444,0.9379444444444444,0.9371666666666668,0.9373888888888888,0.9384166666666668,0.9394166666666668,0.9391388888888887,0.9393333333333334,0.9401666666666668,0.9394722222222224,0.9392222222222222,0.9401388888888887,0.9389722222222222,0.9386666666666666,0.9399722222222222,0.9402777777777778
12,0.7633611111111112,0.8654722222222222,0.9217777777777778,0.9281944444444444,0.9318333333333332,0.9322222222222222,0.9336388888888888,0.9333611111111112,0.9350555555555556,0.9360833333333334,0.9363888888888888,0.9365833333333332,0.9371944444444444,0.9361944444444444,0.9382222222222222,0.93725,0.9368611111111113,0.9370833333333334,0.9383611111111112,0.9383888888888888,0.9385277777777776,0.9391944444444444,0.9384444444444444,0.9388333333333332,0.9396111111111112,0.9384166666666668,0.9394166666666668,0.9390277777777778,0.9390277777777778,0.9392222222222222,0.9397777777777778
14,0.766,0.8630833333333333,0.9228888888888888,0.9272777777777778,0.9312222222222222,0.933,0.9341388888888889,0.9341666666666668,0.9362222222222222,0.9361111111111112,0.9370277777777778,0.93725,0.9373333333333334,0.9367222222222222,0.9391944444444444,0.9386111111111112,0.9376111111111112,0.9384166666666668,0.9384722222222224,0.9401666666666668,0.9398611111111111,0.9398888888888888,0.9405277777777776,0.9397777777777778,0.9407777777777778,0.9391666666666668,0.9396666666666668,0.9401388888888887,0.9407222222222222,0.9406111111111112,0.94175
16,0.7673888888888889,0.8665555555555555,0.9264722222222224,0.9308055555555556,0.93475,0.9360555555555556,0.9375833333333332,0.9385833333333332,0.9397777777777778,0.9381944444444444,0.9396111111111112,0.9411944444444444,0.9426388888888888,0.9415277777777776,0.9418611111111111,0.9425833333333332,0.9423888888888888,0.9436666666666668,0.9416388888888888,0.9445,0.9449166666666666,0.9442777777777778,0.9444166666666668,0.9443333333333334,0.9443333333333334,0.9448055555555556,0.945,0.9444166666666668,0.9455833333333332,0.9460277777777778,0.9463611111111111
18,0.7680555555555556,0.8677777777777778,0.9256111111111112,0.9321666666666668,0.9349166666666666,0.9375833333333332,0.9384166666666668,0.939,0.9403611111111112,0.9409166666666666,0.9410277777777778,0.9414166666666668,0.9425555555555556,0.9441388888888887,0.9427777777777778,0.9421388888888887,0.9430833333333334,0.9434444444444444,0.9424166666666668,0.9449444444444444,0.9441388888888887,0.9437222222222222,0.9464444444444444,0.9446944444444444,0.9466944444444444,0.9451944444444444,0.9456666666666668,0.9458055555555556,0.9455,0.9463055555555556,0.9464166666666667
