SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0.6865151515151515,0.7859090909090909,0.8056060606060607,0.8146969696969697,0.8216666666666667,0.8324242424242424,0.8440909090909091,0.8612121212121212,0.8642424242424243,0.8725757575757576,0.8739393939393939,0.8774242424242424,0.8846969696969696,0.8803030303030303,0.8848484848484849,0.8868181818181818,0.8948484848484849,0.8927272727272727,0.8956060606060606,0.8942424242424243,0.9003030303030303,0.901060606060606,0.9012121212121212,0.9013636363636364,0.9107575757575758,0.9128787878787878,0.91,0.9125757575757576,0.913939393939394,0.9134848484848485,0.9177272727272728,0.9192424242424242,0.9159090909090908,0.917121212121212,0.9181818181818182,0.918939393939394,0.9183333333333332,0.9175757575757576,0.9178787878787878,0.9195454545454546,0.92,0.9190909090909092,0.9204545454545454
2,0.6903030303030303,0.803939393939394,0.818939393939394,0.828030303030303,0.835,0.8477272727272728,0.8637878787878788,0.881969696969697,0.8839393939393939,0.89,0.8903030303030303,0.8963636363636364,0.8992424242424243,0.901060606060606,0.9078787878787878,0.9051515151515152,0.9095454545454544,0.9096969696969696,0.9122727272727272,0.9116666666666666,0.9154545454545454,0.9128787878787878,0.915,0.9177272727272728,0.9216666666666666,0.922121212121212,0.9206060606060606,0.9212121212121211,0.9201515151515152,0.921818181818182,0.9234848484848484,0.923939393939394,0.922878787878788,0.927121212121212,0.925,0.9236363636363636,0.9231818181818182,0.921969696969697,0.923939393939394,0.9259090909090908,0.9262121212121212,0.926969696969697,0.9256060606060607
4,0.7021212121212121,0.8051515151515152,0.8290909090909091,0.8334848484848485,0.8374242424242424,0.8518181818181818,0.8713636363636363,0.8821212121212121,0.8945454545454545,0.8960606060606061,0.8948484848484849,0.8989393939393939,0.9053030303030304,0.9074242424242424,0.9065151515151516,0.9137878787878788,0.911060606060606,0.9133333333333332,0.9128787878787878,0.9186363636363636,0.9165151515151516,0.9209090909090908,0.9190909090909092,0.9201515151515152,0.9234848484848484,0.9253030303030304,0.9266666666666666,0.9266666666666666,0.9263636363636364,0.926969696969697,0.9281818181818182,0.9293939393939394,0.9284848484848484,0.9259090909090908,0.9277272727272728,0.927878787878788,0.9283333333333332,0.9265151515151516,0.928030303030303,0.9275757575757576,0.9281818181818182,0.9263636363636364,0.9268181818181818
6,0.703939393939394,0.818939393939394,0.8316666666666667,0.8401515151515152,0.8533333333333334,0.8577272727272728,0.8763636363636363,0.8906060606060606,0.8933333333333333,0.8972727272727272,0.9025757575757576,0.9043939393939394,0.9048484848484848,0.9056060606060606,0.9101515151515152,0.911969696969697,0.9140909090909092,0.9128787878787878,0.9184848484848483,0.9180303030303032,0.9154545454545454,0.921818181818182,0.9222727272727272,0.9201515151515152,0.9256060606060608,0.9254545454545454,0.9233333333333332,0.9254545454545454,0.922121212121212,0.9257575757575758,0.9263636363636364,0.9265151515151516,0.9251515151515152,0.923939393939394,0.923939393939394,0.9256060606060608,0.9263636363636364,0.923939393939394,0.9248484848484848,0.9256060606060608,0.9245454545454546,0.9254545454545454,0.9263636363636364
8,0.7015151515151515,0.8165151515151515,0.8275757575757576,0.8381818181818181,0.8519696969696969,0.8563636363636363,0.8771212121212121,0.8912121212121212,0.8921212121212121,0.8963636363636364,0.8987878787878788,0.906969696969697,0.9030303030303032,0.9087878787878788,0.9063636363636364,0.9109090909090908,0.916818181818182,0.9165151515151516,0.915,0.9181818181818182,0.9183333333333332,0.9184848484848483,0.921969696969697,0.9180303030303032,0.9253030303030304,0.9246969696969696,0.9259090909090908,0.927121212121212,0.9248484848484848,0.9246969696969696,0.928030303030303,0.9263636363636364,0.9262121212121212,0.927878787878788,0.9272727272727272,0.9265151515151516,0.925,0.9262121212121212,0.9303030303030304,0.9242424242424242,0.926969696969697,0.927121212121212,0.9274242424242424
10,0.7001515151515152,0.821060606060606,0.8368181818181818,0.8437878787878788,0.8487878787878788,0.8539393939393939,0.876969696969697,0.8906060606060606,0.9025757575757576,0.901969696969697,0.9053030303030304,0.903939393939394,0.9104545454545454,0.9130303030303032,0.9098484848484848,0.9146969696969696,0.917121212121212,0.9156060606060606,0.9186363636363636,0.9198484848484848,0.918939393939394,0.9190909090909092,0.9186363636363636,0.9186363636363636,0.9262121212121212,0.9237878787878788,0.9254545454545454,0.923939393939394,0.9246969696969696,0.9248484848484848,0.9263636363636364,0.9287878787878788,0.9253030303030304,0.9231818181818182,0.927878787878788,0.927121212121212,0.9277272727272728,0.9275757575757576,0.9265151515151516,0.9266666666666666,0.928030303030303,0.9243939393939394,0.9251515151515152
12,0.7059090909090909,0.8198484848484848,0.8333333333333334,0.8324242424242424,0.8466666666666667,0.8487878787878788,0.8748484848484849,0.8857575757575757,0.895,0.8953030303030303,0.8984848484848484,0.9001515151515151,0.9012121212121212,0.9056060606060606,0.906818181818182,0.9131818181818182,0.9113636363636364,0.9193939393939394,0.9130303030303032,0.9175757575757576,0.9190909090909092,0.9212121212121211,0.9201515151515152,0.9204545454545454,0.9263636363636364,0.9231818181818182,0.9268181818181818,0.923939393939394,0.921969696969697,0.9240909090909092,0.9259090909090908,0.9281818181818182,0.9265151515151516,0.9257575757575758,0.928939393939394,0.9286363636363636,0.9266666666666666,0.9277272727272728,0.9237878787878788,0.928939393939394,0.927121212121212,0.9283333333333332,0.926969696969697
14,0.696969696969697,0.8133333333333334,0.8336363636363636,0.8392424242424242,0.848030303030303,0.8531818181818182,0.8701515151515151,0.8883333333333333,0.8980303030303031,0.8946969696969697,0.901818181818182,0.8980303030303031,0.9051515151515152,0.9075757575757576,0.9062121212121212,0.9078787878787878,0.9115151515151516,0.9096969696969696,0.9122727272727272,0.916818181818182,0.918939393939394,0.921969696969697,0.9215151515151516,0.9162121212121213,0.9231818181818182,0.9237878787878788,0.9254545454545454,0.9243939393939394,0.9275757575757576,0.928030303030303,0.9287878787878788,0.9259090909090908,0.9265151515151516,0.9275757575757576,0.927121212121212,0.9296969696969696,0.9254545454545454,0.9265151515151516,0.9263636363636364,0.9237878787878788,0.9253030303030304,0.9268181818181818,0.923030303030303
16,0.7009090909090909,0.8103030303030303,0.8277272727272728,0.8322727272727273,0.8418181818181818,0.8462121212121212,0.868030303030303,0.8846969696969696,0.8896969696969697,0.8942424242424243,0.8971212121212121,0.9024242424242424,0.9016666666666666,0.9046969696969696,0.906818181818182,0.9063636363636364,0.9101515151515152,0.9103030303030304,0.9086363636363636,0.9186363636363636,0.9151515151515152,0.9198484848484848,0.9163636363636364,0.9166666666666666,0.9198484848484848,0.9204545454545454,0.9225757575757576,0.9192424242424242,0.9207575757575758,0.9192424242424242,0.9198484848484848,0.921818181818182,0.9253030303030304,0.9206060606060606,0.9234848484848484,0.9195454545454546,0.922878787878788,0.9198484848484848,0.922878787878788,0.9201515151515152,0.9233333333333332,0.9231818181818182,0.923030303030303
18,0.7009090909090909,0.8163636363636364,0.831060606060606,0.8416666666666667,0.848939393939394,0.8562121212121212,0.8653030303030304,0.8863636363636364,0.8904545454545455,0.8965151515151515,0.8959090909090909,0.9009090909090908,0.907121212121212,0.9059090909090908,0.908939393939394,0.9107575757575758,0.9122727272727272,0.9153030303030304,0.9134848484848485,0.916969696969697,0.9178787878787878,0.9216666666666666,0.9183333333333332,0.92,0.9240909090909092,0.9224242424242424,0.9222727272727272,0.9224242424242424,0.9240909090909092,0.9227272727272728,0.9265151515151516,0.9243939393939394,0.926060606060606,0.9266666666666666,0.9243939393939394,0.9237878787878788,0.925,0.9266666666666666,0.9242424242424242,0.9242424242424242,0.9254545454545454,0.9233333333333332,0.9251515151515152
