SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0.6975833333333333,0.7974722222222222,0.8287777777777777,0.8521666666666666,0.8698333333333333,0.8867777777777778,0.8931944444444444,0.8969722222222222,0.9015277777777778,0.9025555555555556,0.9069166666666668,0.9081666666666668,0.9101944444444444,0.9118888888888887,0.9121388888888888,0.9135,0.9138055555555556,0.9139166666666668,0.9144444444444444,0.9151111111111112,0.9167222222222222,0.9170555555555556,0.9176388888888888,0.91875,0.9178055555555557,0.9177222222222222,0.918,0.9188611111111112,0.9195,0.9235,0.9225,0.9223333333333332,0.9231388888888888,0.9228333333333332,0.9240833333333334,0.9255833333333332,0.9255555555555556,0.9258888888888888,0.9255833333333332,0.9247777777777778,0.9255833333333332,0.9269444444444443,0.9267777777777778,0.92625,0.9270277777777778,0.9274722222222224,0.9282222222222222,0.9279722222222222,0.9274722222222224,0.9268888888888888,0.9285,0.9264166666666667
2,0.7255,0.8270555555555555,0.8557222222222223,0.8792777777777778,0.89625,0.9074722222222222,0.9124166666666668,0.91575,0.9190555555555556,0.9184444444444444,0.9213611111111112,0.9215833333333332,0.9234722222222222,0.9234166666666668,0.924,0.9243055555555556,0.9250833333333334,0.9254444444444444,0.9250833333333334,0.9258611111111112,0.9266388888888888,0.9263333333333332,0.9259444444444443,0.9273055555555556,0.9277777777777778,0.9281666666666668,0.9276666666666666,0.9277777777777778,0.9270277777777778,0.929,0.9299722222222222,0.9296666666666666,0.9306388888888888,0.9300277777777778,0.9291388888888888,0.9302777777777778,0.9311111111111112,0.9313611111111112,0.9311111111111112,0.9320277777777778,0.9315277777777776,0.9319444444444444,0.9328055555555556,0.9322777777777778,0.9323611111111112,0.9324166666666668,0.9333055555555556,0.93275,0.9323611111111112,0.9323333333333332,0.9330555555555556,0.93325
4,0.7319722222222222,0.8391111111111111,0.8708611111111111,0.892,0.9036944444444444,0.9165,0.9217222222222222,0.9234722222222222,0.9236111111111112,0.9261111111111112,0.9272777777777778,0.92675,0.9268055555555555,0.9281111111111112,0.9291388888888888,0.9290833333333334,0.9295,0.92925,0.9298611111111112,0.9307222222222222,0.9303888888888888,0.9303888888888888,0.9302222222222222,0.9300833333333334,0.93125,0.9322222222222222,0.9314444444444444,0.9320555555555556,0.9315,0.9325555555555556,0.9335555555555556,0.9336944444444444,0.9336944444444444,0.93225,0.9328611111111113,0.9338888888888888,0.9339444444444444,0.9334722222222224,0.9330833333333334,0.9336388888888888,0.9338611111111113,0.9347222222222222,0.9339722222222222,0.9338611111111113,0.9341388888888889,0.9344444444444444,0.9341388888888889,0.9345833333333332,0.9349722222222222,0.9339722222222222,0.9341944444444444,0.9344444444444444
6,0.7396388888888888,0.8435555555555555,0.8749166666666667,0.8966666666666666,0.91,0.9201944444444444,0.9243611111111112,0.9275555555555556,0.9282222222222222,0.9289166666666666,0.9295555555555556,0.9300833333333334,0.9318888888888888,0.9315277777777776,0.9331388888888889,0.9319166666666666,0.9318888888888888,0.9322777777777778,0.9330833333333334,0.9330555555555556,0.9321944444444444,0.9328333333333332,0.9333888888888888,0.9336666666666666,0.93325,0.9336944444444444,0.9335277777777776,0.9335,0.9341944444444444,0.9351388888888889,0.93525,0.9344722222222224,0.9344444444444444,0.9352222222222222,0.9359444444444444,0.9346111111111112,0.9352777777777778,0.9358888888888888,0.9349166666666666,0.9354722222222224,0.9363611111111112,0.9359722222222222,0.9356666666666666,0.9365277777777776,0.9359722222222222,0.9364166666666668,0.9361944444444444,0.9360277777777778,0.9359444444444444,0.9363611111111112,0.9363888888888888,0.9365277777777777
8,0.7399444444444444,0.8449444444444445,0.8776111111111111,0.8994166666666666,0.91175,0.9231944444444444,0.9259722222222222,0.92875,0.9305277777777776,0.9309444444444444,0.9314722222222224,0.9316666666666666,0.9325,0.9335833333333332,0.9335277777777776,0.93425,0.9339444444444444,0.9338611111111113,0.9346666666666666,0.9352222222222222,0.9349444444444444,0.9347777777777778,0.93375,0.9348055555555556,0.9351111111111112,0.9359166666666666,0.9352222222222222,0.9351111111111112,0.9351944444444444,0.9365555555555556,0.9356111111111112,0.93625,0.9365555555555556,0.9364722222222224,0.937,0.9370555555555556,0.9368888888888888,0.9373055555555556,0.93775,0.9375277777777776,0.9374444444444444,0.9373055555555556,0.9374722222222224,0.9374166666666668,0.9375555555555556,0.9381666666666668,0.9372222222222222,0.9370833333333334,0.9381388888888887,0.938,0.9371666666666668,0.9379444444444445
10,0.7394444444444445,0.8465833333333334,0.8770277777777777,0.9025555555555556,0.9143333333333332,0.9249166666666668,0.92925,0.9297777777777778,0.9316666666666666,0.9343888888888888,0.9330277777777778,0.9335,0.9345,0.9343611111111112,0.9348611111111113,0.9353055555555556,0.9343055555555556,0.9368333333333332,0.9358055555555556,0.9353888888888888,0.9365555555555556,0.9364722222222224,0.9359166666666666,0.9370277777777778,0.9366944444444444,0.9371111111111112,0.9364166666666668,0.9369722222222222,0.9373055555555556,0.9372777777777778,0.9378333333333332,0.9376111111111112,0.93825,0.9367777777777778,0.9377222222222222,0.9390277777777778,0.9378333333333332,0.9384166666666668,0.9387777777777778,0.9383611111111112,0.9388611111111111,0.9393611111111112,0.9382777777777778,0.9384166666666668,0.9388888888888888,0.9398055555555556,0.9390277777777778,0.9385833333333332,0.9390277777777778,0.9397777777777778,0.9391944444444444,0.9388888888888889
12,0.7410833333333333,0.8469166666666667,0.8759722222222223,0.9004166666666666,0.9150555555555556,0.9234166666666668,0.9278055555555556,0.9283611111111112,0.93,0.93275,0.9332777777777778,0.9323888888888888,0.9328055555555556,0.9329444444444444,0.9332777777777778,0.9351666666666668,0.9343333333333332,0.9346944444444444,0.9346666666666666,0.9352777777777778,0.9352777777777778,0.9345,0.9344444444444444,0.9344444444444444,0.93575,0.9366944444444444,0.9365833333333332,0.9354166666666668,0.9356388888888888,0.9369722222222222,0.9373333333333334,0.9367222222222222,0.93625,0.9377222222222222,0.9373055555555556,0.9378611111111111,0.9375277777777776,0.9382777777777778,0.9371666666666668,0.9376111111111112,0.9389166666666666,0.9374166666666668,0.9383055555555556,0.9375277777777776,0.9375555555555556,0.9384166666666668,0.9380555555555556,0.9391388888888887,0.9378611111111111,0.9383611111111112,0.9386388888888888,0.9373333333333334
14,0.74025,0.8454722222222222,0.8775,0.9018611111111112,0.9137777777777778,0.9236944444444444,0.9275277777777776,0.9289722222222222,0.9309166666666666,0.9316666666666666,0.9323333333333332,0.9334444444444444,0.9336111111111112,0.9326111111111112,0.9331111111111112,0.9334722222222224,0.9347777777777778,0.9348611111111113,0.9350833333333334,0.9353611111111112,0.9349444444444444,0.9349444444444444,0.93475,0.93625,0.9353333333333332,0.9374444444444444,0.936,0.936,0.9371944444444444,0.9388611111111111,0.9382777777777778,0.9388611111111111,0.9382222222222222,0.938,0.9384722222222224,0.9376111111111112,0.9386944444444444,0.9386944444444444,0.9389444444444444,0.9383888888888888,0.9379722222222222,0.9390277777777778,0.9398055555555556,0.9393055555555556,0.9395,0.9401388888888887,0.93925,0.9398888888888888,0.94,0.9390555555555556,0.9399722222222222,0.9406388888888889
16,0.73975,0.8467777777777777,0.8773888888888889,0.9021111111111112,0.91475,0.9246666666666666,0.9282222222222222,0.9294722222222224,0.9300277777777778,0.9321388888888889,0.9316666666666666,0.9329444444444444,0.934,0.9340833333333334,0.9337222222222222,0.9344166666666668,0.9341111111111112,0.9342222222222222,0.9345277777777776,0.9341111111111112,0.9351111111111112,0.934,0.9356388888888888,0.9344722222222224,0.9355555555555556,0.9349166666666666,0.9355,0.9351944444444444,0.936,0.9371388888888889,0.9370833333333334,0.9359166666666666,0.9368055555555556,0.93675,0.9372222222222222,0.9361944444444444,0.9374444444444444,0.9375555555555556,0.9386111111111112,0.9375555555555556,0.9366944444444444,0.9380555555555556,0.9364722222222224,0.937,0.9370277777777778,0.9388888888888888,0.93775,0.9375555555555556,0.9375277777777776,0.9384722222222224,0.9376388888888888,0.9376111111111111
18,0.7370277777777777,0.8466388888888889,0.8776944444444444,0.8997777777777778,0.9129722222222222,0.9234166666666668,0.9271111111111112,0.9293888888888888,0.9304166666666668,0.9310277777777778,0.9305833333333332,0.9325555555555556,0.9324444444444444,0.93325,0.9338888888888888,0.9343888888888888,0.9335277777777776,0.9337222222222222,0.93425,0.9337777777777778,0.9346111111111112,0.9341944444444444,0.9359722222222222,0.9346666666666666,0.9347222222222222,0.93575,0.9358333333333332,0.9352777777777778,0.9352777777777778,0.9355,0.9369444444444444,0.936,0.9355277777777776,0.9375555555555556,0.9371944444444444,0.9375,0.9373611111111112,0.9392222222222222,0.938,0.9375833333333332,0.9381944444444444,0.9380833333333334,0.9386388888888888,0.9394444444444444,0.9388055555555556,0.9397777777777778,0.9375555555555556,0.9395555555555556,0.9396111111111112,0.9391944444444444,0.9385277777777776,0.9386111111111111
